Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_Formal,Notes,_HSK,_Dao,ID
青年,qīngnián,youth / young adults,现在的青年更关注社会问题。,Today’s youth are more concerned about social issues.,Neutral Formal,"More formal/collective than 年轻人; common in social, school, and official contexts.",Band2,2.5,514
取得,qǔdé,acquire; gain; obtain,她在比赛中取得了好成绩。,She achieved good results in the competition.,Neutral Formal,"取得 (qǔdé) is an active process. It implies you put in the work, took specific actions, or went through a process to ""go out and grab"" the result (e.g., passing a hard test, establishing contact).",Band2,2.5,515
网站,wǎngzhàn,noun: website,我经常浏览这个网站。,I often browse this website.,Everyday,,Band2,2.5,516
以上,yǐshàng,above; over,18岁以上的人才能参加。,Only people over 18 can participate.,Discursive,"Used to structure ranges, lists, limits, or preceding information: “above / more than / the above.”",Band2,2.5,517
重点,zhòngdiǎn,key point / emphasis,这次考试的重点是语法。,The key point of this exam is grammar.,Everyday,,Band2,2.5,518
做法,zuòfǎ,way of doing / method,你的做法很聪明。,Your method is very smart.,Neutral Formal,Standard noun for method/approach/practice; more structured than 怎么做.,Band2,2.5,519
提问,tíwèn,"verb: to ask a question
noun: question (esp. in exams or formal settings)",学生开始提问，老师根据每个提问认真作答。,"The students began asking questions, and the teacher answered each question carefully.",Protocol,"Structured act of asking a question in class, meetings, Q&A sessions, or formal settings.",Band3,2.5,525
保留,bǎoliú,to retain / to keep,学校保留了他的学籍。,The school retained his student status.,Neutral Formal,"Polished verb for keep/reserve/retain; common in forms, rules, plans, and explanations.",Band3,2.5,520
分配,fēnpèi,verb: to distribute / to allocate,老师分配了作业，每人分配到了不同的任务,"The teacher assigned homework, and everyone was given different tasks.",Neutral Formal,"Structured verb for allocating tasks, resources, time, or people.",Band3,2.5,521
合理,hélǐ,adjective: reasonable / rational,你的解释很合理，我接受了。,Your explanation is very reasonable — I accept it.,Neutral Formal,"Evaluative word meaning reasonable/logical; common in explanation, judgment, and planning.",Band3,2.5,522
明显,míngxiǎn,adjective: obvious / evident,这次成绩进步非常明显。,The improvement in grades this time is very obvious.,Neutral Formal,More polished than 很清楚; common in explanation and comparison.,Band3,2.5,523
时刻,shíkè,"noun: moment / time
adverb: always / constantly",在紧急时刻，他时刻保持冷静。,"At a critical moment, he stayed calm at all times.",Literary,More dramatic or serious than 时候/时间; often used for important moments or continuous vigilance.,Band3,2.5,524
意外,yìwài,"noun: accident / unexpected event
adjective: unexpected / surprising",他的到来很意外，这种意外让大家都很高兴。,"His arrival was unexpected, and this surprise made everyone happy.",Everyday,,Band3,2.5,526
整理,zhěnglǐ,verb: to tidy up / to organize,请你帮我整理一下房间和资料。,Please help me tidy up the room and organize the documents.,Everyday,,Band3,2.5,527
争取,zhēngqǔ,verb: to strive for; to fight for,我们应该争取更多机会。,We should strive for more opportunities.,Neutral Formal,"Polished verb for striving to obtain or win something; common in study, work, plans, and goals.",Band3,2.5,528
足够,zúgòu,"adjective: sufficient / enough
verb: to be enough",我们已经有足够的资金，这些资源也足够用了。,"We already have sufficient funds, and these resources are enough too.",Everyday,,Band3,2.5,529
传统,chuántǒng,noun/adjective: tradition; traditional,这是一个传统节日。,This is a traditional festival.,Neutral Formal,"Standard abstract noun/adjective for tradition/traditional; common in culture, essays, and explanation.",Band4,2.5,530
地址,dìzhǐ,noun: address,请写下你的家庭地址。,Please write down your home address.,Everyday,,Band4,2.5,531
对于,duìyú,preposition: regarding; toward; concerning,对于这个问题，他有不同的看法。,He has a different opinion regarding this issue.,Discursive,Topic-framing word meaning “regarding / as for”; more structured than 对.,Band4,2.5,532
风景,fēngjǐng,noun: scenery; landscape,这里的风景非常漂亮。,The scenery here is very beautiful.,Literary,Descriptive word for scenery; more visual and appreciative than 地方/环境.,Band4,2.5,533
付出,fùchū,"verb: to pay / to give (usually effort, time, cost)",成功的背后往往是无人看到的付出。,Behind success is often unseen effort.,Literary,"Reflective/emotional verb for giving effort, time, sacrifice, or cost.",Band4,2.5,534
角色,juésè,noun: role (in drama/life),她在这部剧里饰演了一个反派角色，表现很精彩。,She played a villain in the play and performed brilliantly.,Neutral Formal,"Standard word for role/character; common in stories, games, drama, work, and analysis.",Band4,2.5,535
汽水,qìshuǐ,noun: soda; soft drink,小孩子很喜欢喝汽水。,Children really like drinking soda.,Everyday,,Band4,2.5,536
似乎,sìhū,adverb: seemingly; apparently; it seems,他似乎不太高兴。,He seems a bit unhappy.,Neutral Formal,More written/polished than 好像; used for cautious judgment or appearance.,Band4,2.5,537
思考,sīkǎo,"verb/noun: to think; to reflect; thinking. It is a deep, internal mental process where you analyze big concepts, life, philosophy, or a difficult scientific problem.",他正在认真思考这个问题。,He is seriously thinking about this problem.,Neutral Formal,Polished verb for think/reflect; more deliberate than 想.,Band4,2.5,538
相处,xiāngchǔ,verb: to get along; to interact,他们相处得很好。,They get along very well.,Everyday,,Band4,2.5,539
形容,xíngróng,verb: to describe,你能形容一下那个地方吗？,Can you describe that place?,Everyday,,Band4,2.5,540
新鲜,xīnxiān,adjective: fresh,这些水果非常新鲜。,These fruits are very fresh.,Everyday,,Band4,2.5,541
严格,yángé,adjective: strict; rigorous,老师对学生非常严格。,The teacher is very strict with the students.,Neutral Formal,"Standard word for strict/rigorous; common in school, rules, standards, and evaluation.",Band4,2.5,542
模样,múyàng,"Noun: appearance / look / look of features (referring to how a person, face, or physical object looks)",他生气时的模样很可怕。,He looks scary when he is angry.,Literary,Descriptive/narrative word for appearance or look; more vivid than 样子.,Band5,2.5,549
拜访,bàifǎng,verb: to visit; to pay a visit,我们周末去拜访老师。,We visited the teacher over the weekend.,Protocol,"Polite/formal verb for visiting someone, especially elders, teachers, clients, or important people.",Band5,2.5,543
保卫,bǎowèi,verb: to defend; to safeguard,士兵们正在保卫国家。,The soldiers are defending the country.,Official,"Serious/public-defense word for defending/protecting places, country, rights, or safety.",Band5,2.5,544
包装,bāozhuāng,verb/noun: to package; packaging,这个礼物已经包装好了。,This gift has already been wrapped.,Everyday,,Band5,2.5,545
放大,fàngdà,verb: to enlarge; to magnify,你可以把这张照片放大一点吗？,Can you enlarge this photo a bit?,Everyday,,Band5,2.5,546
回收,huíshōu,verb: to recycle; to recover,这些瓶子可以回收利用。,These bottles can be recycled and reused.,Neutral Formal,"Standard word for recycling/recovering/collecting back; common in environmental, system, and public contexts.",Band5,2.5,547
尽管,jǐnguǎn,conjunction: although; even though / adverb: freely; without hesitation,尽管天气不好，他们还是决定出去。,"Although the weather was bad, they still decided to go out.",Discursive,Concession connector meaning “although / even though.”,Band5,2.5,548
收集,shōují,verb: to collect; to gather,他喜欢收集邮票。,He likes collecting stamps.,Neutral Formal,"Polished verb for collect/gather items, data, information, or materials.",Band5,2.5,550
为难,wéi nán,adjective/verb: difficult; embarrassed; to make things difficult,这件事让我很为难。,This matter puts me in a difficult position.,Everyday,,Band5,2.5,551
戏剧,xìjù,noun: drama / play,这部戏剧感人至深，许多观众都哭了。,This play was deeply moving—many in the audience cried.,Neutral Formal,Standard word for drama/theatre; more subject/category-like than casual 戏.,Band5,2.5,552
当作,dàngzuò,verb: to treat as / to regard as,她把写作当作一种放松的方式。,She treats writing as a way to relax.,Everyday,,Band6,2.5,553
发起,fāqǐ,verb: to launch; to initiate,学生们发起了一场活动。,The students launched an event.,Neutral Formal,"Polished verb for initiating/launching an event, campaign, proposal, or action.",Band6,2.5,554
攻击,gōngjī,verb/noun: to attack; attack,那只动物突然攻击了游客。,That animal suddenly attacked the tourists.,Neutral Formal,"Standard word for attack; can be used in games, arguments, animals, war, or systems.",Band6,2.5,555
和谐,héxié,adjective: harmonious,他们的关系非常和谐，几乎从不吵架。,Their relationship is very harmonious — they almost never argue.,Neutral Formal,"Polished word for harmony; common in society, relationships, music, and evaluation.",Band6,2.5,556
灵活,línghuó,adjective: flexible / adaptable,他的思维很灵活，总能想到解决问题的新方法。,His thinking is very flexible and he always comes up with new ways to solve problems.,Neutral Formal,"Polished word for flexible/agile; used for methods, thinking, time, body, or handling situations.",Band6,2.5,557
清洁工,qīngjiégōng,noun: cleaner; janitor; sanitation worker,清洁工每天都很早开始工作。,The cleaners start work very early every day.,Everyday,,Band6,2.5,558
嘲笑,cháoxiào,verb: to mock; to laugh at; to ridicule,我们不应该嘲笑别人。,We should not mock other people.,Everyday,,Band7,2.5,559
感激,gǎnjī,verb/adjective: to appreciate; grateful,我非常感激你的帮助。,I am very grateful for your help.,Literary,Emotion-heavy word for gratitude; more expressive than 谢谢/感谢.,Band7,2.5,560
孤单,gūdān,adjective: lonely,一个人住的时候，她常常觉得孤单。,"When living alone, she often feels lonely.",Literary,Descriptive emotional word for loneliness; more expressive than 一个人.,Band7,2.5,561
柜台,guìtái,noun: counter; service desk,请到柜台办理手续。,Please go to the counter to handle the procedure.,Everyday,,Band7,2.5,562
航行,hángxíng,verb: to sail; to navigate,那艘船正在海上航行。,That ship is sailing on the sea.,Neutral Formal,"More technical/formal than 坐船/开船; used for ships, aircraft, routes, or navigation.",Band7,2.5,563
简短,jiǎnduǎn,adjective: brief; short,他的发言很简短。,His speech was very brief.,Neutral Formal,"Polished word for brief/short; common in writing, speeches, messages, and descriptions.",Band7,2.5,564
目的地,mùdìdì,noun: destination,我们终于到达了目的地。,We finally arrived at the destination.,Neutral Formal,Specific travel/planning word for destination; more structured than 要去的地方.,Band7,2.5,566
忍心,rěnxīn,verb: to have the heart to; to be willing to do something cruel,你怎么忍心骗他？,How could you bear to deceive him?,Literary,"Emotion-heavy word meaning to have the heart to do something, often in negative form 不忍心.",Band7,2.5,567
谈论,tánlùn,verb: to discuss; to talk about,他们正在谈论最近的新闻。,They are discussing the recent news.,Neutral Formal,More polished than 说/聊; used for discussing a topic.,Band7,2.5,568
探险,tànxiǎn,verb/noun: to explore; adventure,他喜欢去森林探险。,He likes going into forests for adventures.,Everyday,,Band7,2.5,569
演戏,yǎnxì,verb: to act; to perform in a play,她从小就喜欢演戏。,She has liked acting since childhood.,Everyday,,Band7,2.5,570
一连串,yīliánchuàn,measure phrase: a series of; a string of,他提出了一连串的问题。,He raised a series of questions.,Discursive,Structures a sequence or series of events/actions: “a whole string of.”,Band7,2.5,571
自私,zìsī,adjective: selfish,他只考虑自己，太自私了。,"He only thought of himself, how selfish of him",Everyday,,Band7,2.5,572
传单,chuándān,noun: flyer; leaflet; handout,有人在街上发传单。,Someone is handing out flyers on the street.,Everyday,,Unknown,2.5,573
店员,diànyuán,noun: shop assistant; store clerk,店员很热情地帮助了我们。,The shop assistant warmly helped us.,Everyday,,Unknown,2.5,574
付钱,fùqián,verb: to pay money,吃完饭后，他主动去付钱。,"After the meal, he went to pay.",Everyday,,Unknown,2.5,575
加倍,jiābèi,verb/adverb: to double; doubly,为了成功，他加倍努力学习。,"To succeed, he studied twice as hard.",Neutral Formal,"Polished word for doubling/increasing effort or amount; common in study, work, and written explanation.",Unknown,2.5,576
怒气,nùqì,noun: anger; rage,他满脸怒气地离开了房间。,He left the room full of anger.,Literary,Emotion-heavy noun for anger; more descriptive/narrative than 生气.,Unknown,2.5,577
纸巾,zhǐjīn,noun: tissue paper,桌子上放着一包纸巾。,There is a pack of tissues on the table.,Everyday,,Unknown,2.5,578
种花,zhònghuā,verb: to grow flowers,她喜欢在阳台上种花。,She likes growing flowers on the balcony.,Everyday,,Unknown,2.5,579
周会,zhōuhuì,noun: weekly meeting,公司每星期一都会开周会。,The company holds a weekly meeting every Monday.,Protocol,Meeting-related workplace/school term; refers to a regular weekly meeting.,Unknown,2.5,580
见面,jiànmiàn,meet,我们下周见面吧,Let’s meet next week.,Everyday,,Band1,2.6,581
随时,suíshí,at any time,你可以随时联系我。,You can contact me anytime.,Everyday,,Band2,2.6,582
同时,tóngshí,– at the same time / meanwhile,他是老师，同时也是作家。,He is a teacher and also a writer.,Discursive,Structures simultaneous actions or adds another point: “at the same time / meanwhile.”,Band2,2.6,583
正是,zhèngshì,exactly / precisely,这正是我想说的！,That’s exactly what I wanted to say!,Discursive,Emphatic structure meaning “exactly / precisely”; often used to clarify or strengthen a point.,Band2,2.6,584
周年,zhōunián,anniversary,今天是他们结婚五周年纪念日。,Today is their 5th wedding anniversary.,Neutral Formal,"Specific time noun for anniversary; common in events, institutions, and commemorations.",Band2,2.6,585
不仅,bùjǐn,not only,他不仅唱歌好听，还会弹钢琴。,"Not only does he sing well, he also plays the pian",Discursive,Used in 不仅……还/而且…… to build additive logic: “not only...”,Band3,2.6,589
接近,jiējìn,"Verb: to approach / to get close to (in space or time)
Adjective: near / close (formal usage)",比赛时间接近了，他的状态也接近最佳。,"The game time is approaching, and he is nearing his best condition.",Neutral Formal,"More precise than 靠近/差不多到; used for distance, time, number, or state.",Band3,2.6,592
播放,bōfàng,to play (audio/video),老师正在播放一段视频。,The teacher is playing a video.,Neutral Formal,"Standard word for playing audio/video; common in media, classroom, apps, and instructions.",Band3,2.6,588
本领,běnlǐng,skill / ability ( Tends to emphasize a specific learned skill or acquired ability ),他有很多特别的本领。,He has many special skills.,Everyday,,Band3,2.6,587
本来,běnlái,originally / at first,我本来打算出去，但下雨了。,"I was originally planning to go out, but it rained.",Everyday,,Band3,2.6,586
大约,dàyuē,adverb: approximately / about,会议大约三点开始。,The meeting starts at about 3 p.m.,Neutral Formal,"More polished than 大概; common in estimates, reports, and explanations.",Band3,2.6,590
接待,jiēdài,"verb: ""to receive,"" ""to host,"" ""to welcome,"" or ""to admit/cater to"" guests, visitors, or customers.",我们经理正在接待一位重要的客户。,Our manager is currently receiving/hosting an important client.,Protocol,It is used in both professional/business settings (like hosting a client) and service-industry settings (like a restaurant or hotel serving customers).,Band3,2.6,591
上衣,shàngyī,noun: jacket / upper outer garment,这件上衣的颜色很适合你。,The color of this jacket suits you well.,Everyday,,Band3,2.6,593
食品,shípǐn,noun: food product,超市里有专门的有机食品区。,There is a dedicated organic food section in the supermarket.,Neutral Formal,"More formal/category-like than 吃的/食物; common in packaging, safety, shops, and rules.",Band3,2.6,594
收费,shōufèi,"verb: to charge a fee
noun: charging / fees",这个景点开始收费了，而且收费标准也提高了。,"This tourist spot has started charging admission, and the fee standard has increased.",Neutral Formal,"Practical/admin word for charging fees; common in services, signs, and notices.",Band3,2.6,
提前,tíqián,"verb: to do something ahead of time
adverb: in advance",会议时间提前了，我们也提前做好了准备。,"The meeting was moved forward, and we got ready in advance.",Everyday,,Band3,2.6,596
相关,xiāngguān,adjective: related / relevant,请提供相关材料以便审批。,Please provide the relevant materials for approval.,Neutral Formal,"Structured word meaning related/relevant; common in forms, reports, rules, and explanations.",Band3,2.6,597
预报,yùbào,"noun: forecast
verb: to forecast",天气预报说明天有雨。,The weather forecast predicts rain tomorrow.,Official,"Reportive word for forecasts, especially weather/news-style information.",Band3,2.6,598
预防,yùfáng,verb: to prevent,多洗手可以有效预防病毒传播。,Washing hands frequently can effectively prevent the spread of viruses.,Neutral Formal,"Polished word for prevention; common in health, safety, education, and public advice.",Band3,2.6,599
迅速,xùnsù,"adjective/adverb: rapid / quickly. Emphasizing extreme speed, urgency, or efficiency, often in a serious or professional context.",他迅速做出反应，成功避免了事故。,He reacted quickly and successfully avoided the accident.,Neutral Formal,Polished word for fast/quickly; more serious and efficient-sounding than 快.,Band4,2.6,609
沉默,chénmò,adjective/verb: silent; silence,听到这个消息后，他突然沉默了。,"After hearing the news, he suddenly fell silent.",Literary,"Descriptive word for silence; often used for mood, character, or atmosphere.",Band4,2.6,600
多种,duōzhǒng,adjective: many kinds of; multiple types,超市里有多种水果可以选择。,There are many kinds of fruits to choose from in the supermarket.,Neutral Formal,"More structured than 很多种; common in descriptions, reports, and explanations.",Band4,2.6,601
发挥,fāhuī,verb: to bring into play; to display ability,希望你能发挥自己的实力。,I hope you can fully display your abilities.,Neutral Formal,"Polished verb for bringing out/using ability, function, or effect.",Band4,2.6,602
负担,fùdān,noun/verb: burden; to bear a burden,房租已经成了他的经济负担。,Rent has become his financial burden.,Neutral Formal,"Abstract noun/verb for burden; common in finance, responsibility, pressure, and explanation.",Band4,2.6,603
减少,jiǎnshǎo,verb: to reduce; to decrease,我们应该减少浪费。,We should reduce waste.,Neutral Formal,Polished word for reduce/decrease; more formal than 变少.,Band4,2.6,604
考虑,kǎolǜ,verb: to consider; to think about,我会认真考虑你的建议。,I will seriously consider your suggestion.,Everyday,,Band4,2.6,605
能干,nénggàn,adjective: capable; competent,她是一位非常能干的员工。,She is a very capable employee.,Everyday,,Band4,2.6,606
善良,shànliáng,adjective: kind-hearted,她是个善良的人，总愿意帮助别人。,"She’s a kind-hearted person, always willing to help others.",Literary,Moral/emotional character word meaning kind-hearted; more descriptive than 好.,Band4,2.6,607
随手,suíshǒu,adverb: conveniently / in passing / without effort,请随手关门，保持冷气。,Please close the door as you go to keep the air conditioning in.,Everyday,,Band4,2.6,608
种类,zhǒnglèi,noun: kind / type / category,这个超市的商品种类非常丰富。,This supermarket has a wide variety of products.,Neutral Formal,More structured than 种; used for categories/types in explanation and classification.,Band4,2.6,610
歌曲,gēqǔ,noun: song,这首歌曲非常有名。,This song is very famous.,Neutral Formal,"More complete/polished than 歌; common in music lists, apps, and formal descriptions.",Band5,2.6,611
火灾,huǒzāi,noun: fire; blaze,昨晚发生了一场严重的火灾。,A serious fire broke out last night.,Official,"Formal/reportive word for fire disaster; common in news, safety, and emergency contexts.",Band5,2.6,612
靠近,kàojìn,verb: to approach; to get close to,不要靠近危险区域。,Do not go near the dangerous area.,Everyday,,Band5,2.6,613
朗读,lǎngdú,verb: to read aloud,老师让学生朗读课文。,The teacher asked the students to read the text aloud.,Neutral Formal,Structured word for reading aloud; common in school and language learning.,Band5,2.6,614
明亮,míngliàng,adjective: bright; well-lit,这个房间非常明亮。,This room is very bright.,Literary,Descriptive word for bright; adds visual quality beyond 亮.,Band5,2.6,615
命令,mìnglìng,noun/verb: order; command,他命令大家立刻离开。,He ordered everyone to leave immediately.,Protocol,Authority-based word for order/command; implies hierarchy or control.,Band5,2.6,616
勤奋,qínfèn,adjective: diligent / hardworking,他非常勤奋，每天早起学习。,He’s very diligent and studies early every morning.,Neutral Formal,Polished evaluative word for hardworking/diligent; common in school/work comments.,Band5,2.6,617
社区,shèqū,noun: community; neighborhood,这个社区非常安静。,This community is very quiet.,Neutral Formal,Institutional/social-area word for community; common in public services and local organization.,Band5,2.6,618
熟悉,shúxī,adjective/verb: familiar with; to know well,我对这里的环境很熟悉。,I am very familiar with the environment here.,Everyday,,Band5,2.6,619
终点,zhōngdiǎn,noun: finish line; destination,他终于跑到了终点。,He finally reached the finish line.,Everyday,,Band5,2.6,620
转换,zhuǎnhuàn,verb: to convert; to switch; to transform,请把文件转换成PDF格式。,Please convert the file into PDF format.,Neutral Formal,"Structured word for switching/converting; common in systems, formats, modes, and processes.",Band5,2.6,621
宠物,chǒngwù,noun: pet,她养了一只很可爱的宠物。,She keeps a very cute pet.,Everyday,,Band6,2.6,622
对抗,duìkàng,verb/noun: to resist; to confront; confrontation,我们必须一起对抗困难。,We must face the difficulties together.,Neutral Formal,"More serious/structured than 打/反抗; used for competition, conflict, sports, disease, pressure, etc.",Band6,2.6,623
王子,wángzǐ,noun: prince,故事里的王子非常勇敢。,The prince in the story is very brave.,Everyday,,Band6,2.6,624
音量,yīnliàng,noun: volume; sound level,请把音量调小一点。,Please lower the volume a little.,Everyday,,Band6,2.6,625
医药,yīyào,noun: medicine; medical treatment and drugs,医药费用越来越高。,Medical expenses are getting higher and higher.,Neutral Formal,"Category-like word for medicine/medical treatment; common in health, products, policy, and institutional contexts.",Band6,2.6,626
祝愿,zhùyuàn,verb/noun: to wish; best wishes,我祝愿你未来一切顺利。,I wish you all the best in the future.,Literary,More heartfelt/written than 祝; used for sincere wishes and blessings.,Band6,2.6,627
妒忌,dùjì,verb/adjective: to envy; jealous,他很妒忌别人的成功。,He is very jealous of other people’s success.,Neutral Formal,Standard word for envy/jealousy; more complete than casual 眼红/酸.,Band7,2.6,629
诚恳,chéngkěn,adjective: sincere; earnest,他用非常诚恳的态度向大家道歉。,He apologized to everyone with a very sincere attitude.,Literary,Descriptive character/attitude word meaning sincere/earnest; more expressive than 真诚 in many contexts.,Band7,2.6,628
浮现,fúxiàn,verb: to appear gradually; to emerge,他的笑容浮现在脸上。,A smile gradually appeared on his face.,Literary,Descriptive verb for appearing/emerging in the mind or sight; common in narration.,Band7,2.6,630
感恩,gǎnēn,verb/adjective: to be grateful; thankful,我们应该感恩帮助过自己的人。,We should be grateful to those who helped us.,Literary,Emotion/value-heavy word for gratitude; more reflective than 感谢.,Band7,2.6,631
海岸,hǎiàn,noun: coast; seashore,我们沿着海岸散步。,We walked along the coast.,Everyday,,Band7,2.6,632
害羞,hàixiū,adjective: shy; bashful,他一见到陌生人就会害羞。,He becomes shy whenever he meets strangers.,Everyday,,Band7,2.6,633
拼命,pīnmìng,adverb/verb: with all one’s might / to risk one's life,他拼命地赶作业，希望能按时交上去。,He rushed like crazy to finish the homework on time.,Everyday,,Band7,2.6,634
天桥,tiānqiáo,noun: overhead bridge; pedestrian bridge,我们从天桥过马路吧。,Let’s cross the road using the overhead bridge.,Everyday,,Band7,2.6,635
完好,wánhǎo,adjective: intact; undamaged,这些古董保存得非常完好。,These antiques are preserved in excellent condition.,Neutral Formal,"Polished word for intact/undamaged; common in descriptions, reports, and item condition.",Band7,2.6,636
心爱,xīnài,adjective: beloved; cherished,这是我最心爱的礼物。,This is my most cherished gift.,Literary,Emotional adjective for beloved/cherished; more expressive than 喜欢的.,Band7,2.6,637
一系列,yíxìliè,noun: a series of,我们将进行一系列测试来确保产品质量。,We’ll carry out a series of tests to ensure product quality.,Discursive,Structures grouped information: “a series of / a range of.” Common in explanation and reports.,Band7,2.6,638
诊所,zhěnsuǒ,noun: clinic,他去附近的诊所看病。,He went to a nearby clinic to see a doctor.,Everyday,,Band7,2.6,639
嘴唇,zuǐchún,noun: lips,她的嘴唇因为太干裂开了。,Her lips cracked because they were too dry.,Everyday,,Band7,2.6,640
将会,jiānghuì,auxiliary verb: will; shall,明天天气将会变冷。,The weather will become colder tomorrow.,Official,Formal/reportive future marker; more written and announcement-like than 会.,Unknown,2.6,646
避开,bìkāi,verb: to avoid; to steer clear of,我们最好避开高峰时间。,We’d better avoid rush hour.,Everyday,,Unknown,2.6,641
到场,dàochǎng,verb: to arrive at the scene; to show up,很多观众已经到场了。,Many audience members have already arrived.,Protocol,Formal event/attendance word meaning “arrive/be present at the venue.”,Unknown,2.6,642
道谢,dàoxiè,verb: to express thanks; to thank,他亲自向老师道谢。,He personally thanked the teacher.,Protocol,Polite/social-action word for formally saying thanks.,Unknown,2.6,643
犯错,fàncuò,"verb: to have make a mistake that is something morally wrong, broken a major rule, or committed a serious fault",每个人都会犯错。,Everyone makes mistakes.,Everyday,,Unknown,2.6,644
分给,fēngěi,verb: to distribute to; to give out to,老师把糖果分给学生们。,The teacher distributed candies to the students.,Everyday,,Unknown,2.6,645
级任,jírèn,noun: homeroom teacher (Singapore/Malaysia usage),我的级任老师非常负责。,My homeroom teacher is very responsible.,Protocol,"School-role term, usually referring to a form teacher/class teacher role.",Unknown,2.6,647
怒气冲冲,nùqìchōngchōng,adjective: furious; full of anger,他怒气冲冲地走出了办公室。,He stormed out of the office angrily.,Literary,Descriptive phrase for being visibly angry; vivid and narrative.,Unknown,2.6,648
轻快,qīngkuài,adjective: light and brisk; lively,她用轻快的脚步走进房间。,She walked into the room with light brisk steps.,Literary,"Descriptive word for light, brisk, cheerful movement/sound/mood.",Unknown,2.6,649
受罚,shòufá,verb: to be punished,如果违反规则，就会受罚。,"If you break the rules, you will be punished.",Everyday,,Unknown,2.6,650
五彩,wǔcǎi,adjective: multicolored; colorful,天空中出现了五彩的灯光。,Colorful lights appeared in the sky.,Literary,Descriptive word for colorful/multicolored; more vivid than 很多颜色.,Unknown,2.6,651
笑眯眯,xiàomīmī,adjective: smiling happily; beaming,老奶奶笑眯眯地看着孩子们。,The old lady looked at the children with a warm smile.,Literary,Vivid descriptive expression for smiling with narrowed eyes.,Unknown,2.6,652
养家,yǎngjiā,verb: to support a family,他一个人养家，压力非常大。,"He supports the whole family by himself, and the pressure is huge.",Everyday,,Unknown,2.6,653
摘花,zhāihuā,verb: to pick flowers,公园里禁止摘花。,Picking flowers is prohibited in the park.,Everyday,,Unknown,2.6,654
装满,zhuāngmǎn,verb: to fill up; to pack full,箱子里装满了书。,The box is filled with books.,Everyday,,Unknown,2.6,655
重复,chóngfù,repeat,别总是重复同样的错误,Don’t keep repeating the same mistakes.,Everyday,,Band2,2.7,656
名单,míngdān,name list,你的名字已经在名单上了。,Your name is already on the list.,Neutral Formal,"Practical/document word for a list of names; common in school, work, events, and admin.",Band2,2.7,657
平安,píng'ān,sound and safe,祝你一路平安！,Wish you a safe journey!,Literary,Warm/emotional word for safety and well-being; common in wishes and reflective statements.,Band2,2.7,658
条件,tiáojiàn,condition / requirement,他符合申请奖学金的条件。,He meets the requirements for applying for the scholarship.,Neutral Formal,"Abstract noun for condition/requirement; common in rules, explanations, and comparisons.",Band2,2.7,659
证明,zhèngmíng,"verb: to prove / to certify
noun: proof / certificate",医生证明他已经康复，这张证明已经交给公司了。,"The doctor confirmed his recovery, and the certificate has been submitted to the company.",Neutral Formal,"Standard word for prove/proof/certificate; common in explanation, school, work, and documents.",Band3,2.7,660
童话,tónghuà,noun: fairy tale,小时候我很喜欢读童话。,I loved reading fairy tales when I was young.,Literary,Story/genre word for fairy tale; tied to narrative and imaginative writing.,Band4,2.7,661
出版,chūbǎn,verb: to publish,这本小说已经出版了。,This novel has already been published.,Neutral Formal,"Publishing-related word; common for books, articles, media, and formal release.",Band5,2.7,662
目光,mùguāng,"noun: gaze / vision (literal or figurative, e.g., foresight)",他的目光坚定，看得出来他已经下定决心了。,His gaze was firm—you could tell he had made up his mind.,Literary,Descriptive/narrative word for gaze/look; more literary than 眼神/看.,Band5,2.7,663
灾害,zāihài,noun: disaster; calamity,洪水造成了严重的灾害。,The flood caused serious disasters.,Official,"Formal/reportive word for disasters; common in news, safety, government, and public notices.",Band5,2.7,664
赞许,zànxǔ,verb/noun: to praise; approval,老师赞许地点了点头。,The teacher nodded in approval.,Literary,Expressive word for approval/praise; often used in descriptions like 赞许地点头. Its more about admiration than agreement.,Band7,2.7,671
慌张,huāngzhāng,adjective: nervous; flustered; panicked,遇到问题时不要慌张。,Don’t panic when facing problems.,Literary,Descriptive emotion/state word for panic/fluster; common in narration.,Band7,2.7,665
留意,liúyì,verb: to pay attention to; to notice (the bit warmer and less demanding version),过马路时要留意来往车辆。,Pay attention to passing vehicles when crossing the road.,Neutral Formal,Polished word for pay attention to/take note; common in reminders and instructions.,Band7,2.7,666
期盼,qīpàn,"verb/noun: to look forward to; expectation. Carries much stronger emotion and eagerness. It implies that you are waiting with your whole heart, or that the thing you are waiting for is deeply meaningful to you.",留守儿童都在期盼着过年和父母团聚,The left-behind children are all deeply longing to reunite with their parents during Chinese New Year.,Literary,Emotional/written word for looking forward to; stronger and more heartfelt than 期待.,Band7,2.7,667
人行道,rénxíngdào,noun: sidewalk; pedestrian walkway,请不要在 人行道 上骑自行车。,Please do not ride bicycles on the sidewalk.,Everyday,,Band7,2.7,668
退缩,tuìsuō,verb: to shrink back; to back down,面对困难，我们不能退缩。,We cannot back down when facing difficulties.,Literary,Descriptive/psychological word for shrinking back or backing down.,Band7,2.7,669
幸好,xìnghǎo,adverb: fortunately; luckily,幸好我们及时赶到了。,"Fortunately, we arrived in time.",Everyday,,Band7,2.7,670
阻拦,zǔlán,verb: to stop; to block; to prevent,没有人能阻拦他离开。,Nobody could stop him from leaving.,Neutral Formal,Standard word for obstruct/stop someone; more formal than 拦住.,Band7,2.7,672
