_Chinese,English,_EN1,_CN1,_EN2,_CN2,_EN3,_CN3,_EN1 Target,_EN2 Targe,_EN3 Target,Color
否则,otherwise; if not,"Hurry up, otherwise we will miss the bus.",快点，否则我们会错过公交车。,"You should save the file, otherwise you may lose your work.",你应该保存文件，否则可能会丢失内容。,"Follow the rules, otherwise you cannot enter.",遵守规定，否则你不能进去。,otherwise,otherwise,otherwise,5
哪儿,where; anywhere,Where are you going after class?,下课以后你要去哪儿？,I do not know where he lives.,我不知道他住在哪儿。,You can sit anywhere you like.,你喜欢坐哪儿就坐哪儿。,Where,where,anywhere,5
四处,everywhere; all around,He looked everywhere for his phone.,他四处找手机。,The children ran all around the park.,孩子们在公园里四处跑。,"After the storm, leaves were everywhere.",暴风雨过后，四处都是树叶。,everywhere,all around,everywhere,5
因为,because,I stayed home because it was raining.,因为下雨，我待在家里。,He was late because the traffic was bad.,他因为交通不好迟到了。,"Because she studied hard, she passed the exam.",因为她努力学习，所以通过了考试。,because,because,Because,5
因此,therefore; because of this,"It rained heavily; therefore, the match was cancelled.",雨下得很大，因此比赛取消了。,"He forgot his password; because of this, he could not log in.",他忘了密码，因此无法登录。,"The cost is too high; therefore, we need another plan.",成本太高，因此我们需要另一个计划。,therefore,because of this,therefore,5
因而,therefore; as a result,"The road was blocked; therefore, we arrived late.",道路被堵住了，因而我们迟到了。,"He worked hard, and as a result, he improved quickly.",他很努力，因而进步很快。,"The product was too expensive; therefore, few people bought it.",产品太贵，因而很少有人购买。,therefore,as a result,therefore,5
处处,everywhere; in every aspect,There are signs everywhere in the building.,楼里处处都有标志。,He is careful in every aspect.,他处处都很小心。,This rule affects students everywhere on campus.,这个规定在校园里处处影响学生。,everywhere,in every aspect,everywhere,5
外面,outside; outside area,It is raining outside.,外面在下雨。,Please wait outside the classroom.,请在教室外面等。,The outside area is very crowded.,外面很拥挤。,outside,outside,outside area,5
多半,probably; most likely,He is probably still at work.,他多半还在上班。,She most likely forgot the meeting.,她多半忘了会议。,This problem is probably caused by the network.,这个问题多半是网络造成的。,probably,most likely,probably,5
多数,majority; most,The majority of students agreed with the decision.,多数学生同意这个决定。,Most people prefer simple explanations.,多数人喜欢简单的解释。,"In this class, the majority are beginners.",这个班里多数是初学者。,majority,Most,majority,5
多数时候,most of the time,"Most of the time, he works from home.",多数时候，他在家工作。,She is quiet most of the time.,她多数时候都很安静。,"Most of the time, this method works well.",多数时候，这个方法很好用。,Most of the time,most of the time,Most of the time,5
多次,many times; repeatedly,I have explained this many times.,我已经多次解释这件事。,He repeatedly asked the same question.,他多次问同一个问题。,She visited that city many times.,她多次去过那个城市。,many times,repeatedly,many times,5
大体,generally; roughly,I generally understand what you mean.,我大体明白你的意思。,The plan is roughly complete.,计划大体完成了。,"Generally, the results are acceptable.",大体来看，结果可以接受。,generally,roughly,Generally,5
大多,mostly; most,The students are mostly from Singapore.,学生大多来自新加坡。,Most of the problems are easy to solve.,问题大多容易解决。,These books are mostly about history.,这些书大多是关于历史的。,mostly,Most,mostly,5
大概,probably; about; roughly,He will probably arrive at six.,他大概六点到。,The meeting lasted about two hours.,会议大概持续了两个小时。,I roughly know what happened.,我大概知道发生了什么。,probably,about,roughly,5
大约,approximately; about,The trip takes approximately thirty minutes.,路程大约需要三十分钟。,There were about fifty people in the room.,房间里大约有五十个人。,He arrived at approximately eight o’clock.,他大约八点到了。,approximately,about,approximately,5
大致,roughly; more or less,I roughly understand the situation.,我大致了解情况。,The two answers are more or less the same.,这两个答案大致相同。,He explained the plan roughly.,他大致说明了计划。,roughly,more or less,roughly,5
太,too; very,This question is too difficult.,这个问题太难了。,She was very happy after hearing the news.,听到这个消息后，她太高兴了。,The room is too small for ten people.,这个房间太小，坐不下十个人。,too,very,too,5
好不容易,with great difficulty; finally,I finally found the correct answer.,我好不容易找到了正确答案。,He passed the exam with great difficulty.,他好不容易通过了考试。,We finally arrived before the meeting started.,我们好不容易在会议开始前到了。,finally,with great difficulty,finally,5
如今,nowadays; now,"Nowadays, many people work from home.",如今，很多人在家工作。,He is now a successful engineer.,如今，他是一名成功的工程师。,"Nowadays, learning online is very common.",如今，在线学习很常见。,Nowadays,now,Nowadays,5
如今看来,looking at it now; from today’s perspective,"Looking at it now, that decision was correct.",如今看来，那个决定是对的。,"From today’s perspective, this method is outdated.",如今看来，这个方法已经过时了。,"Looking at it now, he was right.",如今看来，他是对的。,Looking at it now,From today’s perspective,Looking at it now,5
如果,if,"If you have time, please help me check this sentence.",如果你有时间，请帮我检查这个句子。,"If it rains tomorrow, we will stay at home.",如果明天下雨，我们就待在家里。,"If he agrees, we can start the project.",如果他同意，我们就可以开始项目。,If,If,If,5
姑且,for the time being; tentatively,Let us accept this explanation for the time being.,我们姑且接受这个解释。,"Tentatively, we can use this plan first.",我们姑且先用这个计划。,Let us treat this answer as correct for now.,我们姑且把这个答案当作正确的。,for the time being,Tentatively,for now,5
完全,completely; entirely,I completely understand your meaning.,我完全明白你的意思。,This answer is entirely wrong.,这个答案完全错了。,He completely forgot about the meeting.,他完全忘了会议的事。,completely,entirely,completely,5
实在,really; truly; indeed,This question is really difficult.,这个问题实在太难了。,I truly cannot agree with this decision.,我实在不能同意这个决定。,He is indeed a very responsible person.,他实在是一个很负责的人。,really,truly,indeed,5
实际上,actually; in fact,"Actually, this rule is not complicated.",实际上，这个规则并不复杂。,"He looks calm, but in fact he is nervous.",他看起来很冷静，实际上很紧张。,"Actually, many students make this mistake.",实际上，很多学生都会犯这个错误。,Actually,in fact,Actually,5
对,correct; toward; to,Your answer is correct.,你的答案是对的。,He is very kind toward his classmates.,他对同学很友好。,Please say sorry to him.,请对他说对不起。,correct,toward,to,5
对于,regarding; toward; for,"Regarding this problem, I have a different opinion.",对于这个问题，我有不同的看法。,"For beginners, this grammar point is useful.",对于初学者来说，这个语法点很有用。,He is very serious toward his work.,他对于工作非常认真。,Regarding,For,toward,5
将来,future; in the future,I want to become a teacher in the future.,我将来想当老师。,This decision will affect the future.,这个决定会影响将来。,"In the future, technology will change education.",将来，科技会改变教育。,in the future,future,In the future,5
尚未,not yet; still have not,The result has not yet been announced.,结果尚未公布。,He still has not replied to my email.,他尚未回复我的邮件。,The problem has not yet been solved.,这个问题尚未解决。,not yet,still has not,not yet,5
尤其,especially; particularly,"I like sports, especially swimming.",我喜欢运动，尤其喜欢游泳。,This method is particularly useful for beginners.,这个方法对初学者尤其有用。,"He is busy this week, especially today.",他这个星期很忙，尤其是今天。,especially,particularly,especially,5
尤其是,especially; particularly,"I like Chinese food, especially noodles.",我喜欢中国菜，尤其是面条。,"Many students find grammar difficult, especially word order.",很多学生觉得语法很难，尤其是语序。,"This place is crowded on weekends, especially at night.",这个地方周末很拥挤，尤其是晚上。,especially,especially,especially,5
就,then; just; exactly,"If you are ready, then we can start.",如果你准备好了，我们就可以开始。,I just want to ask one question.,我就想问一个问题。,This is exactly the book I was looking for.,这就是我在找的那本书。,then,just,exactly,5
就是,exactly; namely; just,This is exactly what I mean.,这就是我的意思。,His problem is namely that he gives up too easily.,他的问题就是太容易放弃。,I just do not understand this sentence.,我就是不明白这个句子。,exactly,namely,just,5
尽力,do one’s best; try hard,I will do my best to finish the work today.,我会尽力今天完成工作。,He tried hard to explain the problem clearly.,他尽力把问题解释清楚。,Please do your best to help her.,请你尽力帮她。,do my best,tried hard,do your best,5
尽可能,as much as possible; as far as possible,Please speak as slowly as possible.,请尽可能说慢一点。,We should reduce mistakes as much as possible.,我们应该尽可能减少错误。,I will help you as far as possible.,我会尽可能帮助你。,as slowly as possible,as much as possible,as far as possible,5
尽快,as soon as possible,Please reply as soon as possible.,请尽快回复。,We need to solve this problem as soon as possible.,我们需要尽快解决这个问题。,I will send you the file as soon as possible.,我会尽快把文件发给你。,as soon as possible,as soon as possible,as soon as possible,5
尽情,to one’s heart’s content; freely,The children played to their heart’s content.,孩子们尽情地玩。,You can express your ideas freely.,你可以尽情表达自己的想法。,She sang to her heart’s content at the party.,她在聚会上尽情地唱歌。,to their heart’s content,freely,to her heart’s content,5
尽早,as early as possible,Please submit the form as early as possible.,请尽早提交表格。,We should find a solution as early as possible.,我们应该尽早找到解决办法。,Tell me as early as possible if you cannot come.,如果你不能来，请尽早告诉我。,as early as possible,as early as possible,as early as possible,5
尽管,although; despite; feel free to,"Although he was tired, he kept working.",尽管他很累，还是继续工作。,"Despite the rain, many people came.",尽管下雨，还是有很多人来了。,Feel free to ask me if you have questions.,有问题尽管问我。,Although,Despite,Feel free to,5
尽量,try one’s best to; as much as possible,Please try your best to arrive early.,请尽量早点到。,I will try to avoid making the same mistake.,我会尽量避免犯同样的错误。,Use simple words as much as possible.,尽量使用简单的词。,try your best to,try to,as much as possible,5
居然,unexpectedly; actually; to one’s surprise,He unexpectedly finished the work in one day.,他居然一天就把工作做完了。,She actually remembered my birthday.,她居然记得我的生日。,"To my surprise, he passed the exam without studying much.",他没怎么复习，居然通过了考试。,unexpectedly,actually,To my surprise,5
差一点,almost; nearly,I almost missed the last bus.,我差一点错过最后一班公交车。,She nearly fell down the stairs.,她差一点从楼梯上摔下来。,We almost forgot to bring the tickets.,我们差一点忘了带票。,almost,nearly,almost,5
差不多,almost; about the same; nearly,The two answers are almost the same.,这两个答案差不多。,The meeting lasted about two hours.,会议差不多开了两个小时。,I have nearly finished the report.,我差不多写完报告了。,almost,about,nearly,5
差点,almost; nearly,He almost lost his wallet.,他差点丢了钱包。,I nearly said the wrong answer.,我差点说错答案。,The child almost broke the cup.,孩子差点打破杯子。,almost,nearly,almost,5
差点儿,almost; nearly,I almost forgot your name.,我差点儿忘了你的名字。,He nearly missed the meeting.,他差点儿错过会议。,She almost cried after hearing the news.,她听到这个消息后差点儿哭了。,almost,nearly,almost,5
已经,already,I have already finished my homework.,我已经做完作业了。,He already knows the answer.,他已经知道答案了。,The train has already left.,火车已经开走了。,already,already,already,5
常常,often; frequently,He often goes jogging after work.,他下班后常常去跑步。,She frequently asks useful questions in class.,她上课时常常问有用的问题。,I often drink tea in the morning.,我早上常常喝茶。,often,frequently,often,5
平常,usually; ordinary; normal,I usually eat breakfast at seven.,我平常七点吃早饭。,This is an ordinary weekday.,这是一个平常的工作日。,He looks quieter than normal today.,他今天比平常安静。,usually,ordinary,normal,5
平时,usually; in ordinary times,I usually study Chinese at night.,我平时晚上学中文。,"In ordinary times, he does not talk much.",平时他不太说话。,She usually takes the bus to school.,她平时坐公交车去学校。,usually,In ordinary times,usually,5
并,and; also; at all,Please check the file and send it to me.,请检查文件并发给我。,He agreed and also gave some advice.,他同意了，并提出了一些建议。,This problem is not difficult at all.,这个问题并不难。,and,also,at all,5
并不,not really; not at all,This sentence is not really difficult.,这个句子并不难。,He is not at all angry.,他并不生气。,The result is not as bad as we thought.,结果并不像我们想的那么糟。,not really,not at all,not,5
并且,and; furthermore; moreover,He finished the report and sent it to the manager.,他完成了报告，并且发给了经理。,This method is simple and useful.,这个方法简单，并且有用。,"She studies hard; furthermore, she helps her classmates.",她学习很努力，并且经常帮助同学。,and,and,furthermore,5
并未,has not; did not; not yet,He has not replied to my message.,他并未回复我的消息。,The teacher did not explain the reason.,老师并未说明原因。,This problem has not yet been solved.,这个问题并未解决。,has not,did not,not yet,5
幸亏,fortunately; luckily,"Fortunately, you reminded me.",幸亏你提醒了我。,"Luckily, we left early and avoided the traffic jam.",幸亏我们早点出门，避开了堵车。,"Fortunately, he found his passport before leaving.",幸亏他出门前找到了护照。,Fortunately,Luckily,Fortunately,5
幸好,fortunately; luckily,"Fortunately, the rain stopped before the event.",幸好活动开始前雨停了。,"Luckily, I saved the file earlier.",幸好我之前保存了文件。,"Fortunately, no one was hurt.",幸好没有人受伤。,Fortunately,Luckily,Fortunately,5
应当,should; ought to,Students should respect their teachers.,学生应当尊重老师。,We ought to follow the rules.,我们应当遵守规定。,You should think carefully before deciding.,你应当先仔细考虑再决定。,should,ought to,should,5
应该,should; supposed to; probably,You should finish your homework first.,你应该先完成作业。,He is supposed to arrive before six.,他应该六点前到。,It will probably rain tomorrow.,明天应该会下雨。,should,supposed to,probably,5
异常,extremely; abnormal,He was extremely calm during the emergency.,紧急情况下，他异常冷静。,The system showed an abnormal error message.,系统显示了异常的错误信息。,The room was extremely quiet.,房间里异常安静。,extremely,abnormal,extremely,5
当场,on the spot; immediately,The teacher corrected the mistake on the spot.,老师当场改正了这个错误。,He apologized immediately after hearing the complaint.,听到投诉后，他当场道歉。,The manager made the decision on the spot.,经理当场做出了决定。,on the spot,immediately,on the spot,5
当时,at that time; then,I was still a student at that time.,我当时还是学生。,"Then, I did not understand why he left.",我当时不明白他为什么离开。,"At that time, this area was very quiet.",当时，这个地区很安静。,at that time,Then,At that time,5
当然,of course; naturally,"Of course, you can ask me questions.",当然，你可以问我问题。,He is naturally happy after passing the exam.,他通过了考试，当然很高兴。,"Of course, this method is not perfect.",当然，这个方法并不完美。,Of course,naturally,Of course,5
往后,from now on; later; afterward,"From now on, I will be more careful.",往后，我会更加小心。,"Later, he rarely mentioned that matter again.",往后，他很少再提那件事。,The story becomes more interesting afterward.,故事往后变得更有意思。,From now on,Later,afterward,5
往往,often; usually; tend to,People often ignore small problems.,人们往往忽视小问题。,Beginners usually make this mistake.,初学者往往会犯这个错误。,Simple methods tend to be more effective.,简单的方法往往更有效。,often,usually,tend to,5
很,very; quite,This sentence is very useful.,这个句子很有用。,He is quite busy today.,他今天很忙。,The weather is very cold tonight.,今晚的天气很冷。,very,quite,very,5
得,so; to the extent that,He was so tired that he fell asleep immediately.,他累得马上睡着了。,She spoke so quickly that I could not understand.,她说得太快，我听不懂。,The child laughed so happily that everyone smiled.,孩子笑得很开心，大家都笑了。,so,so,so,5
必定,certainly; surely; inevitably,He will certainly regret this decision.,他必定会后悔这个决定。,Hard work will surely bring progress.,努力必定会带来进步。,This problem will inevitably affect the result.,这个问题必定会影响结果。,certainly,surely,inevitably,5
必然,inevitable; bound to; necessarily,Failure is not inevitable.,失败并不是必然的。,This decision is bound to cause discussion.,这个决定必然会引起讨论。,Growth necessarily comes with difficulties.,成长必然伴随着困难。,inevitable,bound to,necessarily,5
必须,must; have to,You must finish this before tomorrow.,你必须在明天以前完成这个。,We have to follow the rules.,我们必须遵守规定。,Students must submit their homework on time.,学生必须按时交作业。,must,have to,must,5
忍不住,cannot help but; unable to resist,I could not help but laugh.,我忍不住笑了。,She could not help crying after hearing the news.,听到这个消息后，她忍不住哭了。,He was unable to resist asking another question.,他忍不住又问了一个问题。,could not help but,could not help,unable to resist,5
忽然,suddenly,The lights suddenly went out.,灯忽然灭了。,He suddenly remembered an important thing.,他忽然想起了一件重要的事。,"Suddenly, it started raining heavily.",忽然下起了大雨。,suddenly,suddenly,Suddenly,5
怪不得,no wonder,No wonder he looks so tired.,怪不得他看起来这么累。,No wonder this sentence sounds strange.,怪不得这个句子听起来很奇怪。,No wonder she did not come; she was sick.,怪不得她没来，原来她生病了。,No wonder,No wonder,No wonder,5
总,always; eventually; after all,He always forgets to bring his keys.,他总忘记带钥匙。,Problems will eventually be solved.,问题总会解决的。,"After all, he is still a beginner.",他总还是个初学者。,always,eventually,After all,5
总之,in short; in brief; anyway,"In short, this plan is not suitable.",总之，这个计划不合适。,"In brief, we need more time.",总之，我们需要更多时间。,"Anyway, you should check the answer again.",总之，你应该再检查一遍答案。,In short,In brief,Anyway,5
总是,always,He always arrives late.,他总是迟到。,She always helps her classmates.,她总是帮助同学。,This computer always has problems.,这台电脑总是出问题。,always,always,always,5
总算,finally; at long last,I finally finished the report.,我总算完成了报告。,"At long last, he understood the rule.",他总算明白了这个规则。,We finally found the correct address.,我们总算找到了正确的地址。,finally,At long last,finally,5
总而言之,in summary; all in all; to sum up,"In summary, this method is useful but slow.",总而言之，这个方法有用，但是很慢。,"All in all, the meeting was successful.",总而言之，会议很成功。,"To sum up, we should start earlier next time.",总而言之，下次我们应该早点开始。,In summary,All in all,To sum up,5
恐怕,I’m afraid; probably,I’m afraid he cannot come today.,恐怕他今天不能来了。,This answer is probably wrong.,这个答案恐怕是错的。,I’m afraid we do not have enough time.,恐怕我们没有足够的时间。,I’m afraid,probably,I’m afraid,5
恰好,just right; exactly; happen to,This size is just right.,这个大小恰好。,We arrived at exactly six o’clock.,我们恰好六点到了。,I happened to meet him at the library.,我恰好在图书馆遇见了他。,just right,exactly,happened to,5
恰巧,by coincidence; happen to; just then,"By coincidence, we took the same train.",我们恰巧坐了同一班火车。,I happened to see her at the station.,我恰巧在车站看见了她。,"Just then, the teacher walked in.",恰巧这时，老师走了进来。,By coincidence,happened to,Just then,5
慢慢,slowly; gradually,Please speak slowly.,请慢慢说。,He gradually became more confident.,他慢慢变得更有信心。,The sky slowly became dark.,天慢慢黑了下来。,slowly,gradually,slowly,5
或许,perhaps; maybe,Perhaps he has already left.,他或许已经离开了。,Maybe this method will work.,这个方法或许有用。,Perhaps she does not know the truth yet.,她或许还不知道真相。,Perhaps,Maybe,Perhaps,5
所以,so; therefore,"I was tired, so I went home early.",我很累，所以早点回家了。,"He did not study, therefore he failed the exam.",他没有复习，所以考试不及格。,"It was raining, so we stayed inside.",外面在下雨，所以我们待在里面。,so,therefore,so,5
才,only then; just; not until,He only understood the meaning after the teacher explained it.,老师解释以后，他才明白意思。,I just arrived ten minutes ago.,我十分钟前才到。,She did not start studying until the exam was near.,快考试了，她才开始复习。,only,just,not until,5
才刚,just now; only just,He only just started learning Chinese.,他才刚开始学中文。,I just finished the first page.,我才刚看完第一页。,She had only just arrived when it started raining.,她才刚到，就开始下雨了。,only just,just,only just,5
按照,according to; in accordance with,Please complete the form according to the instructions.,请按照说明填写表格。,We acted in accordance with the rules.,我们按照规定办事。,"According to the schedule, the meeting starts at nine.",按照时间表，会议九点开始。,according to,in accordance with,According to,5
挺,quite; rather,This restaurant is quite good.,这家餐厅挺不错的。,He is rather busy today.,他今天挺忙的。,This grammar point is quite useful.,这个语法点挺有用的。,quite,rather,quite,5
换句话说,in other words,"He failed the test; in other words, he needs to study again.",他考试没通过，换句话说，他需要重新复习。,"This word is formal; in other words, it is not common in daily speech.",这个词比较正式，换句话说，日常说话不常用。,"The plan is too risky; in other words, we should not use it.",这个计划风险太高，换句话说，我们不应该采用。,in other words,in other words,in other words,5
换言之,in other words; that is to say,"This method is inefficient; in other words, it wastes too much time.",这个方法效率不高，换言之，它浪费太多时间。,"He lacks experience; that is to say, he still needs guidance.",他缺少经验，换言之，他还需要指导。,"The answer is incomplete; in other words, it cannot get full marks.",这个答案不完整，换言之，不能拿满分。,in other words,that is to say,in other words,5
接着,then; next; immediately after,He finished breakfast and then went to work.,他吃完早饭，接着去上班。,"Next, please read the second paragraph.",接着，请读第二段。,"Immediately after the meeting, she called her manager.",会议结束后，她接着给经理打电话。,then,Next,Immediately after,5
故意,deliberately; on purpose,He deliberately ignored my question.,他故意不回答我的问题。,She said it loudly on purpose.,她故意说得很大声。,The child deliberately hid the book.,孩子故意把书藏起来。,deliberately,on purpose,deliberately,5
整整,fully; a whole; exactly,He waited for a whole hour.,他整整等了一个小时。,I spent fully three days writing this report.,我整整花了三天写这份报告。,She studied for exactly six hours.,她整整学习了六个小时。,a whole,fully,exactly,5
方才,just now; only then,I saw him just now at the entrance.,我方才在门口看见他。,Only then did he realize his mistake.,他方才意识到自己的错误。,She just now called to ask about the meeting.,她方才打电话来问会议的事。,just now,Only then,just now,5
旁边,beside; next to,There is a chair beside the table.,桌子旁边有一把椅子。,She sat next to me during the meeting.,开会时，她坐在我旁边。,The shop next to the station is very popular.,车站旁边的那家店很受欢迎。,beside,next to,next to,5
无意中,unintentionally; by accident,I unintentionally heard their conversation.,我无意中听到了他们的对话。,He found the old photo by accident.,他无意中发现了那张旧照片。,She unintentionally said the wrong name.,她无意中说错了名字。,unintentionally,by accident,unintentionally,5
无论,no matter; regardless of,"No matter what happens, do not give up.",无论发生什么事，都不要放弃。,"Regardless of the result, we should try our best.",无论结果如何，我们都应该尽力。,"No matter how busy he is, he calls his parents every week.",无论多忙，他每个星期都会给父母打电话。,No matter,Regardless of,No matter,5
既,both; since; already,This method is both simple and useful.,这个方法既简单又有用。,"Since you already know the answer, explain it to everyone.",既然你已经知道答案，就给大家解释一下。,"He is already here, so let us begin.",他既已到了，我们就开始吧。,both,Since,already,5
既然,since; now that,"Since you are here, let us start the meeting.",既然你来了，我们就开始开会吧。,"Now that he has apologized, do not blame him anymore.",既然他已经道歉了，就别再怪他了。,"Since the weather is bad, we should stay home.",既然天气不好，我们就待在家里吧。,Since,Now that,Since,5
日前,recently; a few days ago,The company recently announced a new policy.,公司日前公布了一项新政策。,"A few days ago, he returned from Beijing.",他日前从北京回来了。,The school recently held an important meeting.,学校日前召开了一次重要会议。,recently,A few days ago,recently,5
早就,long ago; already long since,I already knew this long ago.,我早就知道这件事了。,He finished the work long ago.,他早就完成了工作。,She has long since stopped using that phone.,她早就不用那部手机了。,long ago,long ago,long since,5
早已,already long ago; long since,The problem was already solved long ago.,这个问题早已解决了。,He has long since left the company.,他早已离开公司。,This rule was already changed long ago.,这个规定早已改变了。,already,long since,already,5
早晚,sooner or later; morning and evening,"Sooner or later, he will understand.",他早晚会明白的。,I read Chinese every morning and evening.,我早晚都读中文。,This problem will sooner or later appear again.,这个问题早晚会再次出现。,Sooner or later,morning and evening,sooner or later,5
早该,should have long ago; should already have,You should have apologized long ago.,你早该道歉了。,This old system should already have been replaced.,这个旧系统早该被替换了。,He should have told us the truth long ago.,他早该告诉我们真相了。,should have,should already have,should have,5
时不时,from time to time; occasionally,He calls me from time to time.,他时不时给我打电话。,She occasionally looks back at the door.,她时不时回头看门口。,The computer freezes from time to time.,这台电脑时不时会卡住。,from time to time,occasionally,from time to time,5
时常,often; frequently,He often thinks about his hometown.,他时常想起自己的家乡。,She frequently practices speaking Chinese.,她时常练习说中文。,I often see him in the library.,我时常在图书馆看到他。,often,frequently,often,5
时时,always; constantly; at all times,We should always pay attention to safety.,我们应该时时注意安全。,He constantly reminds himself not to give up.,他时时提醒自己不要放弃。,Parents care about their children at all times.,父母时时关心孩子。,always,constantly,at all times,5
明显,obvious; clearly,His attitude clearly changed.,他的态度明显改变了。,There is an obvious difference between the two answers.,这两个答案有明显的区别。,She was clearly unhappy with the result.,她对结果明显不满意。,clearly,obvious,clearly,5
显然,obviously; clearly,"Obviously, he did not understand the question.",显然，他没有听懂这个问题。,"Clearly, this method is not suitable.",显然，这个方法不合适。,"Obviously, we need more time.",显然，我们需要更多时间。,Obviously,Clearly,Obviously,5
暂且,for the time being; temporarily,Let us use this solution for the time being.,我们暂且用这个办法。,"Temporarily, we can put this issue aside.",我们暂且把这个问题放一放。,"For now, let us assume this answer is correct.",我们暂且认为这个答案是对的。,for the time being,Temporarily,For now,5
暂时,temporarily; for now,I am temporarily living with my friend.,我暂时住在朋友家。,"For now, this plan will not change.",这个计划暂时不会改变。,The shop is temporarily closed.,这家店暂时关门了。,temporarily,For now,temporarily,5
更,more; even more,This sentence is more natural.,这个句子更自然。,He became even more nervous after hearing the news.,听到这个消息后，他更紧张了。,I like this method more.,我更喜欢这个方法。,more,even more,more,5
更为,even more; more,This explanation is even more formal.,这个解释更为正式。,The situation became more complicated.,情况变得更为复杂。,This method is more effective than the old one.,这个方法比旧方法更为有效。,even more,more,more,5
更加,even more; more,She became even more confident.,她变得更加自信。,This example is more useful for beginners.,这个例子对初学者更加有用。,We need to work even harder.,我们需要更加努力。,even more,more,even harder,5
曾经,once; used to; formerly,I once lived in Beijing.,我曾经住在北京。,He used to work at that company.,他曾经在那家公司工作。,This place was formerly very quiet.,这个地方曾经很安静。,once,used to,formerly,5
最,most; -est,This is the most important rule.,这是最重要的规则。,He is the tallest student in the class.,他是班里最高的学生。,I like this sentence the most.,我最喜欢这个句子。,most,tallest,the most,5
最后,finally; last; in the end,"Finally, he agreed with our plan.",最后，他同意了我们的计划。,Please read the last paragraph.,请读最后一段。,"In the end, we chose the cheaper option.",最后，我们选择了比较便宜的方案。,Finally,last,In the end,5
最多,at most; the most,This room can hold at most twenty people.,这个房间最多能坐二十个人。,He answered the most questions correctly.,他答对的问题最多。,The trip will take at most one hour.,路程最多需要一个小时。,at most,the most,at most,5
最好,had better; best,You had better leave early today.,你今天最好早点走。,This is the best solution.,这是最好的解决办法。,You had better check it again before submitting.,提交以前，你最好再检查一遍。,had better,best,had better,5
最少,at least; the least,You need at least three examples.,你最少需要三个例子。,He made the least mistakes in the class.,他在班里犯的错误最少。,This task will take at least two hours.,这个任务最少需要两个小时。,at least,the least,at least,5
最近,recently; lately; nearest,I have been very busy recently.,我最近很忙。,"Lately, he has been studying Chinese every day.",他最近每天都在学中文。,The nearest station is ten minutes away.,最近的车站离这里十分钟。,recently,Lately,nearest,5
有时,sometimes,Sometimes I study in the library.,我有时在图书馆学习。,He sometimes forgets to bring his notebook.,他有时忘记带笔记本。,Sometimes this method does not work.,这个方法有时不好用。,Sometimes,sometimes,Sometimes,5
有时候,sometimes,Sometimes she cooks at home.,她有时候在家做饭。,He sometimes speaks too quickly.,他有时候说得太快。,Sometimes I cannot understand this grammar point.,我有时候听不懂这个语法点。,Sometimes,sometimes,Sometimes,5
有点儿,a little; somewhat,This question is a little difficult.,这个问题有点儿难。,She felt somewhat nervous before the interview.,面试前，她有点儿紧张。,The soup is a little salty.,这个汤有点儿咸。,a little,somewhat,a little,5
未必,not necessarily; may not,This answer is not necessarily wrong.,这个答案未必是错的。,Expensive things may not be better.,贵的东西未必更好。,He may not agree with this decision.,他未必会同意这个决定。,not necessarily,may not,may not,5
未曾,have never; never did,I have never heard this story before.,我未曾听过这个故事。,He never did explain the reason.,他未曾解释原因。,She has never forgotten that day.,她未曾忘记那一天。,have never,never did,has never,5
未来,future; in the future,"In the future, I want to work overseas.",未来，我想去海外工作。,This decision will affect the future.,这个决定会影响未来。,Future technology may change education.,未来的科技可能会改变教育。,In the future,future,Future,5
本来,originally; at first; should have,I originally wanted to go with you.,我本来想跟你一起去。,"At first, this plan seemed simple.",这个计划本来很简单。,You should have told me earlier.,你本来应该早点告诉我。,originally,At first,should have,5
极为,extremely; exceedingly,This problem is extremely serious.,这个问题极为严重。,His explanation was extremely clear.,他的解释极为清楚。,This result is exceedingly rare.,这个结果极为少见。,extremely,extremely,exceedingly,5
极其,extremely; highly,This method is extremely effective.,这个方法极其有效。,He is highly careful when handling data.,他处理数据时极其小心。,The weather today is extremely unusual.,今天的天气极其反常。,extremely,highly,extremely,5
果然,sure enough; as expected,"Sure enough, he passed the exam.",果然，他通过了考试。,"As expected, it started raining in the afternoon.",果然，下午开始下雨了。,"I knew this answer was wrong, and sure enough, the teacher corrected it.",我知道这个答案不对，果然，老师改正了它。,Sure enough,As expected,sure enough,5
根据,according to; based on,"According to the report, sales increased this year.",根据报告，今年的销售额增加了。,We made this decision based on the data.,我们根据数据做出了这个决定。,"According to the rules, you must register first.",根据规定，你必须先登记。,According to,based on,According to,5
格外,especially; particularly,The sky looks especially clear today.,今天的天空格外晴朗。,She was particularly happy after receiving the news.,收到消息后，她格外高兴。,This room feels especially quiet at night.,这个房间晚上格外安静。,especially,particularly,especially,5
正,just; exactly; currently,He is just standing at the door.,他正站在门口。,This is exactly what I need.,这正是我需要的。,The meeting is currently in progress.,会议正进行中。,just,exactly,currently,5
正在,currently; in the middle of,I am currently writing a report.,我正在写报告。,He is in the middle of taking an exam.,他正在考试。,They are currently discussing this problem.,他们正在讨论这个问题。,currently,in the middle of,currently,5
正好,just right; exactly; happen to,This size is just right.,这个大小正好。,We arrived at exactly eight o’clock.,我们正好八点到。,I happened to meet him at the station.,我正好在车站遇见他。,just right,exactly,happened to,5
