Chinese Words,_apinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,Chinese Usage in a Sentence Hint,Band 0 HSK,Dao,Color
作用,zuòyòng,Effect,这种药的作用很快。,This medicine works quickly.,这种药的__很快。,Band2,1.8,5
组长,zǔzhǎng,group leader,我们组的组长负责组织活动。,Our group leader is in charge of organizing activities.,我们组的__负责组织活动。,Band2,3.4,5
爱心,àixīn,compassion / caring heart,她是一位充满爱心的老师。,She is a very compassionate teacher.,她是一位充满__的老师。,Band3,1.4,5
按,àn,press; push; check; restrain,请按这个按钮。,Please press this button.,请按这个__钮。,Band3,Unknown,5
按照,ànzhào,according to,按照计划，我们明天出发。事态没有完全按照计划发展。,"According to the plan, we’ll leave tomorrow.",__计划，我们明天出发。,Band3,1.7,5
安装,ānzhuāng,to install,我们需要安装一个新的空调。,We need to install a new air conditioner.,我们需要__一个新的空调。,Band3,Unknown,5
白菜,báicài,Chinese cabbage,妈妈做了一道炒白菜。,Mom cooked a stir-fried cabbage dish.,妈妈做了一道炒__。,Band3,4.3,5
板,bǎn,board / plank,地上铺着木板,There are wooden boards on the floor.,地上铺着木__,Band3,Unknown,5
班级,bānjí,class (group of students),我们班级里有三十个学生。,There are 30 students in our class.,我们__里有三十个学生。,Band3,7.2,5
办理,bànlǐ,to handle / to process,我去银行办理开户手续。,I went to the bank to open an account.,我去银行__开户手续。,Band3,Unknown,5
保安,bǎoān,security guard,保安每天在大门口检查,The security guard checks the gate every day.,__每天在大门口检查,Band3,7.2,5
保持,bǎochí,to maintain / to keep ( maintaining a state or condition.),请保持安静。,Please keep quiet.,请__安静。,Band3,1.4,5
保存,bǎocún,to preserve / to save ( keeping something safe for future use),你要保存好这份文件。,You need to keep this document safe.,你要__好这份文件。,Band3,3.9,5
报到,bàodào,to check in / to report (for duty),新员工下周一来公司报到。,New employees will check in at the company on Monday.,新员工下周一来公司__。,Band3,3.11,5
报道,bàodào,"Verb: to cover or report news
Noun: a news report / story
used in journalism, media, or public information.",目前，调查性报道与解释性报道、客观性报道鼎足而立，成为西方新闻界的主流报道方式。,"Now, investigative reporting, interpretative reporting and objective reporting stands in its place fairly, and has become the mainstreamed reporting type in western press.",新闻__说明天会下雨。,Band3,5.5,5
报告,bàogào,"Verb: to report (to a superior)
Noun: a report, presentation
formal, official, often used in work, study, or military contexts.",夜班时，检查夜间报告，准备早间报告。,"When on night shift, check night reports, prepare the morning report.",老师让我们写一个读书__,Band3,2.2,5
保留,bǎoliú,to retain / to keep,学校保留了他的学籍。,The school retained his student status.,学校__了他的学籍。,Band3,2.5,5
保险,bǎoxiǎn,insurance,出国旅行要买医疗保险。,You should buy health insurance when traveling abroad.,出国旅行要买医疗__。,Band3,Unknown,5
保证,bǎozhèng,to guarantee / guarantee,我保证明天准时到,I guarantee I’ll arrive on time tomorrow.,我__明天准时到,Band3,2.1,5
把握,bǎwò,to grasp / to seize / certainty,这次机会很难得，你要把握住。,This is a rare opportunity—you should seize it.,这次机会很难得，你要__住。,Band3,Unknown,5
被子,bèizi,quilt / blanket,天冷了，要多盖点被子,It’s cold—use more blankets.,天冷了，要多盖点__,Band3,3.7,5
本来,běnlái,originally / at first,我本来打算出去，但下雨了。,"I was originally planning to go out, but it rained.",我__打算出去，但下雨了。,Band3,2.6,5
本领,běnlǐng,skill / ability ( Tends to emphasize a specific learned skill or acquired ability ),他有很多特别的本领。,He has many special skills.,他有很多特别的__。,Band3,2.6,5
本事,běnshi,"skill / ability ( can be more general and sometimes implies broader capability or resourcefulness,)",他真有本事，一个人就完成了任务。,He’s really capable—he completed the task on his own.,他真有__，一个人就完成了任务。,Band3,7.15,5
变化,biànhuà,change (noun),这里的变化很大。,There’s been a big change here.,这里的__很大。,Band3,1.8,5
变为,biànwéi,to turn into / become,雨水变为了雪,The rain turned into snow.,雨水__了雪,Band3,Unknown,5
表达,biǎodá,"express, convey, or voice something,",她很善于表达自己的想法。,She’s good at expressing her ideas.,她很善于__自己的想法。,Band3,1.8,5
表格,biǎogé,form / table (in documents),请填写这张申请表格。,Please fill out this application form.,请填写这张申请__。,Band3,2.4,5
表面,biǎomiàn,surface / appearance,表面看起来简单，其实很复杂,"It looks simple on the surface, but it’s actually complex.",__看起来简单，其实很复杂,Band3,5.1,5
表明,biǎomíng,to indicate / to show,研究结果表明这个方法有效。,The results show that this method is effective.,研究结果__这个方法有效。,Band3,6.2,5
标题,biāotí,title / headline,这篇文章的标题很吸引人。,The title of this article is very eye-catching.,这篇文章的__很吸引人。,Band3,4.5,5
表现,biǎoxiàn,"to behave (verb)
performance (noun)",他在比赛中表现得很勇敢. 根据你的表现，我们会考虑给你升职,"He performed very bravely in the competition. Based on your performance, we will consider giving you a promotion.",他在比赛中__得很勇敢. 根据你的表现，我们会考虑给你升职,Band3,1.8,5
标准,biāozhǔn,standard / criteria,"他做事的标准很高. 他的普通话说得很标准。
",He speaks very standard Mandarin His standards for doing things are very high,"他做事的__很高. 他的普通话说得很标准。
",Band3,5.3,5
比较,bǐjiào,relatively / to compare (adverb and verb),今天比较冷。请比较这两张照片。,It’s relatively cold today. Please compare these two photos.,今天比较冷。请__这两张照片。,Band3,1.3,5
比例,bǐlì,proportion / ratio,男女比例是一比一。,The male-to-female ratio is 1:1.,男女__是一比一。,Band3,Unknown,5
并（副、连）,bìng,actually / not at all (used with negative),我并不喜欢他的新歌,I don’t actually like his new song.,我__不喜欢他的新歌,Band3,Unknown,5
并且,bìngqiě,"And, moreover, furthermore. emphasizes the second point.",她聪明，并且很努力。,She’s smart and also hardworking.,她聪明，__很努力。,Band3,3.8,5
必然,bìrán,inevitable / bound to,成功是努力的必然结果,Success is the inevitable result of hard work.,成功是努力的__ 结果,Band3,Unknown,5
必要,bìyào,necessary,现在没有必要担心。,It’s not necessary to worry right now.,现在没有__担心。,Band3,3.3,5
播出,bōchū,"to broadcast (a show, etc.)",这部电视剧每晚八点播出。,This drama is broadcast every night at 8 p.m.,这部电视剧每晚八点__。,Band3,Unknown,5
播放,bōfàng,to play (audio/video),老师正在播放一段视频。,The teacher is playing a video.,老师正在__一段视频。,Band3,2.6,5
布,bù,"noun: cloth / fabric
verb: to announce / to spread (literary)",这块布上写着政府刚布的通知。,On this piece of fabric was written the newly announced notice from the government.,这块__上写着政府刚布的通知。,Band3,Unknown,5
补,bǔ,"verb: to mend / to patch
verb: to make up (for something lost or lacking)",他补好了破鞋，还补了一天没完成的工作。,He patched his torn shoes and also made up for the unfinished work from yesterday.,他__好了破鞋，还补了一天没完成的工作。,Band3,Unknown,5
不安,bù'ān,"adjective: uneasy / anxious
noun: uneasiness / anxiety",他因为即将公布的结果感到不安，这种不安一直没消失。,"He felt uneasy about the upcoming results, and that anxiety never went away.",他因为即将公布的结果感到__，这种不安一直没消失。,Band3,2.2,5
不必,búbì,no need to / not necessary,你不必太紧张。,You don’t need to be too nervous.,你__太紧张。,Band3,2.2,5
补充,bǔchōng,"verb: to supplement / to add
noun: supplement",老师补充了一些信息，这个补充很有用。,"The teacher added some information, and that supplement was very useful.",老师__了一些信息，这个补充很有用。,Band3,3.5,5
不得不,bùdébù,have no choice but to,下大雨了，我们不得不取消计划。,"It started raining heavily, so we had no choice but to cancel the plan.",下大雨了，我们__取消计划。,Band3,4.1,5
不断,búduàn,continuously / constantly,他在不断学习新东西。,He’s constantly learning new things.,他在__学习新东西。,Band3,2.2,5
不光,bùguāng,not only (slightly more colloquial),她不光会说汉语，还会写汉字。,"She not only speaks Chinese, but can also write Chinese characters.",她__会说汉语，还会写汉字。,Band3,Unknown,5
不仅,bùjǐn,not only (slightly more formal),他不仅唱歌好听，还会弹钢琴。,"Not only does he sing well, he also plays the pian",他__唱歌好听，还会弹钢琴。,Band3,2.6,5
不论,búlùn,no matter / regardless of,不论天气怎么样，我们都要去。,"No matter the weather, we’re going.",__天气怎么样，我们都要去。,Band3,5.1,5
部门,bùmén,noun: department (in an organization),请你联系财务部门处理费用问题。,Please contact the finance department to handle the expense issue.,请你联系财务__处理费用问题。,Band3,6.2,5
部长,bùzhǎng,noun: minister / department head,教育部长今天发表了讲话。,The Minister of Education gave a speech today.,教育__今天发表了讲话。,Band3,Unknown,5
才能,cáinéng,"noun: talent / ability
conjunction: only then can...",有绘画才能，努力之后才能成功。,"He has artistic talent, but only with effort can he succeed.",有绘画__，努力之后才能成功。,Band3,1.4,5
采取,cǎiqǔ,"adopting actions, methods, policies, or attitudes.",我们必须立即采取行动来保护环境。,We must immediately take action to protect the environment.,我们必须立即__行动来保护环境。,Band3,3.9,5
彩色,cǎisè,"noun: color
adjective: colored / multicolored",这幅彩色画很美，用了很多彩色的笔。,This colored painting is beautiful and used many colors.,这幅__画很美，用了很多彩色的笔。,Band3,4.2,5
采用,cǎiyòng,"adopting ideas, suggestions, designs, technologies, or materials.",这个公司采用了最新的AI技术。,The company adopted the latest AI technology.,这个公司__了最新的AI技术。,Band3,7.15,5
曾经,céngjīng,adverb: once / previously,我曾经来过这里，还拍了很多照片。,I’ve been here before and even took many photos.,我__来过这里，还拍了很多照片。,Band3,1.3,5
厂,chǎng,"noun: is a more general term for factory and is often used as a component in other words to describe various types of establishments or fields. When used alone, it can also mean a factory but might be less specific.",这家厂专门生产电子产品。,This factory specializes in producing electronics.,这家__专门生产电子产品。,Band3,Unknown,5
长处,chángchù,noun: strength / strong point,每个人都有自己的长处。,Everyone has their own strengths.,每个人都有自己的__。,Band3,5.4,5
场合,chǎnghé,occasion / situation,在正式场合，你应该穿得更正式一些。,"On formal occasions, you should dress more formally.",在正式__，你应该穿得更正式一些。,Band3,7.16,5
长期,chángqī,"adjective: long-term
noun: long period",他打算长期工作在国外，适应那里的长期生活。,He plans to work abroad long-term and adjust to life there over a long period.,他打算__工作在国外，适应那里的长期生活。,Band3,4.8,5
场所,chǎngsuǒ,place / venue (typically formal or public),图书馆是一个安静的学习场所。,The library is a quiet place for studying.,图书馆是一个安静的学习__。,Band3,6.1,5
产生,chǎnshēng,"verb: to produce / to generate (usually abstract things like ideas, feelings)",这个决定会产生严重的后果。,This decision will produce serious consequences.,这个决定会__严重的后果。,Band3,3.1,5
产生,chǎnshēng,verb: to produce; to generate; to arise,这个决定产生了很大的影响。,This decision produced a huge impact.,这个决定__了很大的影响。,Band3,3.1,5
朝,cháo,"preposition: toward / facing
noun: dynasty",她朝唐朝的方向走去，仿佛走进了历史。,"She walked toward the Tang Dynasty exhibit, as if stepping into history.",她__唐朝的方向走去，仿佛走进了历史。,Band3,Unknown,5
超级,chāojí,"adjective: super / ultra-
adverb: extremely / incredibly",他是超级英雄，也超级喜欢吃披萨。,He’s a superhero and also really loves pizza.,他是超级英雄，也__喜欢吃披萨。,Band3,2.4,5
程度,chéngdù,"noun: level / degree (of ability, severity, etc.) Used to talk about the level or extent of something.",他的中文已经达到了很高的程度,His Chinese has reached a high level.,他的中文已经达到了很高的__,Band3,5.5,5
成果,chéngguǒ,achievement / result (of effort or work),他们的研究取得了重要成果。,Their research achieved significant results.,他们的研究取得了重要__。,Band3,Unknown,5
成就,chéngjiù,accomplishment / achievement (often personal or major),她最大的成就是获得博士学位。,Her greatest achievement is earning a PhD.,她最大的__是获得博士学位。,Band3,2.2,5
成立,chénglì,verb: to establish / to found,这个公司成立于1999年。,This company was founded in 1999.,这个公司__于1999年。,Band3,6.1,5
城市,chéngshì,noun: city,这个城市的夜景非常美丽。,The night view of this city is beautiful.,这个__的夜景非常美丽。,Band3,1.9,5
成熟,chéngshú,"adjective: mature (personality, fruit, etc.)
verb: to mature / ripen",这些葡萄已经成熟了，而他也在困难中慢慢成熟起来。,"These grapes have ripened, and he too has matured through hardship.",这些葡萄已经成熟了，而他也在困难中慢慢__起来。,Band3,Unknown,5
称为,chēngwéi,"to be called / known as (used in more formal situations, titles, official names, and when emphasizing a specific designation.)",这种植物被称为“生命之花”。,"This plant is called the ""Flower of Life.""",这种植物被__“生命之花”。,Band3,5.1,5
成员,chéngyuán,noun: member (of a group/team),他是我们团队的重要成员,He is an important member of our team.,他是我们团队的重要__,Band3,2.4,5
成长,chéngzhǎng,"verb: to grow up
noun: growth / development",孩子的成长需要时间和关爱。,A child’s growth requires time and love.,孩子的__需要时间和关爱。,Band3,1.4,5
衬衫,chènshān,"shirt (usually buttoned, collared)",这件白衬衫很适合上班穿。,This white shirt is perfect for work.,这件白__很适合上班穿。,Band3,4.4,5
衬衣,chènyī,undershirt / shirt (interchangeable with 衬衫 in many regions),他穿着整洁的衬衣来面试。,He wore a neat shirt to the interview.,他穿着整洁的__来面试。,Band3,Unknown,5
持续,chíxù,to continue / to last. Used to emphasize the ongoing nature of something without interruption.,这场雨已经持续三天了。,This rain has lasted for three days.,这场雨已经__三天了。,Band3,5.3,5
充满,chōngmǎn,verb: to be full of / to be filled with (abstract or emotional),她的脸上充满了幸福的笑容。,Her face was full of a joyful smile.,她的脸上__了幸福的笑容。,Band3,1.4,5
传,chuán,"verb: to pass on (news, object)
verb: to transmit (information, knowledge, disease)",他把爷爷的故事传给了我，也传了一种特别的家族文化。,He passed down his grandfather’s stories to me and also transmitted a special family culture.,他把爷爷的故事传给了我，也__了一种特别的家族文化。,Band3,Unknown,5
传播,chuánbō,"to spread / to disseminate (information, culture, virus)",社交媒体能快速传播消息，也容易传播谣言。,"Social media can spread information quickly, but also spread rumors.",社交媒体能快速__消息，也容易传播谣言。,Band3,Unknown,5
创新,chuàngxīn,"verb: to innovate
noun: innovation",这家公司的创新令人惊讶，他们每年都有新的创新。,This company’s innovation is impressive — they come up with new innovations every year.,这家公司的__令人惊讶，他们每年都有新的创新。,Band3,Unknown,5
创业,chuàngyè,verb: to start a business,他决定辞职去创业，实现自己的梦想。,He decided to quit his job and start a business to pursue his dream.,他决定辞职去__，实现自己的梦想。,Band3,Unknown,5
创造,chuàngzào,"verb: to create / to produce (ideas, conditions, miracles)",我们要努力创造一个更美好的未来。,We must work hard to create a better future.,我们要努力__一个更美好的未来。,Band3,5.1,5
创作,chuàngzuò,"verb: to compose / to create (artwork, literature, music)
noun: a creative work",她在创作一幅画，这幅画也是她今年的主要创作,"She is painting a picture, which is also her main creative work this year.",她在__一幅画，这幅画也是她今年的主要创作,Band3,2.2,5
传来,chuánlái,"verb: (of sound, smell, etc.) to come through / to be heard from afar",厨房传来饭菜的香味和笑声。,Delicious smells and laughter came from the kitchen.,厨房__饭菜的香味和笑声。,Band3,1.2,5
传说,chuánshuō,"noun: legend / folklore
verb: it is said",传说这座山住着一条龙，这个传说流传了几百年。,"It is said that a dragon lives in this mountain, and this legend has been passed down for hundreds of years.",__这座山住着一条龙，这个传说流传了几百年。,Band3,5.1,5
初步,chūbù,adjective: preliminary / initial,这是我们的初步计划，之后会再修改。,This is our preliminary plan — we’ll revise it later.,这是我们的__计划，之后会再修改。,Band3,Unknown,5
初级,chūjí,adjective: beginner level / elementary,这本书适合初级学习者,This book is suitable for beginners.,这本书适合__学习者,Band3,4.5,5
处理,chǔlǐ,verb: to handle / to deal with / to process,我们必须尽快处理这个问题。,We must deal with this issue as soon as possible.,我们必须尽快__这个问题。,Band3,3.9,5
初中,chūzhōng,noun: junior high school,我在初中时参加了合唱团。,I joined the choir when I was in junior high.,我在__时参加了合唱团。,Band3,Unknown,5
从来,cónglái,adverb: always (in the past) / never (when used with negative),我从来没有看过这么奇怪的东西。,I’ve never seen something this strange before.,我__没有看过这么奇怪的东西。,Band3,1.2,5
从前,cóngqián,noun/adverb: once upon a time / in the past,从前有一个聪明的国王。,"Once upon a time, there was a wise king.",__有一个聪明的国王。,Band3,1.2,5
从事,cóngshì,verb: to be engaged in (a profession or activity),他从事教育工作已经十年了。,He has been working in education for ten years.,他__教育工作已经十年了。,Band3,7.16,5
存在,cúnzài,"verb: to exist
noun: existence",这个问题确实存在，但它的存在并不代表无解。,"This problem truly exists, but its existence doesn’t mean it’s unsolvable.",这个问题确实__，但它的存在并不代表无解。,Band3,4.6,5
错误,cuòwù,"noun: mistake / error
adjective: incorrect / mistaken",他的做法是错误的，这个错误可能带来严重后果。,"His approach is incorrect, and this mistake could lead to serious consequences.",他的做法是__的，这个错误可能带来严重后果。,Band3,1.3,5
达到,dádào,"verb: to reach (a level, goal, result)",他终于达到了自己的目标。,He finally reached his goal.,他终于__了自己的目标。,Band3,3.3,5
代表,dàibiǎo,"noun: representative
verb: to represent",他是学生会的代表，代表全体同学发言,He is the student council representative and speaks on behalf of all students.,他是学生会的__，__全体同学发言,Band3,1.4,5
代表团,dàibiǎotuán,noun: delegation,中国代表团将参加国际会议。,The Chinese delegation will attend the international conference.,中国__将参加国际会议。,Band3,Unknown,5
带动,dàidòng,verb: to lead / to bring along / to drive (development),这项新政策带动了整个行业的发展。,This new policy has driven the development of the entire industry.,这项新政策__了整个行业的发展。,Band3,Unknown,5
大夫,dàifu,noun: (colloquial) doctor,我去看了大夫，他说我感冒了。,I went to see the doctor; he said I had a cold.,我去看了__，他说我感冒了。,Band3,7.15,5
带领,dàilǐng,verb: to lead (people),他带领学生们参观博物馆。,He led the students to visit the museum.,他__学生们参观博物馆。,Band3,2.1,5
当初,dāngchū,noun/adverb: at that time / originally,如果我当初听你的话，就不会失败了。,"If I had listened to you back then, I wouldn’t have failed.",如果我__听你的话，就不会失败了。,Band3,7.15,5
当地,dāngdì,"noun: local area
adjective: local",我们品尝了当地的美食，和当地人聊了聊。,We tasted the local food and chatted with the locals.,我们品尝了当地的美食，和__人聊了聊。,Band3,3.9,5
当地,dāngdì,adjective/noun: local; local area,我们品尝了当地美食。,We tried the local food.,我们品尝了__美食。,Band3,3.9,5
当中,dāngzhōng,preposition: in the middle of / among,在讨论当中，他提出了一个关键问题,"In the middle of the discussion, he raised a key issue.",在讨论__，他提出了一个关键问题,Band3,5.3,5
单元,dānyuán,"noun: unit (of study, apartment, etc.)",我们今天开始学习新的一课单元。,Today we’re starting a new lesson unit.,我们今天开始学习新的一课__。,Band3,Unknown,5
到达,dàodá,verb: to arrive / to reach,火车准时到达了北京站。,The train arrived at Beijing Station on time.,火车准时__了北京站。,Band3,1.3,5
到底,dàodǐ,"adverb: after all / exactly / in the end
used for emphasis in questions",你到底想说什么？我到底该相信谁？,What exactly are you trying to say? Who should I believe in the end?,你__想说什么？我__该相信谁？,Band3,1.3,5
导演,dǎoyǎn,"noun: director (of a film, TV show, etc.)
verb: to direct",这部电影由著名导演执导，他不仅是导演，也是编剧。,This film is directed by a well-known filmmaker who is both the director and the screenwriter.,这部电影由著名__执导，他不仅是__，也是编剧。,Band3,5.3,5
打破,dǎpò,"verb: to break (physically or abstractly, like a record or silence)",他打破了沉默，也打破了世界纪录,He broke the silence — and the world record too.,他__了沉默，也__了世界纪录,Band3,1.5,5
大使馆,dàshǐguǎn,noun: embassy,你需要去中国大使馆办理签证。,You need to go to the Chinese embassy to apply for a visa.,你需要去中国__办理签证。,Band3,Unknown,5
打听,dǎting,"verb: to inquire / to ask about (news, situation, people)",他偷偷打听我的行程安排。,He secretly asked about my travel plans.,他偷偷__我的行程安排。,Band3,Unknown,5
大约,dàyuē,adverb: approximately / about,会议大约三点开始。,The meeting starts at about 3 p.m.,会议__三点开始。,Band3,2.6,5
得分,défēn,"verb: to score
noun: score / points",他得分很高，这次比赛的得分也是全场最高。,He scored high — his score was the highest in the game.,他__很高，这次比赛的__也是全场最高。,Band3,Unknown,5
等待,děngdài,verb: to wait (formal or literary),我们正在耐心地等待结果。,We are patiently waiting for the results.,我们正在耐心地__结果。,Band3,3.6,5
电视剧,diànshìjù,noun: TV drama / TV series,这部电视剧非常受欢迎。,This TV series is very popular.,这部__非常受欢迎。,Band3,3.5,5
电视台,diànshìtái,noun: television station,电视台正在直播晚会。,The TV station is broadcasting the gala live.,__正在直播晚会。,Band3,4.7,5
电台,diàntái,noun: radio station,我每天早上听电台节目学中文。,I listen to radio programs every morning to learn Chinese.,我每天早上听__节目学中文。,Band3,6.2,5
调,diào/tiáo,"verb (diào): to transfer / to shift
verb (tiáo): to adjust / to blend (e.g. flavor)",他被调到新部门，还自己调了调咖啡的味道,He was transferred to a new department and also adjusted the flavor of his coffee.,他被__到新部门，还自己调了调咖啡的味道,Band3,Unknown,5
调查,diàochá,"verb: to investigate
noun: investigation / survey",警方正在调查这件事，初步调查已经完成。,"The police are investigating the case, and the preliminary investigation is complete.",警方正在__这件事，初步调查已经完成。,Band3,2.3,5
订,dìng,verb: to book / to order / to subscribe,我已经订了机票，也订了一份中文杂志。,I’ve booked the plane ticket and subscribed to a Chinese magazine.,我已经__了机票，也__了一份中文杂志。,Band3,Unknown,5
定期,dìngqī,"adverb: regularly
adjective: fixed-date / scheduled",我们定期举行会议，所有定期报告也会准时提交。,"We hold meetings regularly, and all scheduled reports are submitted on time.",我们__举行会议，所有__报告也会准时提交。,Band3,5.3,5
地区,dìqū,noun: region / area,这个地区夏天非常炎热。,This region is very hot in summer.,这个__夏天非常炎热。,Band3,5.1,5
动力,dònglì,noun: motivation / driving force / power,兴趣是学习最好的动力。,Interest is the best motivation for learning.,兴趣是学习最好的__。,Band3,5.3,5
动人,dòngrén,adjective: touching / moving (emotionally),她的歌声非常动人，感动了在场的每一个人。,Her singing was so moving that it touched everyone present.,她的歌声非常__，感动了在场的每一个人。,Band3,7.16,5
断,duàn,"verb: to break / to cut off / to stop
verb (figurative): to be broken (emotionally or logically)",电线断了，我们之间的联系也断了。,"The power line broke, and so did our connection.",电线__了，我们之间的联系也断了。,Band3,Unknown,5
短处,duǎnchù,noun: shortcoming / weakness,每个人都有优点和短处。,Everyone has strengths and weaknesses.,每个人都有优点和__。,Band3,Unknown,5
短裤,duǎnkù,noun: shorts,夏天我喜欢穿T恤和短裤。,I like wearing T-shirts and shorts in the summer.,夏天我喜欢穿T恤和__。,Band3,7.2,5
短期,duǎnqī,noun: short term,我们计划进行一个短期培训课程。,We’re planning a short-term training course.,我们计划进行一个__培训课程。,Band3,Unknown,5
对待,duìdài,"verb: to treat (a person, situation, or issue)",我们应该认真对待每一个问题。,We should take every problem seriously.,我们应该认真__每一个问题。,Band3,2.3,5
对方,duìfāng,noun: the other side / the other party,通话时请尊重对方，不要打断。,Please respect the other party during a call and don’t interrupt.,通话时请尊重__，不要打断。,Band3,1.8,5
对手,duìshǒu,noun: opponent / rival,这场比赛的对手非常强大。,The opponent in this match is very strong.,这场比赛的__非常强大。,Band3,3.1,5
对象,duìxiàng,"noun: target / object (of action or study)
noun (colloquial): partner / significant other",他研究的对象是一种新病毒，他的恋爱对象也在同一个实验室。,"His research target is a new virus, and his romantic partner works in the same lab.",他研究的__是一种新病毒，他的恋爱__也在同一个实验室。,Band3,5.2,5
队员,duìyuán,noun: team member,每个队员都为胜利做出了贡献。,Each team member contributed to the victory.,每个__都为胜利做出了贡献。,Band3,2.1,5
顿,dùn,"measure word: for meals, scoldings, beatings, pauses
noun: pause / moment",他被批评了一顿，然后安静了一顿时间没说话。,"He got scolded, then paused for a moment without speaking.",他被批评了一__，然后安静了一__时间没说话。,Band3,Unknown,5
读者,dúzhě,"noun: reader (of books, articles, etc.)",作者和读者之间有一种特殊的联系。,There’s a special connection between the author and the reader.,作者和__之间有一种特殊的联系。,Band3,5.5,5
发表,fābiǎo,verb: to publish / to express (a view publicly),他刚发表了论文，还在会上发表了意见。,He just published a paper and also expressed his opinion at the meeting.,他刚__了论文，还在会上__了意见。,Band3,4.3,5
发出,fāchū,verb: to send out / to emit / to issue,警报突然发出响声。,The alarm suddenly emitted a sound.,警报突然_ _响声。,Band3,Unknown,5
发达,fādá,adjective: developed / advanced,这个国家的经济非常发达。,This country’s economy is very developed.,这个国家的经济非常__。,Band3,6.2,5
发动,fādòng,"verb: to start (engine, war, movement)",他发动了汽车，也发动了抗议活动。,He started the car and also launched the protest.,他__了汽车，也__了抗议活动。,Band3,Unknown,5
发明,fāmíng,"verb: to invent
noun: invention",他发明了一个新装置，这项发明改变了行业。,"He invented a new device, and that invention changed the industry.",他__了一个新装置，这项__改变了行业。,Band3,4.3,5
反对,fǎnduì,verb: to oppose / to be against,我不反对这个建议，但还有些地方需要讨论。,“Meter” is a basic unit of length; he works at a state-owned work unit.,我不__这个建议，但还有些地方需要讨论。,Band3,2.3,5
反对,fǎnduì,verb: to oppose / to object,我反对这个计划，因为它不现实。,I oppose this plan because it's unrealistic.,我__这个计划，因为它不现实。,Band3,2.3,5
反复,fǎnfù,"adverb: repeatedly
adjective: repetitive / inconsistent",他的态度反复，让人很难信任；他也反复练习了演讲内容,"His attitude is inconsistent, making him hard to trust; he also practiced his speech repeatedly.",他的态度__，让人很难信任；他也__练习了演讲内容,Band3,5.3,5
防,fáng,verb: to prevent / to guard against,请注意防火和防盗。,Please take precautions against fire and theft.,请注意__火和防盗。,Band3,Unknown,5
房东,fángdōng,noun: landlord / landlady,房东每个月都来收房租。,The landlord comes every month to collect the rent.,__每个月都来收房租。,Band3,Unknown,5
方式,fāngshì,noun: method / way / style,我们可以用不同的方式解决这个问题。,We can solve this problem in different ways.,我们可以用不同的__解决这个问题。,Band3,1.5,5
访问,fǎngwèn,"verb: to visit (formally, for interviews or diplomatic purposes)
noun: visit / interview",记者访问了市长，这次访问持续了一个小时。,"The reporter interviewed the mayor, and the visit lasted an hour.",记者__了市长，这次__持续了一个小时。,Band3,6.1,5
房屋,fángwū,noun: house / building,这片老旧的房屋正在被拆除。,These old houses are being demolished.,这片老旧的__正在被拆除。,Band3,3.1,5
防止,fángzhǐ,verb: to prevent / to avoid,多洗手可以防止病毒传播。,Washing hands frequently can prevent the spread of viruses.,多洗手可以__病毒传播。,Band3,4.4,5
房租,fángzū,noun: rent (for housing),这个城市的房租一年比一年贵。,Rent in this city gets more expensive every year.,这个城市的__一年比一年贵。,Band3,Unknown,5
范围,fànwéi,noun: scope / range / extent,这些问题都在考试范围之内。,These questions are all within the scope of the exam.,这些问题都在考试__之内。,Band3,Unknown,5
反应,fǎnyìng,"noun: reaction / response
verb: to react / to respond",这个药的反应很快，他对医生的提问也反应迅速。,"This medicine works quickly, and he also responded swiftly to the doctor’s questions.",这个药的__很快，他对医生的提问也__迅速。,Band3,1.8,5
反正,fǎnzhèng,adverb: anyway / in any case,你不去也没关系，反正我一个人也能完成。,It’s fine if you don’t go — I can finish it alone anyway.,你不去也没关系，__我一个人也能完成。,Band3,3.1,5
发送,fāsòng,"verb: to send / to dispatch (emails, data, goods)",请尽快发送电子邮件,Please send the email as soon as possible.,请尽快__电子邮件,Band3,7.11,5
发言,fāyán,"verb: to speak / make a speech
noun: speech / statement",在会议上，他主动发言，他的发言很有见解。,"He actively spoke at the meeting, and his speech was insightful.",在会议上，他主动__，他的__很有见解。,Band3,5.5,5
发展,fāzhǎn,"verb: to develop
noun: development",这个城市近年来发展很快，城市的发展吸引了很多人才,"This city has developed rapidly in recent years, and its development has attracted many talented people.

",这个城市近年来__很快，城市的__吸引了很多人才,Band3,2.4,5
费,fèi,noun: fee / expense,这项服务要收一定的费用，费用不算太高。,"This service requires a fee, but it’s not too expensive.",这项服务要收一定的__用，__用不算太高。,Band3,Unknown,5
飞行,fēixíng,"verb: to fly
noun: flight (as an activity)",飞行员热爱飞行，每次飞行都让他兴奋不已。,The pilot loves flying — every flight excites him.,__员热爱__，每次__都让他兴奋不已。,Band3,3.1,5
费用,fèiyòng,noun: cost / expense,旅行的所有费用由公司报销。,All travel expenses will be reimbursed by the company.,旅行的所有__由公司报销。,Band3,6.3,5
分别,fēnbié,"verb: to part / to separate
adverb: respectively
noun: separation",他们分别坐不同的航班离开，那场分别让人很难过,"They left on separate flights, and that parting was very emotional.",他们__坐不同的航班离开，那场__让人很难过,Band3,5.2,5
