1,2,3,4,5,6,7,8,9,10,Alt1,Alt2,Alt3,Alt4,Color
因为,你发给我,的,文件,有问题,所以,我没打开,,,,你发给我的文件因为有问题所以我没打开,empty,empty,,5
因为,他,今天要上班,所以,我们,晚点,再见面,,,,因为今天他要上班所以我们晚点再见面,他今天因为要上班所以我们晚点再见面,empty,,5
因为,我,忘记保存,文件,所以,内容,不见了,,,,因为文件我忘记保存所以内容不见了,empty,empty,,5
因为,这个方法,很有用,所以,我们,继续,用它,,,,这个方法因为很有用所以我们继续用它,empty,empty,,5
既然,你,已经来了,就,先坐下,等一下,,,,,你既然已经来了就先坐下等一下,empty,empty,,5
既然,大家,都听懂了,就,开始,做练习,,,,,大家既然都听懂了就开始做练习,empty,empty,,5
既然,文件,已经改好了,就,发给,老板吧,,,,,文件既然已经改好了就发给老板吧,empty,empty,,5
既然,你,不认识,这个字,就,查一下,意思,,,,既然这个字你不认识就查一下意思,这个字既然你不认识就查一下意思,empty,,5
既然,他,还没到,就,我们,先开始,会议,,,,既然他还没到我们就先开始会议,他既然还没到我们就先开始会议,empty,,5
既然,你,看完了,那本书,就,说说,你的想法,,,,既然那本书你看完了就说说你的想法,那本书既然你看完了就说说你的想法,empty,,5
既然,老师,已经解释过了,就,不要,再问,同样问题,,,,老师既然已经解释过了就不要再问同样问题,empty,empty,,5
既然,今天,没空,就,明天,再做,这个练习,,,,今天既然没空就明天再做这个练习,empty,empty,,5
既然,你,找到问题了,就,把它,改掉,,,,,你既然找到问题了就把它改掉,empty,empty,,5
既然,这个句子,太长,就,先把它,拆开,,,,,这个句子既然太长就先把它拆开,empty,empty,,5
虽然,我,看懂了,这个句子,但是,还不会,自然地说,,,,虽然这个句子我看懂了但是还不会自然地说,这个句子虽然我看懂了但是还不会自然地说,empty,,5
虽然,他,已经下班了,但是,还在,处理工作,,,,,他虽然已经下班了但是还在处理工作,empty,empty,,5
虽然,这个练习,有点难,但是,做完以后,很有用,,,,,这个练习虽然有点难但是做完以后很有用,empty,empty,,5
虽然,她,听不懂,那段话,但是,没有,放弃,,,,虽然那段话她听不懂但是没有放弃,那段话虽然她听不懂但是没有放弃,empty,,5
虽然,那本书,我买了,很久,但是,还没,看完,,,,那本书虽然我买了很久但是还没看完,empty,empty,,5
虽然,今天学,的,语法,很多,但是,我记住了,重点,,,今天学的语法虽然很多但是我记住了重点,虽然今天学的语法很多但是重点我记住了,empty,,5
虽然,这个网站,还没做好,但是,已经,可以练习,词汇,,,,这个网站虽然还没做好但是已经可以练习词汇,empty,empty,,5
虽然,他说得,不太清楚,但是,我,大概,听懂了,,,,他虽然说得不太清楚但是我大概听懂了,empty,empty,,5
虽然,我们,找到问题了,但是,还没,把它解决,,,,,我们虽然找到问题了但是还没把它解决,empty,empty,,5
虽然,这封邮件,被改过了,但是,内容,还是,不清楚,,,,这封邮件虽然被改过了但是内容还是不清楚,empty,empty,,5
因为,今天,要上班,所以,我,不能,太晚睡,,,,今天因为要上班所以我不能太晚睡,empty,empty,,5
因为,这个字,很常见,所以,你,最好,记住它,,,,这个字因为很常见所以你最好记住它,empty,empty,,5
因为,她,把作业,做完了,所以,可以,早点休息,,,,她因为把作业做完了所以可以早点休息,empty,empty,,5
因为,你昨天,发来,的,资料,很有用,所以,我放进报告里,,,因为昨天你发来的资料很有用所以我放进报告里,你昨天发来的资料因为很有用所以我放进报告里,empty,,5
因为,老师,讲得太快,所以,学生,没有,听懂,,,,老师因为讲得太快所以学生没有听懂,empty,empty,,5
因为,我们,已经讨论过,这个问题,所以,不用,再解释,,,,因为这个问题我们已经讨论过所以不用再解释,这个问题因为我们已经讨论过所以不用再解释,empty,,5
因为,他,忘记保存,修改,所以,文件,变回旧版,,,,因为修改他忘记保存所以文件变回旧版,empty,empty,,5
既然,你,已经看完了,就,把书,还给我,,,,,你既然已经看完了就把书还给我,empty,empty,,5
既然,大家,都准备好了,就,开始,今天的练习,,,,,大家既然都准备好了就开始今天的练习,empty,empty,,5
既然,这个方法,没有用,就,换一个,方法,,,,,这个方法既然没有用就换一个方法,empty,empty,,5
既然,他,不想参加,就,不要,勉强他,,,,,他既然不想参加就不要勉强他,empty,empty,,5
,,,,,,,,,,Alt1,Alt2,Alt3,,5
既然,文件,已经被删除了,就,先去,回收站找,,,,,文件既然已经被删除了就先去回收站找,empty,empty,,5
既然,你,听不懂,这句话,就,把它,拆开看,,,,你既然听不懂这句话就把它拆开看,这句话既然你听不懂就把它拆开看,empty,,5
既然,老师,已经说清楚了,就,按照,那个方法做,,,,,老师既然已经说清楚了就按照那个方法做,empty,empty,,5
既然,今天,时间不够,就,先练,简单句子,,,,,今天既然时间不够就先练简单句子,empty,empty,,5
既然,你,把问题,找出来了,就,试着,改掉它,,,,你既然把问题找出来了就试着改掉它,empty,empty,,5
既然,我们,已经到了,就,进去,等他们,,,,,我们既然已经到了就进去等他们,empty,empty,,5
虽然,你昨天发,的,那封邮件,被改过了,但是,我还是,看懂了,,,你昨天发的那封邮件虽然被改过了但是我还是看懂了,empty,empty,,5
因为,老师讲清楚,今天学,的,语法,所以,我们就,开始练习,,,因为今天学的语法老师讲清楚所以我们就开始练习,empty,empty,,5
既然,你看完,我给你,的,那本书,就,把想法,写下来,,,既然我给你的那本书你看完就把想法写下来,我给你的那本书既然你看完就把想法写下来,empty,,5
虽然,我下班以后,才看到,你发,的,消息,但是,马上回复了,,,虽然你发的消息我下班以后才看到但是马上回复了,你发的消息虽然我下班以后才看到但是马上回复了,empty,,5
因为,那个文件,被删除了,所以,我们,只好找,备份,,,,那个文件因为被删除了所以我们只好找备份,empty,empty,,5
如果,老板发来,的,通知,被改了,我们,就重新,安排会议,,,老板发来的通知如果被改了我们就重新安排会议,empty,empty,,5
虽然,他解释过,昨天发生,的,那件事,但是,大家还是,有点误会,,,虽然昨天发生的那件事他解释过但是大家还是有点误会,昨天发生的那件事虽然他解释过但是大家还是有点误会,empty,,5
因为,我看完,你推荐,的,那部电影,所以,终于明白,你的意思,,,因为你推荐的那部电影我看完所以终于明白你的意思,empty,empty,,5
只要,她把,报告里,的,错误,改完,就能交,给老师,,,empty,empty,empty,,5
虽然,那份资料,被放进,报告里,但是,内容,还不完整,,,,那份资料虽然被放进报告里但是内容还不完整,empty,empty,,5
因为,他到公司后,才发现,手机,忘在家里,所以,没回消息,,,,empty,empty,empty,,5
既然,你找不到,我刚才放,的,钥匙,就,看看,桌子下面,,,既然我刚才放的钥匙你找不到就看看桌子下面,我刚才放的钥匙既然你找不到就看看桌子下面,empty,,5
如果,我们讨论完,这个计划,以后,还有时间,就,把报告,写完,,,如果这个计划我们讨论完以后还有时间就把报告写完,empty,empty,,5
只要,老师解释清楚,这个语法,以后,学生,就能,把句子,做对,,,只要这个语法老师解释清楚以后学生就能把句子做对,这个语法只要老师解释清楚以后学生就能把句子做对,empty,,5
我,一边,听中文,一边,看字幕,,,,,,empty,empty,empty,,5
他,一边,上班,一边,回复客户,的,邮件,,,,empty,empty,empty,,5
她,一边,做饭,一边,听老师,讲语法,,,,,empty,empty,empty,,5
我们,一边,讨论问题,一边,把重点,写下来,,,,,empty,empty,empty,,5
你,一边,看例句,一边,试着,自己造句,,,,,empty,empty,empty,,5
老师,一边,解释语法,一边,在白板上,写例子,,,,,empty,empty,empty,,5
我,一边,复习昨天,学的词,一边,做新的,练习,,,,empty,empty,empty,,5
他,一边,找文件,一边,问同事,有没有备份,,,,,empty,empty,empty,,5
她,一边,看你发,的资料,一边,把错误,改掉,,,,empty,empty,empty,,5
你,先,看完说明,再,开始,做练习,,,,,说明你先看完再开始做练习,empty,empty,,5
他,先,问清楚,原因,再,告诉,大家,,,,原因他先问清楚再告诉大家,empty,empty,,5
她,先,做完作业,然后,才,去看电影,,,,,作业她先做完然后才去看电影,empty,empty,,5
我们,先,讨论问题,再,决定,怎么解决,,,,,问题我们先讨论再决定怎么解决,empty,empty,,5
老师,先,讲例句,然后,让学生,自己造句,,,,,empty,empty,empty,,5
你,先,把句子,拆开,再,看,意思,,,,你把句子先拆开再看意思,empty,empty,,5
我,先,复习生词,然后,再听,那段录音,,,,,生词我先复习然后再听那段录音,empty,empty,,5
他,先,看完邮件,再,回复,老板,,,,,邮件他先看完再回复老板,empty,empty,,5
我们,先,找到问题,然后,把它,改掉,,,,,问题我们先找到然后把它改掉,empty,empty,,5
他,不但,会说中文,而且,写得,很清楚,,,,,empty,empty,empty,,5
她,不仅,听懂了,还,能自己,解释出来,,,,,empty,empty,empty,,5
这本书,不但,内容有趣,而且,例句,很自然,,,,,empty,empty,empty,,5
那个文件,不仅,被删除了,还,找不到,备份,,,,,empty,empty,empty,,5
老师,不但,解释清楚了,而且,给了,很多例子,,,,,empty,empty,empty,,5
我,不仅,看完了,你推荐,的电影,还,写了感想,,,,你推荐的电影我不仅看完了还写了感想,empty,empty,,5
,,,,,,,,,,empty,empty,empty,,5
这个网站,不但,可以练词汇,而且,可以练,句子结构,,,,,empty,empty,empty,,5
今天学,的语法,不但,有用,而且,很适合,口语练习,,,,empty,empty,empty,,5
我,越,练习中文,越,听得懂,,,,,,中文我越练习越听得懂,empty,empty,,5
他,越,说,越,说不清楚,,,,,,empty,empty,empty,,5
我,越,看你发,的资料,越,觉得有用,,,,,empty,empty,empty,,5
老师,越,解释,我,越,明白,这个语法,,,,这个语法老师越解释我越明白,empty,empty,,5
你,越,急着回答,越,容易,说错,,,,,empty,empty,empty,,5
她,越,听那段录音,越,听得懂,里面的话,,,,,empty,empty,empty,,5
我们,越,讨论这个问题,越,发现,它很复杂,,,,,这个问题我们越讨论越发现它很复杂,empty,empty,,5
这个网站,越,做,越,适合,我的学习方式,,,,,empty,empty,empty,,5
他,越,复习昨天,学的词,越,不容易忘,,,,,昨天学的词他越复习越不容易忘,empty,empty,,5
除了,语法,以外,我,还,要练,听力,,,,empty,empty,empty,,5
除了,生词,以外,这个练习,也,能帮我,练句子,,,,这个练习除了生词以外也能帮我练句子,empty,empty,,5
除了,今天学,的内容,以外,老师,还,复习了旧课,,,,老师除了今天学的内容以外还复习了旧课,empty,empty,,5
除了,看例句,以外,你,还,应该,自己造句,,,,你除了看例句以外还应该自己造句,empty,empty,,5
除了,中文,以外,他,也,在学,日文,,,,他除了中文以外也在学日文,empty,empty,,5
除了,那个文件,以外,我,还,找到了,备份,,,,我除了那个文件以外还找到了备份,empty,empty,,5
除了,上班,以外,他,晚上,还要,做项目,,,,他除了上班以外晚上还要做项目,empty,empty,,5
除了,听懂意思,以外,我,还想,说得自然,,,,,我除了听懂意思以外还想说得自然,empty,empty,,5
除了,老师发,的资料,以外,我,也看了,网上例句,,,,除了老师发的资料以外我也看了网上例句,empty,empty,,5
除了,把错误,改掉,以外,我们,还要,检查格式,,,,我们除了把错误改掉以外还要检查格式,empty,empty,,5
我,不是,不想学,而是,不知道,怎么练,,,,,empty,empty,empty,,5
这个问题,不是,太难,而是,解释,不够清楚,,,,,empty,empty,empty,,5
他,不是,忘记回复,而是,今天,一直在上班,,,,,empty,empty,empty,,5
我,不是,看不懂,而是,还没,看完,,,,,empty,empty,empty,,5
她,不是,不会说,而是,说得,不够自然,,,,,empty,empty,empty,,5
这个练习,不是,没有用,而是,需要,多做几次,,,,,empty,empty,empty,,5
我们,不是,要放弃,而是,要换,一个方法,,,,,empty,empty,empty,,5
那封邮件,不是,被删除了,而是,被放进,另一个文件夹,,,,,empty,empty,empty,,5
你,不是,说错了,而是,少说了,一个词,,,,,empty,empty,empty,,5
虽然,我看完了,你推荐,的,那本书,但是,还没,写感想,,,虽然你推荐的那本书我看完了但是还没写感想,你推荐的那本书虽然我看完了但是还没写感想,empty,,5
因为,老师解释清楚了,所以,我,终于听懂,今天学,的语法,,,,因为今天学的语法老师解释清楚了所以我终于听懂,empty,empty,,5
既然,你已经,把作业,做完了,就,先休息,一下,,,,你既然已经把作业做完了就先休息一下,empty,empty,,5
如果,你听不懂,他刚才说,的,那句话,就,请他,再说一遍,,,如果他刚才说的那句话你听不懂就请他再说一遍,他刚才说的那句话如果你听不懂就请他再说一遍,empty,,5
只要,你把,不懂,的,句子,拆开,就,容易理解,,,只要不懂的句子你把它拆开就容易理解,不懂的句子只要你把它拆开就容易理解,empty,,5
我,下班以后,才看到,你发来,的,那封邮件,所以,马上回复了,,,下班以后我才看到你发来的那封邮件所以马上回复了,你发来的那封邮件我下班以后才看到所以马上回复了,empty,,5
她,一边,看说明,一边,把重点,写下来,,,,,empty,empty,empty,,5
我们,先,讨论问题,再,把方案,改好,,,,,empty,empty,empty,,5
这个练习,不但,能复习语法,而且,能练,造句,,,,,empty,empty,empty,,5
我,越,练习,越,觉得,中文有意思,,,,,empty,empty,empty,,5
除了,今天学,的词,以外,我,还复习了,昨天的内容,,,,我除了今天学的词以外还复习了昨天的内容,empty,empty,,5
我,不是,不想回答,而是,还没,想清楚,怎么说,,,,empty,empty,empty,,5
虽然,那个文件,被删除了,但是,我们,还找到,备份,,,,那个文件虽然被删除了但是我们还找到备份,empty,empty,,5
因为,他把时间,写错了,所以,大家,都迟到了,,,,,因为时间他写错了所以大家都迟到了,empty,empty,,5
既然,这个问题,已经被,找出来了,就,把它,改掉吧,,,,这个问题既然已经被找出来了就把它改掉吧,empty,empty,,5
如果,你复习完,今天学,的,生词,就,试着,自己造句,,,如果今天学的生词你复习完就试着自己造句,今天学的生词如果你复习完就试着自己造句,empty,,5
我,看完例句以后,才明白,这个结构,不是难,而是,不熟,,,,看完例句以后我才明白这个结构不是难而是不熟,empty,empty,,5
她,不仅,听懂了,老师说,的,内容,还,解释给我听,,,她不仅听懂了老师说的内容还解释给我听,老师说的内容她不仅听懂了还解释给我听,empty,,5
我们,一边,等巴士,一边,复习,今天学,的句子,,,,empty,empty,empty,,5
你,先,把文件,保存好,然后,再修改,内容,,,,你先把文件保存好然后再修改内容,empty,empty,,5
这个句子,越,拆开看,越,容易,看懂,,,,,empty,empty,empty,,5
除了,语法,以外,这个网站,也能,帮我练,听力,,,,这个网站除了语法以外也能帮我练听力,empty,empty,,5
虽然,他已经,下班了,但是,还在,回复客户,的邮件,,,,他虽然已经下班了但是还在回复客户的邮件,empty,empty,,5
因为,我没听清楚,你说,的,那句话,所以,又问了,一次,,,因为你说的那句话我没听清楚所以又问了一次,你说的那句话因为我没听清楚所以又问了一次,empty,,5
如果,报告里,的错误,被改完了,我们,就,可以提交,,,,如果报告里的错误被改完了我们就可以提交,empty,empty,,5
只要,你先,看完说明,再开始,就,不容易,做错,,,,只要说明你先看完再开始就不容易做错,说明只要你先看完再开始就不容易做错,empty,,5
我,不是,看不懂,这个字,而是,忘了,它的意思,,,,empty,empty,empty,,5
他,不但,把报告,写完了,而且,提前,发给老板,,,,他不但把报告写完了而且提前发给老板,empty,empty,,5
我,竟然,忘了,今天,要上班,,,,,,今天要上班我竟然忘了,empty,empty,,5
他,竟然,看懂了,老师刚才,讲的语法,,,,,,老师刚才讲的语法他竟然看懂了,empty,empty,,5
她,竟然,把作业,做完了,还,提前交了,,,,,她竟然把作业做完了还提前交了,empty,empty,,5
那个文件,竟然,被删除了,但是,备份还在,,,,,,那个文件竟然被删除了但是备份还在,empty,empty,,5
我们,竟然,找到了,昨天丢失,的钥匙,,,,,,昨天丢失的钥匙我们竟然找到了,empty,empty,,5
你,竟然,没有,保存文件,就关机了,,,,,,文件你竟然没有保存就关机了,empty,empty,,5
他,竟然,一边开会,一边,写报告,,,,,,他竟然一边开会一边写报告,empty,empty,,5
我,竟然,听懂了,那段很快,的录音,,,,,,那段很快的录音我竟然听懂了,empty,empty,,5
老师,竟然,没有发现,那个明显,的错误,,,,,,那个明显的错误老师竟然没有发现,empty,empty,,5
她,竟然,把我推荐,的书,看完了,,,,,,我推荐的书她竟然看完了,empty,empty,,5
我,偶然,在路上,遇到,以前的同学,,,,,,在路上我偶然遇到以前的同学,empty,empty,,5
他,偶然,发现了,文件里,的错误,,,,,,文件里的错误他偶然发现了,empty,empty,,5
她,偶然,听到,老师说,的那句话,,,,,,老师说的那句话她偶然听到,empty,empty,,5
我们,偶然,找到,一个很好用,的方法,,,,,,一个很好用的方法我们偶然找到,empty,empty,,5
你,偶然,看到,我昨天发,的消息,吗,,,,,我昨天发的消息你偶然看到吗,empty,empty,,5
他,偶然,打开了,被放错,的文件,,,,,,被放错的文件他偶然打开了,empty,empty,,5
我,偶然,看见,桌子下面,的钥匙,,,,,,桌子下面的钥匙我偶然看见,empty,empty,,5
她,偶然,认识了,一个会说中文,的朋友,,,,,,一个会说中文的朋友她偶然认识了,empty,empty,,5
我们,偶然,走进,你推荐,的那家店,,,,,,你推荐的那家店我们偶然走进,empty,empty,,5
老师,偶然,提到,我刚好不懂,的语法,,,,,,我刚好不懂的语法老师偶然提到,empty,empty,,5
我,刚,打开文件,就,发现,内容,不见了,,,,文件我刚打开就发现内容不见了,empty,empty,,5
他,刚,到公司,就,收到,老板的通知,,,,,empty,empty,empty,,5
她,刚,坐下来,就,开始,复习生词,,,,,empty,empty,empty,,5
我们,刚,讨论完,就,把计划,改好了,,,,,刚讨论完我们就把计划改好了,empty,empty,,5
你,刚,看完说明,就,开始,做练习,,,,,说明你刚看完就开始做练习,empty,empty,,5
老师,刚,解释完,学生,就,明白了,,,,,empty,empty,empty,,5
我,刚,保存文件,电脑,就,关机了,,,,,文件我刚保存电脑就关机了,empty,empty,,5
他,刚,把门关上,就,发现,钥匙还在里面,,,,,empty,empty,empty,,5
她,刚,收到消息,就,马上,回复了,,,,,消息她刚收到就马上回复了,empty,empty,,5
我们,刚,上车,巴士,就,开走了,,,,,empty,empty,empty,,5
我,本来,想早点睡,结果,复习到,很晚,,,,,empty,empty,empty,,5
他,本来,要来开会,结果,临时有事,没来了,,,,,empty,empty,empty,,5
她,本来,想自己做,结果,还是,请老师帮忙,,,,,empty,empty,empty,,5
我们,本来,打算坐巴士,结果,改坐,地铁了,,,,,empty,empty,empty,,5
你,本来,说要保存,结果,还是,忘记了,,,,,empty,empty,empty,,5
这个文件,本来,放在桌面,结果,被别人,删除了,,,,,empty,empty,empty,,5
他,本来,已经看懂了,结果,又被,新例句搞混了,,,,,empty,empty,empty,,5
我,本来,想问老师,结果,老师,已经走了,,,,,empty,empty,empty,,5
她,本来,准备发邮件,结果,发现,地址写错了,,,,,邮件她本来准备发结果发现地址写错了,empty,empty,,5
我们,本来,想早点完成,结果,问题,越做越多,,,,,empty,empty,empty,,5
我,一,到家,就,打开,你发的文件,,,,,empty,empty,empty,,5
他,一,听到消息,就,马上,跑出去了,,,,,消息他一听到就马上跑出去了,empty,empty,,5
她,一,看见老师,就,问,那个语法问题,,,,,那个语法问题她一看见老师就问,empty,empty,,5
我们,一,做完作业,就,开始,复习中文,,,,,作业我们一做完就开始复习中文,empty,empty,,5
你,一,看完例句,就,试着,自己造句,,,,,例句你一看完就试着自己造句,empty,empty,,5
老师,一,走进教室,就,开始,讲新语法,,,,,empty,empty,empty,,5
我,一,听懂那句话,就,把意思,写下来,,,,,那句话我一听懂就把意思写下来,empty,empty,,5
他,一,找到问题,就,把它,改掉了,,,,,问题他一找到就把它改掉了,empty,empty,,5
她,一,收到那封邮件,就,回复,给老板,,,,,那封邮件她一收到就回复给老板,empty,empty,,5
我们,一,下班,就,去,你推荐的店,,,,,empty,empty,empty,,5
我,刚,打开,你发来,的文件,就,发现,内容被删了,,,你发来的文件我刚打开就发现内容被删了,empty,empty,,5
他,本来,想把报告,写完,结果,越写,越觉得,问题很多,,,报告他本来想把它写完结果越写越觉得问题很多,empty,empty,,5
她,一,听懂老师,讲的语法,就,把例句,写下来了,,,,老师讲的语法她一听懂就把例句写下来了,empty,empty,,5
我们,偶然,找到,昨天讨论,的资料,所以,马上,放进报告里,,,昨天讨论的资料我们偶然找到所以马上放进报告里,empty,empty,,5
你,竟然,把我昨天,说的事,忘了,但是,还记得,那个词,,,我昨天说的事你竟然忘了但是还记得那个词,empty,empty,,5
他,刚,到公司,就,看到,老板发来,的通知,,,,到公司他刚就看到老板发来的通知,empty,empty,,5
我,本来,想先复习,生词,结果,一打开书,就睡着了,,,,生词我本来想先复习结果一打开书就睡着了,empty,empty,,5
她,一,看完,你推荐,的电影,就,写了,很长的感想,,,你推荐的电影她一看完就写了很长的感想,empty,empty,,5
我们,偶然,遇到,以前教我们,的老师,还,聊了很久,,,,以前教我们的老师我们偶然遇到还聊了很久,empty,empty,,5
他,竟然,把老师,刚解释清楚,的语法,又,搞混了,,,,老师刚解释清楚的语法他竟然又搞混了,empty,empty,,5
我,刚,把文件,保存好,电脑,就,突然关机了,,,,文件我刚把它保存好电脑就突然关机了,empty,empty,,5
她,本来,不想参加,结果,听完说明以后,竟然,改变了想法,,,,empty,empty,empty,,5
你,一,把句子,拆开,就,会发现,结构不难,,,,句子你一把它拆开就会发现结构不难,empty,empty,,5
我们,偶然,发现,被删除,的文件,还在,回收站里,,,,被删除的文件我们偶然发现还在回收站里,empty,empty,,5
他,竟然,一边开会,一边,把报告,写完了,,,,,报告他竟然一边开会一边把它写完了,empty,empty,,5
我,刚,听懂,那句话,老师,就,开始讲,下一个问题,,,那句话我刚听懂老师就开始讲下一个问题,empty,empty,,5
她,本来,已经把作业,做完了,结果,忘记,发给老师,,,,她本来已经把作业做完了结果忘记发给老师,empty,empty,,5
只要,你,一看到,不懂,的句子,就,先把它,标出来,,,只要不懂的句子你一看到就先把它标出来,不懂的句子只要你一看到就先把它标出来,empty,,5
我,偶然,看到,你昨天发,的消息,才知道,时间改了,,,,你昨天发的消息我偶然看到才知道时间改了,empty,empty,,5
他,竟然,没有看懂,老师写,的说明,所以,又问了一次,,,,老师写的说明他竟然没有看懂所以又问了一次,empty,empty,,5
虽然,我,刚学会,这个语法,但是,一说话,就容易忘,,,,虽然这个语法我刚学会但是一说话就容易忘,这个语法虽然我刚学会但是一说话就容易忘,empty,,5
因为,她,偶然听到,老板说,的话,所以,提前准备好了,,,,因为老板说的话她偶然听到所以提前准备好了,老板说的话因为她偶然听到所以提前准备好了,empty,,5
既然,你,已经找到,被删掉,的文件,就,先保存一份,,,,你既然已经找到被删掉的文件就先保存一份,被删掉的文件既然你已经找到就先保存一份,empty,,5
我们,本来,想下班以后,再讨论,结果,经理,竟然提前来了,,,,我们本来想下班以后再讨论结果经理竟然提前来了,empty,empty,,5
他,一,发现地址,写错了,就,马上,把邮件改掉,,,,地址他一发现写错了就马上把邮件改掉,empty,empty,,5
我,刚,想问老师,就,偶然看到,黑板上,的答案,,,,黑板上的答案我刚想问老师就偶然看到,empty,empty,,5
她,本来,觉得这个练习,很简单,结果,越做,越容易出错,,,,她本来觉得这个练习很简单结果越做越容易出错,empty,empty,,5
你,一,看懂,今天学,的结构,就,可以自己造句,,,,今天学的结构你一看懂就可以自己造句,empty,empty,,5
那封邮件,竟然,被放进,垃圾箱,里面,难怪,我找不到,,,,empty,empty,empty,,5
我们,偶然,走进,你上次推荐,的店,结果,发现很好吃,,,,你上次推荐的店我们偶然走进结果发现很好吃,empty,empty,,5
今天,太晚了,再说,我,明天,还要上班,,,,,empty,empty,empty,,5
我,不想出去,再说,外面,还在下雨,,,,,,empty,empty,empty,,5
这个练习,先不做,再说,我,还没复习,生词,,,,,empty,empty,empty,,5
我们,明天再讨论,再说,经理,今天,不在公司,,,,,empty,empty,empty,,5
这家店,有点远,再说,价格,也不便宜,,,,,,empty,empty,empty,,5
我,已经吃过了,再说,那道菜,我不太喜欢,,,,,,empty,empty,empty,,5
这个方法,可以试试,不过,可能,需要,多一点时间,,,,,empty,empty,empty,,5
我,看懂了,这个句子,不过,还不会,自然地说,,,,,这个句子我看懂了不过还不会自然地说,empty,empty,,5
他,已经下班了,不过,还在,回复客户,的邮件,,,,,他已经下班了不过还在回复客户的邮件,empty,empty,,5
那个文件,找到了,不过,里面,有几个错误,,,,,,empty,empty,empty,,5
这本书,很有用,不过,有些例句,有点难,,,,,,empty,empty,empty,,5
我,想参加,不过,今天晚上,可能没空,,,,,,empty,empty,empty,,5
这个练习,不但,能复习语法,而且,能练,句子结构,,,,,empty,empty,empty,,5
他,不仅,会说中文,而且,写得,很清楚,,,,,empty,empty,empty,,5
这个网站,不但,可以练词汇,而且,可以练,造句,,,,,这个网站不但可以练词汇而且可以练造句,empty,empty,,5
老师,解释得很清楚,而且,给了,很多例子,,,,,,老师解释得很清楚而且给了很多例子,empty,empty,,5
那封邮件,内容很长,而且,重点,不太清楚,,,,,,那封邮件内容很长而且重点不太清楚,empty,empty,,5
她,听懂了,那段录音,而且,能把意思,说出来,,,,,那段录音她听懂了而且能把意思说出来,empty,empty,,5
我,忘记保存,文件,所以,内容,不见了,,,,,文件我忘记保存所以内容不见了,empty,empty,,5
今天,要上班,所以,我,不能,太晚睡,,,,,今天要上班所以我不能太晚睡,empty,empty,,5
那个句子,太长了,所以,我,先把它,拆开,,,,,empty,empty,empty,,5
他,没说清楚,原因,所以,大家,有点误会,,,,,原因他没说清楚所以大家有点误会,empty,empty,,5
你,把文件,改好了,所以,可以,发给老师,,,,,文件你把改好了所以可以发给老师,empty,empty,,5
老师,讲得太快,所以,学生,没有听懂,,,,,,老师讲得太快所以学生没有听懂,empty,empty,,5
我,找不到,那封邮件,于是,去垃圾箱,看了一下,,,,,那封邮件我找不到于是去垃圾箱看了一下,empty,empty,,5
他,听到,老板来了,于是,马上,打开电脑,,,,,老板来了他听到于是马上打开电脑,empty,empty,,5
她,看完说明以后,于是,开始,自己操作,,,,,,empty,empty,empty,,5
我们,发现,时间不够,于是,先做,最重要的部分,,,,,时间不够我们发现于是先做最重要的部分,empty,empty,,5
我,偶然发现,文件里,的错误,于是,把它,改掉了,,,,文件里的错误我偶然发现于是把它改掉了,empty,empty,,5
他,一看到,老师发,的通知,于是,马上回复了,,,,,老师发的通知他一看到于是马上回复了,empty,empty,,5
