Chinese Words,pinyin,English Words,Chinese Sentence,_HSK,_Dao,Color,Encountered,ID,Formal
道谢,dàoxiè,verb: to express thanks; to thank,他亲自向老师道谢。,Unknown,2.6,5,0,659,
犯错,fàncuò,verb: to make a mistake,每个人都会犯错。,Unknown,2.6,5,0,660,
分给,fēngěi,verb: to distribute to; to give out to,老师把糖果分给学生们。,Unknown,2.6,5,0,661,
将会,jiānghuì,auxiliary verb: will; shall,明天天气将会变冷。,Unknown,2.6,5,0,662,
级任,jírèn,noun: homeroom teacher (Singapore/Malaysia usage),我的级任老师非常负责。,Unknown,2.6,5,0,663,
怒气冲冲,nùqìchōngchōng,adjective: furious; full of anger,他怒气冲冲地走出了办公室。,Unknown,2.6,5,0,664,
轻快,qīngkuài,adjective: light and brisk; lively,她用轻快的脚步走进房间。,Unknown,2.6,5,0,665,
受罚,shòufá,verb: to be punished,如果违反规则，就会受罚。,Unknown,2.6,5,0,666,
五彩,wǔcǎi,adjective: multicolored; colorful,天空中出现了五彩的灯光。,Unknown,2.6,5,0,667,
笑眯眯,xiàomīmī,adjective: smiling happily; beaming,宝宝在做美梦，睡梦中还笑眯眯的。,Unknown,2.6,5,0,668,
养家,yǎngjiā,verb: to support a family,他一个人养家，压力非常大。,Unknown,2.6,5,0,669,
摘花,zhāihuā,verb: to pick flowers,公园里禁止摘花。,Unknown,2.6,5,0,670,
装满,zhuāngmǎn,verb: to fill up; to pack full,箱子里装满了书。,Unknown,2.6,5,0,671,
重复,chóngfù,repeat,别总是重复同样的错误,Band2,2.7,5,0,672,
名单,míngdān,name list,你的名字已经在名单上了。,Band2,2.7,5,0,673,
平安,píng'ān,sound and safe,祝你一路平安！,Band2,2.7,5,0,674,
条件,tiáojiàn,condition / requirement,他符合申请奖学金的条件。,Band2,2.7,5,0,675,
证明,zhèngmíng,"verb: to prove / to certify
noun: proof / certificate",医生证明他已经康复，这张证明已经交给公司了。,Band3,2.7,5,0,676,
童话,tónghuà,noun: fairy tale,小时候我很喜欢读童话。,Band4,2.7,5,0,677,
出版,chūbǎn,verb: to publish,这本小说已经出版了。,Band5,2.7,5,0,678,
目光,mùguāng,"noun: gaze / vision (literal or figurative, e.g., foresight)",他的目光坚定，看得出来他已经下定决心了。,Band5,2.7,5,0,679,
灾害,zāihài,noun: disaster; calamity,洪水造成了严重的灾害。,Band5,2.7,5,0,680,
慌张,huāngzhāng,adjective: nervous; flustered; panicked,遇到问题时不要慌张。,Band7,2.7,5,0,681,
留意,liúyì,verb: to pay attention to; to notice,过马路时要留意来往车辆。,Band7,2.7,5,0,682,
期盼,qīpàn,"verb/noun: to look forward to; expectation. Carries much stronger emotion and eagerness. It implies that you are waiting with your whole heart, or that the thing you are waiting for is deeply meaningful to you.",留守儿童都在期盼着过年和父母团聚,Band7,2.7,5,0,683,
人行道,rénxíngdào,noun: sidewalk; pedestrian walkway,请不要在 人行道 上骑自行车。,Band7,2.7,5,0,684,
退缩,tuìsuō,verb: to shrink back; to back down,面对困难，我们不能退缩。,Band7,2.7,5,0,685,
幸好,xìnghǎo,adverb: fortunately; luckily,幸好我们及时赶到了。,Band7,2.7,5,0,686,
赞许,zànxǔ,verb/noun: to praise; approval,老师赞许地点了点头。,Band7,2.7,5,0,687,
阻拦,zǔlán,verb: to stop; to block; to prevent,没有人能阻拦他离开。,Band7,2.7,5,0,688,
拉链,lāliàn,noun: zipper,我的外套拉链坏了。,Unknown,2.7,5,0,689,
吓坏,xiàhuài,verb: to frighten badly; to scare badly,那场意外把大家都吓坏了。,Unknown,2.7,5,0,690,
快餐,kuàicān,fast food,我们中午吃快餐吧。,Band2,3.1,5,0,691,
旅客,lǚkè,noun: traveler; passenger,许多旅客正在机场等候。,Band2,3.1,5,0,692,
青少年,qīngshàonián,Teenagers,这本书很适合青少年阅读。,Band2,3.1,5,0,693,
产生,chǎnshēng,"verb: to produce / to generate (usually abstract things like ideas, feelings)",这个决定会产生严重的后果。,Band3,3.1,5,0,694,
产生,chǎnshēng,verb: to produce; to generate; to arise,这个决定产生了很大的影响。,Band3,3.1,5,0,695,
对手,duìshǒu,noun: opponent / rival,这场比赛的对手非常强大。,Band3,3.1,5,0,696,
房屋,fángwū,noun: house / building,这片老旧的房屋正在被拆除。,Band3,3.1,5,0,697,
反正,fǎnzhèng,adverb: anyway / in any case,你不去也没关系，反正我一个人也能完成。,Band3,3.1,5,0,698,
飞行,fēixíng,"verb: to fly
noun: flight (as an activity)",飞行员热爱飞行，每次飞行都让他兴奋不已。,Band3,3.1,5,0,699,
歌手,gēshǒu,noun: singer,她梦想成为一名职业歌手。,Band3,3.1,5,0,700,
国内,guónèi,noun/adjective: domestic / within the country,今年很多人选择在国内旅游。,Band3,3.1,5,0,701,
缺少,quēshǎo,verb: to be short of / to be lacking (a thing or amount),目前仓库缺少原材料。,Band3,3.1,5,0,702,
人群,rénqún,noun: crowd (of people),他在人群中一眼就看到了我。,Band3,3.1,5,0,703,
手指,shǒuzhǐ,noun: finger,他用手指指向地图上的位置。,Band3,3.1,5,0,704,
特色,tèsè,noun: characteristic / distinguishing feature,这家饭馆的菜有地方特色。,Band3,3.1,5,0,705,
听众,tīngzhòng,noun: audience / listeners,主持人向听众表达了感谢。,Band3,3.1,5,0,706,
体验,tǐyàn,"verb: to experience personally
noun: (personal) experience",通过亲身体验，他有了不一样的体验感受。,Band3,3.1,5,0,707,
团体,tuántǐ,noun: group / organization / collective (usually formal or structured),这个志愿者团体定期举办公益活动。,Band3,3.1,5,0,708,
伟大,wěidà,adjective: great / magnificent,他为国家做出了伟大的贡献。,Band3,3.1,5,0,709,
温暖,wēnnuǎn,"noun: warmth
adjective: warm (both physically and emotionally)",这个冬天特别冷，但朋友的关心让我感到温暖，这种温暖非常珍贵。,Band3,3.1,5,0,710,
信封,xìnfēng,noun: envelope,请把信放进这个信封里。,Band3,3.1,5,0,711,
幸运,xìngyùn,"noun: luck / fortune
adjective: lucky",他很幸运地中了彩票，这种幸运真让人羡慕。,Band3,3.1,5,0,712,
主动,zhǔdòng,"adjective: proactive / voluntary
adverb: actively / of one’s own accord",他主动帮助新同事，表现出很强的主动性。,Band3,3.1,5,0,713,
承认,chéngrèn,verb: to admit; to acknowledge,他终于承认自己错了。,Band4,3.1,5,0,714,
打败,dǎbài,verb: to defeat; to beat,我们终于打败了对手。,Band4,3.1,5,0,715,
登记,dēngjì,verb/noun: to register; registration,请先到柜台登记。,Band4,3.1,5,0,716,
街道,jiēdào,noun: street; road,夜晚的街道十分安静。,Band4,3.1,5,0,717,
节省,jiéshěng,verb: to save; to conserve,我们应该节省用水。,Band4,3.1,5,0,718,
技巧,jìqiǎo,noun: skill; technique,学习语言需要一些技巧。,Band4,3.1,5,0,719,
聚会,jùhuì,noun/verb: gathering; party; to gather,我们周末准备举行聚会。,Band4,3.1,5,0,720,
模型,móxíng,noun: model; mock-up,他正在制作飞机模型。,Band4,3.1,5,0,721,
排列,páiliè,verb: to arrange / to line up,学生们把椅子整齐地排列在教室里。,Band4,3.1,5,0,722,
排列,páiliè,verb: to arrange; to line up,这些椅子已经排列整齐了。,Band4,3.1,5,0,723,
轻易,qīngyì,adverb/adjective: easily; lightly,不要轻易放弃梦想。,Band4,3.1,5,0,724,
市区,shìqū,noun: urban area; downtown,他住在市区附近。,Band4,3.1,5,0,725,
事先,shìxiān,adverb: beforehand; in advance,请事先通知我们。,Band4,3.1,5,0,726,
天真,tiānzhēn,adjective: innocent; naive,小孩子的想法很天真。,Band4,3.1,5,0,727,
体重,tǐzhòng,noun: body weight,我的体重最近增加了。,Band4,3.1,5,0,728,
投诉,tóusù,verb/noun: to complain; complaint,顾客向经理投诉服务不好。,Band4,3.1,5,0,729,
网络,wǎngluò,noun: network; internet,这里的网络速度很快。,Band4,3.1,5,0,730,
误会,wùhuì,noun/verb: misunderstanding; to misunderstand,对不起，我误会你了。,Band4,3.1,5,0,731,
严重,yánzhòng,adjective: serious; severe,这个问题非常严重。,Band4,3.1,5,0,732,
种植,zhòngzhí,verb: to plant; to cultivate,农民正在种植蔬菜。,Band4,3.1,5,0,733,
总共,zǒnggòng,adverb: altogether; in total,我们总共有二十个人。,Band4,3.1,5,0,734,
阻止,zǔzhǐ,verb: to stop; to prevent,没有人能阻止他实现梦想。,Band4,3.1,5,0,735,
便利,biànlì,"noun: convenience
adjective: convenient",这家便利店带来了很多便利，购物也很便利。,Band5,3.1,5,0,736,
便条,biàntiáo,noun: note; memo,她在桌上留了一张便条。,Band5,3.1,5,0,737,
工艺,gōngyì,noun: craftsmanship; craft technique,这件工艺品制作得很精细。,Band5,3.1,5,0,738,
可怜,kělián,adjective: pitiful; poor thing,那只受伤的小猫很可怜。,Band5,3.1,5,0,739,
劳动,láodòng,noun/verb: labor; to work physically,劳动最光荣。,Band5,3.1,5,0,740,
联络,liánluò,verb / noun: to contact / connection,有事请随时联络我，我手机一直开着。,Band5,3.1,5,0,741,
模糊,móhú,adjective/verb: blurry; vague; to blur,这张照片看起来很模糊。,Band5,3.1,5,0,742,
神情,shénqíng,noun: expression; look on one’s face,他的神情看起来很紧张。,Band5,3.1,5,0,743,
摔倒,shuāidǎo,verb: to fall down,小孩不小心摔倒了。,Band5,3.1,5,0,744,
体力,tǐlì,noun: physical strength; stamina,搬这些箱子需要很多体力。,Band5,3.1,5,0,745,
为止,wéizhǐ,phrase: up to; until,到目前为止，一切都很顺利。,Band5,3.1,5,0,746,
以往,yǐwǎng,noun/adverb: in the past; formerly,今年比以往更忙。,Band5,3.1,5,0,747,
远处,yuǎnchù,noun: the distance; far away,我看见远处有一座山。,Band5,3.1,5,0,748,
真诚,zhēnchéng,adjective: sincere; genuine,他很真诚地向我道歉。,Band5,3.1,5,0,749,
真相,zhēnxiàng,noun: truth; the real situation,我终于知道事情的真相了。,Band5,3.1,5,0,750,
指示,zhǐshì,noun/verb: instruction; to instruct,请按照指示操作。,Band5,3.1,5,0,751,
之下,zhīxià,phrase: under; beneath,在老师的指导之下，他进步很快。,Band5,3.1,5,0,752,
指责,zhǐzé,verb: to criticize / to blame,他做错了事，却还指责别人没帮他。,Band5,3.1,5,0,753,
广阔,guǎngkuò,adjective: vast; wide; expansive,这里有一片广阔的草原。,Band6,3.1,5,0,754,
杰出,jiéchū,adjective: outstanding; remarkable,他是一位杰出的科学家。,Band6,3.1,5,0,755,
绿化,lǜhuà,verb/noun: greening; landscaping,政府正在推动城市绿化。,Band6,3.1,5,0,756,
盲人,mángrén,noun: blind person,那位盲人在路边等人帮助。,Band6,3.1,5,0,757,
前来,qiánlái,verb: to come; to arrive (formal),感谢大家前来参加典礼。,Band6,3.1,5,0,758,Formal
投票,tóupiào,verb/noun: to vote; voting,大家明天将进行投票。,Band6,3.1,5,0,759,
往年,wǎngnián,noun: previous years; past years,今年的天气比往年热。,Band6,3.1,5,0,760,
乌云,wūyún,noun: dark clouds,天空布满了乌云。,Band6,3.1,5,0,761,
用心,yòngxīn,adjective/adverb: attentive; with care; wholeheartedly,她很用心地准备这份礼物。,Band6,3.1,5,0,762,
安心,ānxīn,adjective/verb: relieved; at ease,知道你没事后，我终于安心了。,Band7,3.1,5,0,763,
丢失,diūshī,verb: to lose; to misplace,我的钱包丢失了。,Band7,3.1,5,0,764,
废物,fèiwù,noun: waste; trash / insulting slang: useless person,这些废物应该分类回收。,Band7,3.1,5,0,765,
合唱,héchàng,verb/noun: to sing in chorus; chorus,学生们正在台上合唱。,Band7,3.1,5,0,766,
糊涂,hútú,adjective: confused / muddle-headed,他一紧张就变得特别糊涂，连自己的名字都说错了。,Band7,3.1,5,0,767,
奖杯,jiǎngbēi,noun: trophy,他赢得了一座金色奖杯。,Band7,3.1,5,0,768,
坚硬,jiānyìng,adjective: hard; solid,这种石头非常坚硬。,Band7,3.1,5,0,769,
尽情,jìnqíng,adverb: to one’s heart’s content; fully,大家尽情地享受音乐。,Band7,3.1,5,0,770,
开办,kāibàn,verb: to establish; to start running,他计划开办一家公司。,Band7,3.1,5,0,771,
农场,nóngchǎng,noun: farm,孩子们去农场参观动物。,Band7,3.1,5,0,772,
跑道,pǎodào,noun: track; runway,学生们正在跑道上练习跑步。,Band7,3.1,5,0,773,
佩服,pèifú,verb: to admire; to look up to,我很佩服他的勇气。,Band7,3.1,5,0,774,
器材,qìcái,noun: equipment; apparatus,学校新买了很多运动器材。,Band7,3.1,5,0,775,
亲手,qīnshǒu,adverb: personally; with one’s own hands,她亲手做了这个蛋糕。,Band7,3.1,5,0,776,
身影,shēnyǐng,noun: figure; silhouette,我远远地看见了他的身影。,Band7,3.1,5,0,777,
逃避,táobì,verb: to avoid; to evade,遇到问题时不应该逃避。,Band7,3.1,5,0,778,
无力,wúlì,adjective: powerless; weak,他累得全身无力。,Band7,3.1,5,0,779,
应付,yìngfù,verb: to deal with; to cope with,他能够应付各种困难。,Band7,3.1,5,0,780,
游船,yóuchuán,noun: sightseeing boat; cruise boat,我们乘坐游船欣赏风景。,Band7,3.1,5,0,781,
有意,yǒuyì,adjective/adverb: intentional; deliberately,他有意避开这个问题。,Band7,3.1,5,0,782,
圆形,yuánxíng,noun/adjective: circle; circular shape,这个桌子是圆形的。,Band7,3.1,5,0,783,
在意,zàiyì,verb: to care about; to mind,我不太在意别人怎么说。,Band7,3.1,5,0,784,
责怪,zéguài,verb: to blame,请不要责怪他。,Band7,3.1,5,0,785,
展出,zhǎnchū,verb: to exhibit; to display,博物馆正在展出古代文物。,Band7,3.1,5,0,786,
招待,zhāodài,verb: to receive guests; to entertain,他们热情地招待了我们。,Band7,3.1,5,0,787,
珍藏,zhēncáng,verb/noun: to treasure; treasured collection,这是他珍藏多年的照片。,Band7,3.1,5,0,788,
整洁,zhěngjié,adjective: neat; tidy; clean,这个房间非常整洁。,Band7,3.1,5,0,789,
着想,zhuóxiǎng,verb: to consider (for someone/something),你应该为父母着想。,Band7,3.1,5,0,790,
被罚,bèifá,verb: to be punished; to be fined,他因为迟到而被罚。,Unknown,3.1,5,0,791,
乘凉,chéngliáng,verb: to enjoy the cool air,晚上很多人在树下乘凉。,Unknown,3.1,5,0,792,
愁眉,chóuméi,noun: worried expression; frown,他满脸愁眉地坐在那里。,Unknown,3.1,5,0,793,
打翻,dǎfān,verb: to knock over; to overturn,他不小心打翻了水杯。,Unknown,3.1,5,0,794,
得起,déqǐ,verb complement: able to afford; able to bear,这辆车太贵了，我买不起，也养不起。,Unknown,3.1,5,0,795,
短剧,duǎnjù,noun: short drama; skit,学生们表演了一部短剧。,Unknown,3.1,5,0,796,
害人,hàirén,verb: to harm people,这种行为会害人害己。,Unknown,3.1,5,0,797,
好些,hǎoxiē,adjective/adverb: quite a lot; much better,他的病已经好些了。,Unknown,3.1,5,0,798,
狠狠,hěnhěn,adverb: fiercely; 狠狠地,他狠狠地踢了一下门。,Unknown,3.1,5,0,799,
华族,huázú,noun: ethnic Chinese community (Singapore/Malaysia usage),新加坡有很多华族文化活动。,Unknown,3.1,5,0,800,
捡到,jiǎndào,verb: to pick up (something lost or dropped),他在教室里捡到一个手机，交给了老师。,Unknown,3.1,5,0,801,
讲理,jiǎnglǐ,verb phrase: to be reasonable,他很讲理，有什么问题都可以好好谈。,Unknown,3.1,5,0,802,
口渴,kǒukě,adjective: thirsty,我跑完步以后很口渴。,Unknown,3.1,5,0,803,
兰花,lánhuā,noun: orchid,她在阳台种了很多兰花。,Unknown,3.1,5,0,804,
乐于助人,lèyúzhùrén,adjective/phrase: willing to help others,她一直都很乐于助人。,Unknown,3.1,5,0,805,
礼包,lǐbāo,noun: gift pack; gift bundle,活动结束后，每个人都收到礼包。,Unknown,3.1,5,0,806,
猎枪,lièqiāng,noun: hunting rifle,猎人背着猎枪进入森林。,Unknown,3.1,5,0,807,
领奖,lǐngjiǎng,verb: to receive an award/prize,她明天要上台领奖。,Unknown,3.1,5,0,808,
路线图,lùxiàntú,noun: route map; roadmap,请先看看路线图。,Unknown,3.1,5,0,809,
满足感,mǎnzúgǎn,noun: sense of satisfaction; fulfillment,完成任务后，我有很大的满足感。,Unknown,3.1,5,0,810,
民众联络所,mínzhòngliánluòsuǒ,noun: community center (Singapore usage),我们在民众联络所参加活动。,Unknown,3.1,5,0,811,
泡泡,pàopào,noun: bubble,小孩子们喜欢吹泡泡。,Unknown,3.1,5,0,812,
漂浮,piāofú,verb: to float; to drift,树叶漂浮在水面上。,Unknown,3.1,5,0,813,
全岛,quándǎo,noun/adverb: island-wide; the whole island,这项活动将在全岛举行。,Unknown,3.1,5,0,814,
入迷,rùmí,verb: to become fascinated; absorbed in,他看小说看得很入迷。,Unknown,3.1,5,0,815,
试加,shìjiā,verb: to try adding,你可以试加一点盐。,Unknown,3.1,5,0,816,
手链,shǒuliàn,noun: bracelet,她戴着一条银色手链。,Unknown,3.1,5,0,817,
售卖,shòumài,verb: to sell,这家商店售卖各种文具。,Unknown,3.1,5,0,818,
收生,shōushēng,verb: to admit students; student intake,那所学校今年开始收生。,Unknown,3.1,5,0,819,
所说,suǒshuō,phrase: what was said,我同意你所说的话。,Unknown,3.1,5,0,820,
摊子,tānzi,noun: stall; stand,夜市里有很多卖小吃的摊子。,Unknown,3.1,5,0,821,
同意书,tóngyìshū,noun: consent form,请家长签好同意书。,Unknown,3.1,5,0,822,
辛劳,xīnláo,adjective/noun: hardworking; toil,父母的辛劳值得我们感激。,Unknown,3.1,5,0,823,
选为,xuǎnwéi,verb: to be chosen as,他被选为班长。,Unknown,3.1,5,0,824,
优胜,yōushèng,adjective/verb: victorious; to win,我们班在比赛中优胜。,Unknown,3.1,5,0,825,
油炸,yóuzhá,verb/adjective: deep-fried,我不太喜欢吃油炸食品。,Unknown,3.1,5,0,826,
语文,yǔwén,noun: language subject (Chinese/Malay etc. in school context),她最喜欢语文课。,Unknown,3.1,5,0,827,
载满,zàimǎn,verb: to be fully loaded with,卡车载满了货物。,Unknown,3.1,5,0,828,
只限,zhǐxiàn,verb/phrase: limited to; only for,这个优惠只限会员。,Unknown,3.1,5,0,829,
种菜,zhòngcài,verb: to grow vegetables,爷爷喜欢在院子里种菜。,Unknown,3.1,5,0,830,
重要性,zhòngyàoxìng,noun: importance,他强调教育的重要性。,Unknown,3.1,5,0,831,
专卖,zhuānmài,verb/adjective: exclusive sale; specialty selling,这家店专卖运动用品。,Unknown,3.1,5,0,832,
捉虫,zhuōchóng,verb: to catch insects / slang: to debug software bugs,小朋友在花园里捉虫。,Unknown,3.1,5,0,833,
自小,zìxiǎo,adverb: since childhood,他自小就喜欢音乐。,Unknown,3.1,5,0,834,
走失,zǒushī,verb: to get lost; to wander off,小孩在人群中走失了。,Unknown,3.1,5,0,835,
态度,tàidu,attitude,他对工作的态度很认真。,Band2,3.11,5,0,836,
报到,bàodào,to check in / to report (for duty),新员工下周一来公司报到。,Band3,3.11,5,0,837,
公布,gōngbù,verb: to announce / to make public,政府将于明天公布考试结果。,Band3,3.11,5,0,838,
加强,jiāqiáng,verb: to strengthen / to enhance,请加强系统安全性。,Band3,3.11,5,0,839,
前往,qiánwǎng,verb: to go to (formal),请于明天下午三点前往会议室集合。,Band3,3.11,5,0,840,Formal
甚至,shènzhì,adverb/conjunction: even / so much so that...,他太累了，甚至在会议中睡着了。,Band4,3.11,5,0,841,
下载,xiàzǎi,verb: to download,我已经把这首歌下载到手机里了。,Band4,3.11,5,0,842,
接触,jiēchù,verb/noun: to come into contact with; contact,我最近开始接触编程。,Band5,3.11,5,0,843,
即使,jíshǐ,conjunction: even if,即使下雨，他也会按时到场。,Band5,3.11,5,0,844,
居然,jūrán,adverb: unexpectedly; actually,他居然忘了今天的考试。,Band5,3.11,5,0,845,
询问,xúnwèn,verb: to inquire; to ask,他向工作人员询问路线。,Band5,3.11,5,0,846,
组织,zǔzhī,noun/verb: organization; to organize,他负责组织这次活动。,Band5,3.11,5,0,847,
便是,biànshì,phrase/verb: then is; precisely is,努力学习，成功便是你的。,Band6,3.11,5,0,848,
不料,bùliào,conjunction/adverb: unexpectedly,我以为会下雨，不料天气突然放晴。,Band6,3.11,5,0,849,
愤怒,fènnù,adjective/noun: angry; anger,听到这个消息后，他非常愤怒。,Band6,3.11,5,0,850,
允许,yǔnxǔ,verb: to allow; to permit,学校不允许学生迟到。,Band6,3.11,5,0,851,
慈善,císhàn,adjective/noun: charitable; charity,她经常参加慈善活动。,Band7,3.11,5,0,852,
大意,dàyì,noun/adjective: main idea; careless,他因为大意而犯错。,Band7,3.11,5,0,853,
卡通,kǎtōng,noun/adjective: cartoon; animated,小孩子很喜欢看卡通。,Band7,3.11,5,0,854,
领养,lǐngyǎng,verb: to adopt,他们决定领养一只小狗。,Band7,3.11,5,0,855,
偏僻,piānpì,adjective: remote; isolated,那个村庄非常偏僻。,Band7,3.11,5,0,856,
眼神,yǎnshén,noun: expression in one’s eyes; gaze,她的眼神看起来很温柔。,Band7,3.11,5,0,857,
张贴,zhāngtiē,verb: to post; to put up,学校门口张贴了新通知。,Band7,3.11,5,0,858,
奔走,bēnzǒu,verb: to rush about; to run around,他为了这件事四处奔走。,Unknown,3.11,5,0,859,
短文,duǎnwén,noun: short passage; short essay,老师让我们写一篇短文。,Unknown,3.11,5,0,860,
看戏,kànxì,verb: to watch a play/opera,爷爷喜欢去戏院看戏。,Unknown,3.11,5,0,861,
心急,xīnjí,adjective: impatient; anxious,你不要太心急。,Unknown,3.11,5,0,862,
注意力,zhùyìlì,noun: attention; concentration,上课时要集中注意力。,Unknown,3.11,5,0,863,
机场,jīchǎng,Airport,我们明天早上去机场接他,Band1,3.2,5,0,864,
车辆,chēliàng,noun: vehicle,这个路口禁止一切车辆通行。,Band2,3.2,5,0,865,
实际,shíjì,reality / actual,实际情况比我们想的复杂。,Band2,3.2,5,0,866,
外地,wàidì,noun/adjective: other places / out of town,他最近去外地出差了,Band2,3.2,5,0,867,
公共,gōnggòng,adjective: public / communal,请在公共场所戴口罩。,Band3,3.2,5,0,868,
坚强,jiānqiáng,adjective: strong (in will or character),经历了那么多，她仍然坚强地面对生活。,Band3,3.2,5,0,869,
建设,jiànshè,"verb: to construct / to develop
noun: construction",城市建设需要长远的规划。,Band3,3.2,5,0,870,
基本,jīběn,adjective: basic / fundamental,他掌握了编程的基本知识。,Band3,3.2,5,0,871,
毛病,máobìng,"noun: problem / fault / defect (can be used for machines, habits, or health)",电脑又出了毛病，你的坏习惯也该改改这个毛病了。,Band3,3.2,5,0,872,
目标,mùbiāo,noun: goal / target,我的目标是两年内通过所有考试。,Band3,3.2,5,0,873,
内心,nèixīn,noun: inner heart / innermost feelings,她虽然笑着，但内心其实很难过。,Band3,3.2,5,0,874,
去世,qùshì,verb: to pass away (polite/formal),他的祖父去年去世了。,Band3,3.2,5,0,875,Formal
热爱,rè'ài,verb: to deeply love / to passionately devote oneself to,他热爱音乐，把一生都投入到了创作中。,Band3,3.2,5,0,876,
实际上,shíjìshàng,adverb: actually / in fact,他看起来很严肃，实际上是个很幽默的人。,Band3,3.2,5,0,877,
始终,shǐzhōng,adverb: always / from beginning to end (formal/literary tone),他始终保持着对工作的热情。,Band3,3.2,5,0,878,Formal
痛苦,tòngkǔ,"noun: pain / suffering
adjective: painful",失去亲人是一种巨大的痛苦，他看起来也很痛苦。,Band3,3.2,5,0,879,
卫生,wèishēng,"noun: hygiene / sanitation
adjective: hygienic",这家餐厅不太卫生，卫生条件需要改善。,Band3,3.2,5,0,880,
相当,xiāngdāng,"verb: to correspond to / to match
adverb: quite / fairly",他的水平相当于专业选手，而且表现相当出色。,Band3,3.2,5,0,881,
印象,yìnxiàng,noun: impression,她给我的第一印象非常好。,Band3,3.2,5,0,882,
独立,dúlì,adjective/verb: independent; to stand alone,她希望以后能独立生活。,Band4,3.2,5,0,883,
奋斗,fèndòu,verb/noun: to strive; to struggle for;奋斗,年轻人应该为梦想奋斗。,Band4,3.2,5,0,884,
关于,guānyú,preposition: about; regarding; concerning,我想和你谈谈关于工作的事情。,Band4,3.2,5,0,885,
寒冷,hánlěng,adjective: cold / frigid,在这个寒冷的冬天，穿暖一点很重要。,Band4,3.2,5,0,886,
或许,huòxǔ,adverb: perhaps; maybe,或许他今天不会来了。,Band4,3.2,5,0,887,
优美,yōuměi,"adjective: graceful, beautiful (used for language, scenery, actions)",她用优美的语言描述了那段令人感动的故事。,Band4,3.2,5,0,888,
战争,zhànzhēng,noun: war,战争给人民带来了很多痛苦。,Band4,3.2,5,0,889,
作为,zuòwéi,preposition/noun/verb: as; to act as; role,作为学生，我们应该认真学习。,Band4,3.2,5,0,890,
场面,chǎngmiàn,noun: scene; situation,那个场面非常热闹。,Band5,3.2,5,0,891,
光线,guāngxiàn,noun: light; lighting,这个房间的光线很好。,Band5,3.2,5,0,892,
古老,gǔlǎo,adjective: ancient; old,这座城市有着古老的历史。,Band5,3.2,5,0,893,
活力,huólì,noun: energy; vitality,年轻人充满了活力。,Band5,3.2,5,0,894,
奖励,jiǎnglì,noun/verb: reward; to reward,老师奖励了表现优秀的学生。,Band5,3.2,5,0,895,
开幕,kāimù,verb: to open; opening ceremony,电影节今晚正式开幕。,Band5,3.2,5,0,896,
乡村,xiāngcūn,noun: countryside; village area,他喜欢乡村安静的生活。,Band5,3.2,5,0,897,
亲眼,qīnyǎn,adverb: with one’s own eyes; personally,我亲眼看见了那场比赛。,Band6,3.2,5,0,898,
通红,tōnghóng,adjective: bright red; flushed red,他的脸气得通红。,Band6,3.2,5,0,899,
用处,yòngchǔ,noun: use; usefulness,这个工具有很大的用处。,Band6,3.2,5,0,900,
最佳,zuìjiā,adjective: best; optimal,这是解决问题的最佳方法。,Band6,3.2,5,0,901,
步入,bùrù,verb: to step into; to enter,他步入了会场。,Band7,3.2,5,0,902,
慈祥,cíxiáng,adjective: kindly / benevolent (used for elder appearance or tone),奶奶的脸上总是带着慈祥的笑容。,Band7,3.2,5,0,903,
匆匆,cōngcōng,adverb: hastily / hurriedly,他匆匆吃完早餐就赶去上班了。,Band7,3.2,5,0,904,
大厦,dàshà,noun: large building; skyscraper,市中心有很多高大的大厦。,Band7,3.2,5,0,905,
点心,diǎnxīn,noun: dim sum; snack; dessert,妈妈准备了很多点心。,Band7,3.2,5,0,906,
告示,gàoshì,noun: notice; announcement,墙上贴着一张告示。,Band7,3.2,5,0,907,
告状,gàozhuàng,verb: to complain to authority; to tell on someone,小孩子跑去向老师告状。,Band7,3.2,5,0,908,
怀里,huáilǐ,noun: in one’s arms; bosom,小猫躺在她的怀里睡觉。,Band7,3.2,5,0,909,
坏事,huàishì,noun: bad thing; wrongdoing,做坏事迟早会被发现。,Band7,3.2,5,0,910,
回想,huíxiǎng,verb: to recall; to think back,回想过去，我学到了很多。,Band7,3.2,5,0,911,
精心,jīngxīn,adverb/adjective: carefully; meticulous,她精心准备了这场表演。,Band7,3.2,5,0,912,
起劲,qǐjìn,adjective/verb: enthusiastic; energetic; to get into something,孩子们玩得很起劲。,Band7,3.2,5,0,913,
庆典,qìngdiǎn,noun: celebration ceremony,学校举行了一场盛大的庆典。,Band7,3.2,5,0,914,
欺骗,qīpiàn,verb: to deceive; to cheat,你不应该欺骗别人。,Band7,3.2,5,0,915,
围墙,wéiqiáng,noun: surrounding wall; fence wall,学校外面有一道高高的围墙。,Band7,3.2,5,0,916,
项链,xiàngliàn,noun: necklace,她戴着一条漂亮的项链。,Band7,3.2,5,0,917,
鲜美,xiānměi,adjective: delicious and fresh,这碗汤的味道非常鲜美。,Band7,3.2,5,0,918,
硬币,yìngbì,noun: coin,我口袋里有几枚硬币。,Band7,3.2,5,0,919,
赞扬,zànyáng,verb: to praise / to commend,他的勇敢行为受到了大家的赞扬。,Band7,3.2,5,0,920,
八方,bāfāng,noun: all directions; everywhere,游客从八方来到这里。,Unknown,3.2,5,0,921,
