Chinese Words,pinyin,English Words,Question Type,Category,Chinese Usage in a Sentence,English Usage in a sentence,Color,Chinese Usage in a Sentence Hint,Band 0 HSK
准确,zhǔnquè,adjective: accurate / precise,Both,Misc,这个数据非常__，没有任何误差。,"This data is very accurate, with no errors.",5,这个数据非常__，没有任何误差。,Band2
几乎,jīhū,adverb: almost / nearly,Both,Misc,我几乎忘了今天有考试。,I almost forgot there was an exam today.,5,我__忘了今天有考试。,Band2
办公室,bàngōngshì,noun: office,Both,Misc,我在办公室工作，每天朝九晚五。,I work in an office from 9 to 5 every day.,5,我在__工作，每天朝九晚五。,Band2
千克,qiānkè,noun: kilogram,Both,Misc,这个西瓜有五千克重。,This watermelon weighs 5 kilograms.,5,这个西瓜有五千__。,Band2
单位,dānwèi,"noun: unit (of measurement, organization, work unit)",Both,Misc,“米”是长度的基本单位；他在一家国企单位上班。,,5,“米”是长度的基本__；他在一家国企__上班。,Band2
反对,fǎnduì,verb: to oppose / to be against,Both,Misc,我不反对这个建议，但还有些地方需要讨论。,“Meter” is a basic unit of length; he works at a state-owned work unit.,5,我不__这个建议，但还有些地方需要讨论。,Band2
咱们,zánmen,pronoun: we / us (including speaker and listener),Both,Misc,咱们一起去吃午饭吧。,Let’s go have lunch together.,5,__一起去吃午饭吧。,Band2
商人,shāngrén,noun: businessperson / merchant,Both,Misc,他是个成功的商人，在国外也有公司。,He’s a successful businessman with companies overseas.,5,他是个成功的__，在国外也有公司。,Band2
外地,wàidì,noun/adjective: other places / out of town,Both,Misc,他最近去外地出差了,He recently went on a business trip out of town.,5,他最近去__出差了,Band2
姓名,xìngmíng,noun: full name (surname + given name),Both,Misc,请填写你的姓名和联系方式。,Please fill in your full name and contact info.,5,请填写你的__和联系方式。,Band2
小组,xiǎozǔ,"noun: group / team (for projects, competitions, etc.)",Both,Misc,我们被分成三个小组，每组完成不同的任务。,"We were divided into three small groups, each with a different task.",5,我们被分成三个__，每组完成不同的任务。,Band2
年级,niánjí,noun: grade / school year,Both,Misc,我弟弟现在读三年级，刚开始学写作文。,My little brother is in Grade 3 and just started learning to write essays.,5,我弟弟现在读三__，刚开始学写作文。,Band2
打印,dǎyìn,verb: to print,Both,Misc,请把这份文件打印出来交给老师。,Please print this document and hand it to the teacher.,5,请把这份文件__出来交给老师。,Band2
接受,jiēshòu,verb: to accept / to receive,Both,Misc,他很快就接受了新的安排，也接受了大家的意见。,He quickly accepted the new arrangement and everyone’s suggestions.,5,他很快就__了新的安排，也__了大家的意见。,Band2
教育,jiàoyù,"noun: education

verb: to educate",Both,Misc,他从小接受良好的教育，现在也教育自己的孩子很用心。,He received a good education from a young age and now also puts effort into educating his own kids.,5,他从小接受良好的__，现在也__自己的孩子很用心。,Band2
歌词,gēcí,noun: lyrics,Both,Misc,这首歌的歌词很感人，我听了好几遍。,The lyrics of this song are touching—I’ve listened to it many times.,5,这首歌的__很感人，我听了好几遍。,Band2
邮局,yóujú,noun: post office,Both,Misc,我去了一趟邮局，寄出了包裹和几张明信片。,I went to the post office to send a package and a few postcards.,5,我去了一趟__，寄出了包裹和几张明信片。,Band2
重新,chóngxīn,adverb: again / afresh,Both,Misc,他决定重新开始，换了工作，也搬了新家。,He decided to start over—he changed jobs and moved to a new home.,5,他决定__开始，换了工作，也搬了新家。,Band2
行动,xíngdòng,"noun: action / operation
verb: to take action",Both,Misc,说再多也没用，现在我们必须立刻行动，开始下一步计划。,Talking more won’t help — we have to act now and begin the next step of the plan.,5,说再多也没用，现在我们必须立刻__，开始下一步计划。,Band2
背,bēi,carry on the back,English,Misc,他背着一个很大的书包,He’s carrying a big backpack.,5,他__着一个很大的书包,Band2; Band3
爱心,àixīn,compassion / caring heart,Both,Misc,她是一位充满爱心的老师。,She is a very compassionate teacher.,5,她是一位充满__的老师。,Band3
按,àn,press; push; check; restrain,English,Misc,请按这个按钮。,Please press this button.,5,请按这个__钮。,Band3
按照,ànzhào,according to,Both,Misc,按照计划，我们明天出发。事态没有完全按照计划发展。,"According to the plan, we’ll leave tomorrow.",5,__计划，我们明天出发。,Band3
安装,ānzhuāng,to install,Both,Misc,我们需要安装一个新的空调。,We need to install a new air conditioner.,5,我们需要__一个新的空调。,Band3
白菜,báicài,Chinese cabbage,English,Food/Drinks,妈妈做了一道炒白菜。,Mom cooked a stir-fried cabbage dish.,5,妈妈做了一道炒__。,Band3
板,bǎn,board / plank,Both,Misc,地上铺着木板,There are wooden boards on the floor.,5,地上铺着木__,Band3
班级,bānjí,class (group of students),Both,Misc,我们班级里有三十个学生。,There are 30 students in our class.,5,我们__里有三十个学生。,Band3
办理,bànlǐ,to handle / to process,Both,Misc,我去银行办理开户手续。,I went to the bank to open an account.,5,我去银行__开户手续。,Band3
保安,bǎoān,security guard,Both,Misc,保安每天在大门口检查,The security guard checks the gate every day.,5,__每天在大门口检查,Band3
保持,bǎochí,to maintain / to keep ( maintaining a state or condition.),Both,Misc,请保持安静。,Please keep quiet.,5,请__安静。,Band3
保存,bǎocún,to preserve / to save ( keeping something safe for future use),Both,Misc,你要保存好这份文件。,You need to keep this document safe.,5,你要__好这份文件。,Band3
报到,bàodào,to check in / to report (for duty),Both,Misc,新员工下周一来公司报到。,New employees will check in at the company on Monday.,5,新员工下周一来公司__。,Band3
报道,bàodào,"Verb: to cover or report news
Noun: a news report / story
used in journalism, media, or public information.",Both,Misc,目前，调查性报道与解释性报道、客观性报道鼎足而立，成为西方新闻界的主流报道方式。,"Now, investigative reporting, interpretative reporting and objective reporting stands in its place fairly, and has become the mainstreamed reporting type in western press.",5,新闻__说明天会下雨。,Band3
报告,bàogào,"Verb: to report (to a superior)
Noun: a report, presentation
formal, official, often used in work, study, or military contexts.",Both,Misc,夜班时，检查夜间报告，准备早间报告。,"When on night shift, check night reports, prepare the morning report.",5,老师让我们写一个读书__,Band3
保留,bǎoliú,to retain / to keep,Both,Misc,学校保留了他的学籍。,The school retained his student status.,5,学校__了他的学籍。,Band3
保险,bǎoxiǎn,insurance,Both,Misc,出国旅行要买医疗保险。,You should buy health insurance when traveling abroad.,5,出国旅行要买医疗__。,Band3
保证,bǎozhèng,to guarantee / guarantee,Both,Misc,我保证明天准时到,I guarantee I’ll arrive on time tomorrow.,5,我__明天准时到,Band3
把握,bǎwò,to grasp / to seize / certainty,Both,Misc,这次机会很难得，你要把握住。,This is a rare opportunity—you should seize it.,5,这次机会很难得，你要__住。,Band3
被子,bèizi,quilt / blanket,Both,Misc,天冷了，要多盖点被子,It’s cold—use more blankets.,5,天冷了，要多盖点__,Band3
本来,běnlái,originally / at first,Both,Misc,我本来打算出去，但下雨了。,"I was originally planning to go out, but it rained.",5,我__打算出去，但下雨了。,Band3
本领,běnlǐng,skill / ability ( Tends to emphasize a specific learned skill or acquired ability ),Both,Misc,他有很多特别的本领。,He has many special skills.,5,他有很多特别的__。,Band3
本事,běnshi,"skill / ability ( can be more general and sometimes implies broader capability or resourcefulness,)",Both,Misc,他真有本事，一个人就完成了任务。,He’s really capable—he completed the task on his own.,5,他真有__，一个人就完成了任务。,Band3
变为,biànwéi,to turn into / become,Both,Misc,雨水变为了雪,The rain turned into snow.,5,雨水__了雪,Band3
变化,biànhuà,change (noun),Both,Misc,这里的变化很大。,There’s been a big change here.,5,这里的__很大。,Band3
表达,biǎodá,"express, convey, or voice something,",Both,Misc,她很善于表达自己的想法。,She’s good at expressing her ideas.,5,她很善于__自己的想法。,Band3
表格,biǎogé,form / table (in documents),Both,Misc,请填写这张申请表格。,Please fill out this application form.,5,请填写这张申请__。,Band3
表面,biǎomiàn,surface / appearance,Both,Misc,表面看起来简单，其实很复杂,"It looks simple on the surface, but it’s actually complex.",5,__看起来简单，其实很复杂,Band3
表明,biǎomíng,to indicate / to show,Both,Misc,研究结果表明这个方法有效。,The results show that this method is effective.,5,研究结果__这个方法有效。,Band3
标题,biāotí,title / headline,Both,Misc,这篇文章的标题很吸引人。,The title of this article is very eye-catching.,5,这篇文章的__很吸引人。,Band3
表现,biǎoxiàn,"to behave (verb)
performance (noun)",Both,Misc,他在比赛中表现得很勇敢. 根据你的表现，我们会考虑给你升职,"He performed very bravely in the competition. Based on your performance, we will consider giving you a promotion.",5,他在比赛中__得很勇敢. 根据你的表现，我们会考虑给你升职,Band3
标准,biāozhǔn,standard / criteria,Both,Misc,"他做事的标准很高. 他的普通话说得很标准。
",He speaks very standard Mandarin His standards for doing things are very high,5,"他做事的__很高. 他的普通话说得很标准。
",Band3
比较,bǐjiào,relatively / to compare (adverb and verb),Both,Misc,今天比较冷。请比较这两张照片。,It’s relatively cold today. Please compare these two photos.,5,今天比较冷。请__这两张照片。,Band3
比例,bǐlì,proportion / ratio,Both,Misc,男女比例是一比一。,The male-to-female ratio is 1:1.,5,男女__是一比一。,Band3
并且,bìngqiě,"And, moreover, furthermore. emphasizes the second point.",Both,Misc,她聪明，并且很努力。,She’s smart and also hardworking.,5,她聪明，__很努力。,Band3
必然,bìrán,inevitable / bound to,Both,Misc,成功是努力的必然结果,Success is the inevitable result of hard work.,5,成功是努力的__ 结果,Band3
必要,bìyào,necessary,Both,Misc,现在没有必要担心。,It’s not necessary to worry right now.,5,现在没有__担心。,Band3
播出,bōchū,"to broadcast (a show, etc.)",Both,Misc,这部电视剧每晚八点播出。,This drama is broadcast every night at 8 p.m.,5,这部电视剧每晚八点__。,Band3
播放,bōfàng,to play (audio/video),Both,Misc,老师正在播放一段视频。,The teacher is playing a video.,5,老师正在__一段视频。,Band3
布,bù,"noun: cloth / fabric
verb: to announce / to spread (literary)",Both,Misc,这块布上写着政府刚布的通知。,On this piece of fabric was written the newly announced notice from the government.,5,这块__上写着政府刚布的通知。,Band3
补,bǔ,"verb: to mend / to patch
verb: to make up (for something lost or lacking)",Both,Misc,他补好了破鞋，还补了一天没完成的工作。,He patched his torn shoes and also made up for the unfinished work from yesterday.,5,他__好了破鞋，还补了一天没完成的工作。,Band3
不必,búbì,no need to / not necessary,Both,Misc,你不必太紧张。,You don’t need to be too nervous.,5,你__太紧张。,Band3
不光,bùguāng,not only (slightly more colloquial),Both,Misc,她不光会说汉语，还会写汉字。,"She not only speaks Chinese, but can also write Chinese characters.",5,她__会说汉语，还会写汉字。,Band3
不论,búlùn,no matter / regardless of,Both,Misc,不论天气怎么样，我们都要去。,"No matter the weather, we’re going.",5,__天气怎么样，我们都要去。,Band3
部长,bùzhǎng,noun: minister / department head,Both,Misc,教育部长今天发表了讲话。,The Minister of Education gave a speech today.,5,教育__今天发表了讲话。,Band3
不安,bù'ān,"adjective: uneasy / anxious
noun: uneasiness / anxiety",Both,Misc,他因为即将公布的结果感到不安，这种不安一直没消失。,"He felt uneasy about the upcoming results, and that anxiety never went away.",5,他因为即将公布的结果感到__，这种不安一直没消失。,Band3
补充,bǔchōng,"verb: to supplement / to add
noun: supplement",Both,Misc,老师补充了一些信息，这个补充很有用。,"The teacher added some information, and that supplement was very useful.",5,老师__了一些信息，这个补充很有用。,Band3
不得不,bùdébù,have no choice but to,Both,Misc,下大雨了，我们不得不取消计划。,"It started raining heavily, so we had no choice but to cancel the plan.",5,下大雨了，我们__取消计划。,Band3
不断,búduàn,continuously / constantly,Both,Misc,他在不断学习新东西。,He’s constantly learning new things.,5,他在__学习新东西。,Band3
不仅,bùjǐn,not only (slightly more formal),Both,Misc,他不仅唱歌好听，还会弹钢琴。,"Not only does he sing well, he also plays the pian",5,他__唱歌好听，还会弹钢琴。,Band3
部门,bùmén,noun: department (in an organization),Both,Misc,请你联系财务部门处理费用问题。,Please contact the finance department to handle the expense issue.,5,请你联系财务__处理费用问题。,Band3
才能,cáinéng,"noun: talent / ability
conjunction: only then can...",Both,Misc,有绘画才能，努力之后才能成功。,"He has artistic talent, but only with effort can he succeed.",5,有绘画__，努力之后才能成功。,Band3
彩色,cǎisè,"noun: color
adjective: colored / multicolored",Both,Misc,这幅彩色画很美，用了很多彩色的笔。,This colored painting is beautiful and used many colors.,5,这幅__画很美，用了很多彩色的笔。,Band3
采用,cǎiyòng,"adopting ideas, suggestions, designs, technologies, or materials.",Both,Misc,这个公司采用了最新的AI技术。,The company adopted the latest AI technology.,5,这个公司__了最新的AI技术。,Band3
采取,cǎiqǔ,"adopting actions, methods, policies, or attitudes.",Both,Misc,我们必须立即采取行动来保护环境。,We must immediately take action to protect the environment.,5,我们必须立即__行动来保护环境。,Band3
曾经,céngjīng,adverb: once / previously,Both,Misc,我曾经来过这里，还拍了很多照片。,I’ve been here before and even took many photos.,5,我__来过这里，还拍了很多照片。,Band3
厂,chǎng,"noun: is a more general term for factory and is often used as a component in other words to describe various types of establishments or fields. When used alone, it can also mean a factory but might be less specific.",Both,Misc,这家厂专门生产电子产品。,This factory specializes in producing electronics.,5,这家__专门生产电子产品。,Band3
长处,chángchù,noun: strength / strong point,Both,Misc,每个人都有自己的长处。,Everyone has their own strengths.,5,每个人都有自己的__。,Band3
长期,chángqī,"adjective: long-term
noun: long period",Both,Misc,他打算长期工作在国外，适应那里的长期生活。,He plans to work abroad long-term and adjust to life there over a long period.,5,他打算__工作在国外，适应那里的长期生活。,Band3
场合,chǎnghé,occasion / situation,Both,Misc,在正式场合，你应该穿得更正式一些。,"On formal occasions, you should dress more formally.",5,在正式__，你应该穿得更正式一些。,Band3
场所,chǎngsuǒ,place / venue (typically formal or public),Both,Misc,图书馆是一个安静的学习场所。,The library is a quiet place for studying.,5,图书馆是一个安静的学习__。,Band3
产生,chǎnshēng,"verb: to produce / to generate (usually abstract things like ideas, feelings)",Both,Misc,这个决定会产生严重的后果。,This decision will produce serious consequences.,5,这个决定会__严重的后果。,Band3
朝,cháo,"preposition: toward / facing
noun: dynasty",Both,Misc,她朝唐朝的方向走去，仿佛走进了历史。,"She walked toward the Tang Dynasty exhibit, as if stepping into history.",5,她__唐朝的方向走去，仿佛走进了历史。,Band3
超级,chāojí,"adjective: super / ultra-
adverb: extremely / incredibly",Both,Misc,他是超级英雄，也超级喜欢吃披萨。,He’s a superhero and also really loves pizza.,5,他是超级英雄，也__喜欢吃披萨。,Band3
衬衣,chènyī,undershirt / shirt (interchangeable with 衬衫 in many regions),Both,Clothes,他穿着整洁的衬衣来面试。,He wore a neat shirt to the interview.,5,他穿着整洁的__来面试。,Band3
称为,chēngwéi,"to be called / known as (used in more formal situations, titles, official names, and when emphasizing a specific designation.)",Both,Misc,这种植物被称为“生命之花”。,"This plant is called the ""Flower of Life.""",5,这种植物被__“生命之花”。,Band3
程度,chéngdù,"noun: level / degree (of ability, severity, etc.) Used to talk about the level or extent of something.",Both,Misc,他的中文已经达到了很高的程度,His Chinese has reached a high level.,5,他的中文已经达到了很高的__,Band3
成果,chéngguǒ,achievement / result (of effort or work),Both,Misc,他们的研究取得了重要成果。,Their research achieved significant results.,5,他们的研究取得了重要__。,Band3
成就,chéngjiù,accomplishment / achievement (often personal or major),Both,Misc,她最大的成就是获得博士学位。,Her greatest achievement is earning a PhD.,5,她最大的__是获得博士学位。,Band3
成立,chénglì,verb: to establish / to found,Both,Misc,这个公司成立于1999年。,This company was founded in 1999.,5,这个公司__于1999年。,Band3
城市,chéngshì,noun: city,Both,Misc,这个城市的夜景非常美丽。,The night view of this city is beautiful.,5,这个__的夜景非常美丽。,Band3
成熟,chéngshú,"adjective: mature (personality, fruit, etc.)
verb: to mature / ripen",Both,Misc,这些葡萄已经成熟了，而他也在困难中慢慢成熟起来。,"These grapes have ripened, and he too has matured through hardship.",5,这些葡萄已经成熟了，而他也在困难中慢慢__起来。,Band3
成员,chéngyuán,noun: member (of a group/team),Both,Misc,他是我们团队的重要成员,He is an important member of our team.,5,他是我们团队的重要__,Band3
成长,chéngzhǎng,"verb: to grow up
noun: growth / development",Both,Misc,孩子的成长需要时间和关爱。,A child’s growth requires time and love.,5,孩子的__需要时间和关爱。,Band3
衬衫,chènshān,"shirt (usually buttoned, collared)",Both,Clothes,这件白衬衫很适合上班穿。,This white shirt is perfect for work.,5,这件白__很适合上班穿。,Band3
持续,chíxù,to continue / to last. Used to emphasize the ongoing nature of something without interruption.,Both,Misc,这场雨已经持续三天了。,This rain has lasted for three days.,5,这场雨已经__三天了。,Band3
充满,chōngmǎn,verb: to be full of / to be filled with (abstract or emotional),Both,Misc,她的脸上充满了幸福的笑容。,Her face was full of a joyful smile.,5,她的脸上__了幸福的笑容。,Band3
初中,chūzhōng,noun: junior high school,Both,Misc,我在初中时参加了合唱团。,I joined the choir when I was in junior high.,5,我在__时参加了合唱团。,Band3
传,chuán,"verb: to pass on (news, object)
verb: to transmit (information, knowledge, disease)",Both,Misc,他把爷爷的故事传给了我，也传了一种特别的家族文化。,He passed down his grandfather’s stories to me and also transmitted a special family culture.,5,他把爷爷的故事传给了我，也__了一种特别的家族文化。,Band3
传来,chuánlái,"verb: (of sound, smell, etc.) to come through / to be heard from afar",Both,Misc,厨房传来饭菜的香味和笑声。,Delicious smells and laughter came from the kitchen.,5,厨房__饭菜的香味和笑声。,Band3
传播,chuánbō,"to spread / to disseminate (information, culture, virus)",Both,Misc,社交媒体能快速传播消息，也容易传播谣言。,"Social media can spread information quickly, but also spread rumors.",5,社交媒体能快速__消息，也容易传播谣言。,Band3
创新,chuàngxīn,"verb: to innovate
noun: innovation",Both,Misc,这家公司的创新令人惊讶，他们每年都有新的创新。,This company’s innovation is impressive — they come up with new innovations every year.,5,这家公司的__令人惊讶，他们每年都有新的创新。,Band3
创业,chuàngyè,verb: to start a business,Both,Misc,他决定辞职去创业，实现自己的梦想。,He decided to quit his job and start a business to pursue his dream.,5,他决定辞职去__，实现自己的梦想。,Band3
创造,chuàngzào,"verb: to create / to produce (ideas, conditions, miracles)",Both,Misc,我们要努力创造一个更美好的未来。,We must work hard to create a better future.,5,我们要努力__一个更美好的未来。,Band3
创作,chuàngzuò,"verb: to compose / to create (artwork, literature, music)
noun: a creative work",Both,Misc,她在创作一幅画，这幅画也是她今年的主要创作,"She is painting a picture, which is also her main creative work this year.",5,她在__一幅画，这幅画也是她今年的主要创作,Band3
传说,chuánshuō,"noun: legend / folklore
verb: it is said",English,Misc,传说这座山住着一条龙，这个传说流传了几百年。,"It is said that a dragon lives in this mountain, and this legend has been passed down for hundreds of years.",5,__这座山住着一条龙，这个传说流传了几百年。,Band3
初步,chūbù,adjective: preliminary / initial,Both,Misc,这是我们的初步计划，之后会再修改。,This is our preliminary plan — we’ll revise it later.,5,这是我们的__计划，之后会再修改。,Band3
初级,chūjí,adjective: beginner level / elementary,Both,Misc,这本书适合初级学习者,This book is suitable for beginners.,5,这本书适合__学习者,Band3
处理,chǔlǐ,verb: to handle / to deal with / to process,Both,Misc,我们必须尽快处理这个问题。,We must deal with this issue as soon as possible.,5,我们必须尽快__这个问题。,Band3
从来,cónglái,adverb: always (in the past) / never (when used with negative),English,Misc,我从来没有看过这么奇怪的东西。,I’ve never seen something this strange before.,5,我__没有看过这么奇怪的东西。,Band3
从前,cóngqián,noun/adverb: once upon a time / in the past,Both,Misc,从前有一个聪明的国王。,"Once upon a time, there was a wise king.",5,__有一个聪明的国王。,Band3
从事,cóngshì,verb: to be engaged in (a profession or activity),Both,Misc,他从事教育工作已经十年了。,He has been working in education for ten years.,5,他__教育工作已经十年了。,Band3
存在,cúnzài,"verb: to exist
noun: existence",Both,Misc,这个问题确实存在，但它的存在并不代表无解。,"This problem truly exists, but its existence doesn’t mean it’s unsolvable.",5,这个问题确实__，但它的存在并不代表无解。,Band3
错误,cuòwù,"noun: mistake / error
adjective: incorrect / mistaken",Both,Misc,他的做法是错误的，这个错误可能带来严重后果。,"His approach is incorrect, and this mistake could lead to serious consequences.",5,他的做法是__的，这个错误可能带来严重后果。,Band3
打破,dǎpò,"verb: to break (physically or abstractly, like a record or silence)",Both,Misc,他打破了沉默，也打破了世界纪录,He broke the silence — and the world record too.,5,他__了沉默，也__了世界纪录,Band3
达到,dádào,"verb: to reach (a level, goal, result)",Both,Misc,他终于达到了自己的目标。,He finally reached his goal.,5,他终于__了自己的目标。,Band3
代表团,dàibiǎotuán,noun: delegation,Both,Misc,中国代表团将参加国际会议。,The Chinese delegation will attend the international conference.,5,中国__将参加国际会议。,Band3
带动,dàidòng,verb: to lead / to bring along / to drive (development),Both,Misc,这项新政策带动了整个行业的发展。,This new policy has driven the development of the entire industry.,5,这项新政策__了整个行业的发展。,Band3
代表,dàibiǎo,"noun: representative
verb: to represent",Chinese Sentence,Misc,他是学生会的代表，代表全体同学发言,He is the student council representative and speaks on behalf of all students.,5,他是学生会的__，__全体同学发言,Band3
大夫,dàifu,noun: (colloquial) doctor,Both,Misc,我去看了大夫，他说我感冒了。,I went to see the doctor; he said I had a cold.,5,我去看了__，他说我感冒了。,Band3
带领,dàilǐng,verb: to lead (people),Both,Misc,他带领学生们参观博物馆。,He led the students to visit the museum.,5,他__学生们参观博物馆。,Band3
当中,dāngzhōng,preposition: in the middle of / among,Both,Misc,在讨论当中，他提出了一个关键问题,"In the middle of the discussion, he raised a key issue.",5,在讨论__，他提出了一个关键问题,Band3
当初,dāngchū,noun/adverb: at that time / originally,Both,Misc,如果我当初听你的话，就不会失败了。,"If I had listened to you back then, I wouldn’t have failed.",5,如果我__听你的话，就不会失败了。,Band3
当地,dāngdì,"noun: local area
adjective: local",Both,Misc,我们品尝了当地的美食，和当地人聊了聊。,We tasted the local food and chatted with the locals.,5,我们品尝了当地的美食，和__人聊了聊。,Band3
单元,dānyuán,"noun: unit (of study, apartment, etc.)",Both,Misc,我们今天开始学习新的一课单元。,Today we’re starting a new lesson unit.,5,我们今天开始学习新的一课__。,Band3
到达,dàodá,verb: to arrive / to reach,Both,Misc,火车准时到达了北京站。,The train arrived at Beijing Station on time.,5,火车准时__了北京站。,Band3
到底,dàodǐ,"adverb: after all / exactly / in the end
used for emphasis in questions",Chinese Sentence,Misc,你到底想说什么？我到底该相信谁？,What exactly are you trying to say? Who should I believe in the end?,5,你__想说什么？我__该相信谁？,Band3
导演,dǎoyǎn,"noun: director (of a film, TV show, etc.)
verb: to direct",Both,Misc,这部电影由著名导演执导，他不仅是导演，也是编剧。,This film is directed by a well-known filmmaker who is both the director and the screenwriter.,5,这部电影由著名__执导，他不仅是__，也是编剧。,Band3
大使馆,dàshǐguǎn,noun: embassy,Both,Misc,你需要去中国大使馆办理签证。,You need to go to the Chinese embassy to apply for a visa.,5,你需要去中国__办理签证。,Band3
打听,dǎting,"verb: to inquire / to ask about (news, situation, people)",Both,Misc,他偷偷打听我的行程安排。,He secretly asked about my travel plans.,5,他偷偷__我的行程安排。,Band3
大约,dàyuē,adverb: approximately / about,Both,Misc,会议大约三点开始。,The meeting starts at about 3 p.m.,5,会议__三点开始。,Band3
得分,défēn,"verb: to score
noun: score / points",Both,Misc,他得分很高，这次比赛的得分也是全场最高。,He scored high — his score was the highest in the game.,5,他__很高，这次比赛的__也是全场最高。,Band3
等待,děngdài,verb: to wait (formal or literary),Chinese Sentence,Misc,我们正在耐心地等待结果。,We are patiently waiting for the results.,5,我们正在耐心地__结果。,Band3
电视剧,diànshìjù,noun: TV drama / TV series,Both,Misc,这部电视剧非常受欢迎。,This TV series is very popular.,5,这部__非常受欢迎。,Band3
电视台,diànshìtái,noun: television station,Both,Misc,电视台正在直播晚会。,The TV station is broadcasting the gala live.,5,__正在直播晚会。,Band3
电台,diàntái,noun: radio station,Both,Misc,我每天早上听电台节目学中文。,I listen to radio programs every morning to learn Chinese.,5,我每天早上听__节目学中文。,Band3
调,diào/tiáo,"verb (diào): to transfer / to shift
verb (tiáo): to adjust / to blend (e.g. flavor)",Both,Misc,他被调到新部门，还自己调了调咖啡的味道,He was transferred to a new department and also adjusted the flavor of his coffee.,5,他被__到新部门，还自己调了调咖啡的味道,Band3
调查,diàochá,"verb: to investigate
noun: investigation / survey",Both,Misc,警方正在调查这件事，初步调查已经完成。,"The police are investigating the case, and the preliminary investigation is complete.",5,警方正在__这件事，初步调查已经完成。,Band3
订,dìng,verb: to book / to order / to subscribe,Both,Misc,我已经订了机票，也订了一份中文杂志。,I’ve booked the plane ticket and subscribed to a Chinese magazine.,5,我已经__了机票，也__了一份中文杂志。,Band3
定期,dìngqī,"adverb: regularly
adjective: fixed-date / scheduled",Both,Misc,我们定期举行会议，所有定期报告也会准时提交。,"We hold meetings regularly, and all scheduled reports are submitted on time.",5,我们__举行会议，所有__报告也会准时提交。,Band3
地区,dìqū,noun: region / area,Both,Misc,这个地区夏天非常炎热。,This region is very hot in summer.,5,这个__夏天非常炎热。,Band3
动人,dòngrén,adjective: touching / moving (emotionally),Both,Misc,她的歌声非常动人，感动了在场的每一个人。,Her singing was so moving that it touched everyone present.,5,她的歌声非常__，感动了在场的每一个人。,Band3
动力,dònglì,noun: motivation / driving force / power,Both,Misc,兴趣是学习最好的动力。,Interest is the best motivation for learning.,5,兴趣是学习最好的__。,Band3
读者,dúzhě,"noun: reader (of books, articles, etc.)",Both,Misc,作者和读者之间有一种特殊的联系。,There’s a special connection between the author and the reader.,5,作者和__之间有一种特殊的联系。,Band3
断,duàn,"verb: to break / to cut off / to stop
verb (figurative): to be broken (emotionally or logically)",Both,Misc,电线断了，我们之间的联系也断了。,"The power line broke, and so did our connection.",5,电线__了，我们之间的联系也断了。,Band3
短处,duǎnchù,noun: shortcoming / weakness,Both,Misc,每个人都有优点和短处。,Everyone has strengths and weaknesses.,5,每个人都有优点和__。,Band3
短裤,duǎnkù,noun: shorts,Both,Clothes,夏天我喜欢穿T恤和短裤。,I like wearing T-shirts and shorts in the summer.,5,夏天我喜欢穿T恤和__。,Band3
短期,duǎnqī,noun: short term,Both,Misc,我们计划进行一个短期培训课程。,We’re planning a short-term training course.,5,我们计划进行一个__培训课程。,Band3
队员,duìyuán,noun: team member,Both,Misc,每个队员都为胜利做出了贡献。,Each team member contributed to the victory.,5,每个__都为胜利做出了贡献。,Band3
对待,duìdài,"verb: to treat (a person, situation, or issue)",Both,Misc,我们应该认真对待每一个问题。,We should take every problem seriously.,5,我们应该认真__每一个问题。,Band3
对方,duìfāng,noun: the other side / the other party,Both,Misc,通话时请尊重对方，不要打断。,Please respect the other party during a call and don’t interrupt.,5,通话时请尊重__，不要打断。,Band3
对手,duìshǒu,noun: opponent / rival,Both,Misc,这场比赛的对手非常强大。,The opponent in this match is very strong.,5,这场比赛的__非常强大。,Band3
对象,duìxiàng,"noun: target / object (of action or study)
noun (colloquial): partner / significant other",Both,Misc,他研究的对象是一种新病毒，他的恋爱对象也在同一个实验室。,"His research target is a new virus, and his romantic partner works in the same lab.",5,他研究的__是一种新病毒，他的恋爱__也在同一个实验室。,Band3
顿,dùn,"measure word: for meals, scoldings, beatings, pauses
noun: pause / moment",Both,Misc,他被批评了一顿，然后安静了一顿时间没说话。,"He got scolded, then paused for a moment without speaking.",5,他被批评了一__，然后安静了一__时间没说话。,Band3
发出,fāchū,verb: to send out / to emit / to issue,Both,Misc,警报突然发出响声。,The alarm suddenly emitted a sound.,5,警报突然_ _响声。,Band3
发送,fāsòng,"verb: to send / to dispatch (emails, data, goods)",Both,Misc,请尽快发送电子邮件,Please send the email as soon as possible.,5,请尽快__电子邮件,Band3
发表,fābiǎo,verb: to publish / to express (a view publicly),Both,Misc,他刚发表了论文，还在会上发表了意见。,He just published a paper and also expressed his opinion at the meeting.,5,他刚__了论文，还在会上__了意见。,Band3
发达,fādá,adjective: developed / advanced,Both,Misc,这个国家的经济非常发达。,This country’s economy is very developed.,5,这个国家的经济非常__。,Band3
发动,fādòng,"verb: to start (engine, war, movement)",Both,Misc,他发动了汽车，也发动了抗议活动。,He started the car and also launched the protest.,5,他__了汽车，也__了抗议活动。,Band3
发明,fāmíng,"verb: to invent
noun: invention",Both,Misc,他发明了一个新装置，这项发明改变了行业。,"He invented a new device, and that invention changed the industry.",5,他__了一个新装置，这项__改变了行业。,Band3
