Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_HSK,_Dao,Color,Encountered,ID
做法,zuòfǎ,way of doing / method,你的做法很聪明。,Your method is very smart.,Band2,2.5,5,0,519
保留,bǎoliú,to retain / to keep,学校保留了他的学籍。,The school retained his student status.,Band3,2.5,5,0,520
分配,fēnpèi,verb: to distribute / to allocate,老师分配了作业，每人分配到了不同的任务,"The teacher assigned homework, and everyone was given different tasks.",Band3,2.5,5,0,521
合理,hélǐ,adjective: reasonable / rational,你的解释很合理，我接受了。,Your explanation is very reasonable — I accept it.,Band3,2.5,5,0,522
明显,míngxiǎn,adjective: obvious / evident,这次成绩进步非常明显。,The improvement in grades this time is very obvious.,Band3,2.5,5,0,523
时刻,shíkè,"noun: moment / time
adverb: always / constantly",在紧急时刻，他时刻保持冷静。,"At a critical moment, he stayed calm at all times.",Band3,2.5,5,0,524
提问,tíwèn,"verb: to ask a question
noun: question (esp. in exams or formal settings)",学生开始提问，老师根据每个提问认真作答。,"The students began asking questions, and the teacher answered each question carefully.",Band3,2.5,5,0,525
意外,yìwài,"noun: accident / unexpected event
adjective: unexpected / surprising",他的到来很意外，这种意外让大家都很高兴。,"His arrival was unexpected, and this surprise made everyone happy.",Band3,2.5,5,0,526
整理,zhěnglǐ,verb: to tidy up / to organize,请你帮我整理一下房间和资料。,Please help me tidy up the room and organize the documents.,Band3,2.5,5,0,527
争取,zhēngqǔ,verb: to strive for; to fight for,我们应该争取更多机会。,We should strive for more opportunities.,Band3,2.5,5,0,528
足够,zúgòu,"adjective: sufficient / enough
verb: to be enough",我们已经有足够的资金，这些资源也足够用了。,"We already have sufficient funds, and these resources are enough too.",Band3,2.5,5,0,529
传统,chuántǒng,noun/adjective: tradition; traditional,这是一个传统节日。,This is a traditional festival.,Band4,2.5,5,0,530
地址,dìzhǐ,noun: address,请写下你的家庭地址。,Please write down your home address.,Band4,2.5,5,0,531
对于,duìyú,preposition: regarding; toward; concerning,对于这个问题，他有不同的看法。,He has a different opinion regarding this issue.,Band4,2.5,5,0,532
风景,fēngjǐng,noun: scenery; landscape,这里的风景非常漂亮。,The scenery here is very beautiful.,Band4,2.5,5,0,533
付出,fùchū,"verb: to pay / to give (usually effort, time, cost)",成功的背后往往是无人看到的付出。,Behind success is often unseen effort.,Band4,2.5,5,0,534
角色,juésè,noun: role (in drama/life),她在这部剧里饰演了一个反派角色，表现很精彩。,She played a villain in the play and performed brilliantly.,Band4,2.5,5,0,535
汽水,qìshuǐ,noun: soda; soft drink,小孩子很喜欢喝汽水。,Children really like drinking soda.,Band4,2.5,5,0,536
似乎,sìhū,adverb: seemingly; apparently; it seems,他似乎不太高兴。,He seems a bit unhappy.,Band4,2.5,5,0,537
思考,sīkǎo,verb/noun: to think; to reflect; thinking,他正在认真思考这个问题。,He is seriously thinking about this problem.,Band4,2.5,5,0,538
相处,xiāngchǔ,verb: to get along; to interact,他们相处得很好。,They get along very well.,Band4,2.5,5,0,539
形容,xíngróng,verb: to describe,你能形容一下那个地方吗？,Can you describe that place?,Band4,2.5,5,0,540
新鲜,xīnxiān,adjective: fresh,这些水果非常新鲜。,These fruits are very fresh.,Band4,2.5,5,0,541
严格,yángé,adjective: strict; rigorous,老师对学生非常严格。,The teacher is very strict with the students.,Band4,2.5,5,0,542
拜访,bàifǎng,verb: to visit; to pay a visit,我们周末去拜访老师。,We visited the teacher over the weekend.,Band5,2.5,5,0,543
保卫,bǎowèi,verb: to defend; to safeguard,士兵们正在保卫国家。,The soldiers are defending the country.,Band5,2.5,5,0,544
包装,bāozhuāng,verb/noun: to package; packaging,这个礼物已经包装好了。,This gift has already been wrapped.,Band5,2.5,5,0,545
放大,fàngdà,verb: to enlarge; to magnify,你可以把这张照片放大一点吗？,Can you enlarge this photo a bit?,Band5,2.5,5,0,546
回收,huíshōu,verb: to recycle; to recover,这些瓶子可以回收利用。,These bottles can be recycled and reused.,Band5,2.5,5,0,547
尽管,jǐnguǎn,conjunction: although; even though / adverb: freely; without hesitation,尽管天气不好，他们还是决定出去。,"Although the weather was bad, they still decided to go out.",Band5,2.5,5,0,548
模样,múyàng,noun: appearance; look,他生气时的模样很可怕。,He looks scary when he is angry.,Band5,2.5,5,0,549
收集,shōují,verb: to collect; to gather,他喜欢收集邮票。,He likes collecting stamps.,Band5,2.5,5,0,550
为难,wéi nán,adjective/verb: difficult; embarrassed; to make things difficult,这件事让我很为难。,This matter puts me in a difficult position.,Band5,2.5,5,0,551
戏剧,xìjù,noun: drama / play,这部戏剧感人至深，许多观众都哭了。,This play was deeply moving—many in the audience cried.,Band5,2.5,5,0,552
当作,dàngzuò,verb: to treat as / to regard as,她把写作当作一种放松的方式。,She treats writing as a way to relax.,Band6,2.5,5,0,553
发起,fāqǐ,verb: to launch; to initiate,学生们发起了一场活动。,The students launched an event.,Band6,2.5,5,0,554
攻击,gōngjī,verb/noun: to attack; attack,那只动物突然攻击了游客。,That animal suddenly attacked the tourists.,Band6,2.5,5,0,555
和谐,héxié,adjective: harmonious,他们的关系非常和谐，几乎从不吵架。,Their relationship is very harmonious — they almost never argue.,Band6,2.5,5,0,556
灵活,línghuó,adjective: flexible / adaptable,他的思维很灵活，总能想到解决问题的新方法。,His thinking is very flexible and he always comes up with new ways to solve problems.,Band6,2.5,5,0,557
清洁工,qīngjiégōng,noun: cleaner; janitor; sanitation worker,清洁工每天都很早开始工作。,The cleaners start work very early every day.,Band6,2.5,5,0,558
嘲笑,cháoxiào,verb: to mock; to laugh at; to ridicule,我们不应该嘲笑别人。,We should not mock other people.,Band7,2.5,5,0,559
感激,gǎnjī,verb/adjective: to appreciate; grateful,我非常感激你的帮助。,I am very grateful for your help.,Band7,2.5,5,0,560
孤单,gūdān,adjective: lonely,一个人住的时候，她常常觉得孤单。,"When living alone, she often feels lonely.",Band7,2.5,5,0,561
柜台,guìtái,noun: counter; service desk,请到柜台办理手续。,Please go to the counter to handle the procedure.,Band7,2.5,5,0,562
航行,hángxíng,verb: to sail; to navigate,那艘船正在海上航行。,That ship is sailing on the sea.,Band7,2.5,5,0,563
简短,jiǎnduǎn,adjective: brief; short,他的发言很简短。,His speech was very brief.,Band7,2.5,5,0,564
理睬,lǐcǎi,verb: to pay attention to; to respond to,他完全不理睬我的问题。,He completely ignored my question.,Band7,2.5,5,0,565
目的地,mùdìdì,noun: destination,我们终于到达了目的地。,We finally arrived at the destination.,Band7,2.5,5,0,566
忍心,rěnxīn,verb: to have the heart to; to be willing to do something cruel,你怎么忍心骗他？,How could you bear to deceive him?,Band7,2.5,5,0,567
谈论,tánlùn,verb: to discuss; to talk about,他们正在谈论最近的新闻。,They are discussing the recent news.,Band7,2.5,5,0,568
探险,tànxiǎn,verb/noun: to explore; adventure,他喜欢去森林探险。,He likes going into forests for adventures.,Band7,2.5,5,0,569
演戏,yǎnxì,verb: to act; to perform in a play,她从小就喜欢演戏。,She has liked acting since childhood.,Band7,2.5,5,0,570
一连串,yīliánchuàn,measure phrase: a series of; a string of,他提出了一连串的问题。,He raised a series of questions.,Band7,2.5,5,0,571
自私,zìsī,adjective: selfish,他只考虑自己，太自私了。,He only thinks about himself and is too selfish.,Band7,2.5,5,0,572
传单,chuándān,noun: flyer; leaflet; handout,有人在街上发传单。,Someone is handing out flyers on the street.,Unknown,2.5,5,0,573
店员,diànyuán,noun: shop assistant; store clerk,店员很热情地帮助了我们。,The shop assistant warmly helped us.,Unknown,2.5,5,0,574
付钱,fùqián,verb: to pay money,吃完饭后，他主动去付钱。,"After the meal, he主动 went to pay.",Unknown,2.5,5,0,575
加倍,jiābèi,verb/adverb: to double; doubly,为了成功，他加倍努力学习。,"To succeed, he studied twice as hard.",Unknown,2.5,5,0,576
怒气,nùqì,noun: anger; rage,他满脸怒气地离开了房间。,He left the room full of anger.,Unknown,2.5,5,0,577
纸巾,zhǐjīn,noun: tissue paper,桌子上放着一包纸巾。,There is a pack of tissues on the table.,Unknown,2.5,5,0,578
种花,zhònghuā,verb: to grow flowers,她喜欢在阳台上种花。,She likes growing flowers on the balcony.,Unknown,2.5,5,0,579
周会,zhōuhuì,noun: weekly meeting,公司每星期一都会开周会。,The company holds a weekly meeting every Monday.,Unknown,2.5,5,0,580
见面,jiànmiàn,meet,我们下周见面吧,Let’s meet next week.,Band1,2.6,5,0,581
随时,suíshí,at any time,你可以随时联系我。,You can contact me anytime.,Band2,2.6,5,0,582
同时,tóngshí,– at the same time / meanwhile,他是老师，同时也是作家。,He is a teacher and also a writer.,Band2,2.6,5,0,583
正是,zhèngshì,exactly / precisely,这正是我想说的！,That’s exactly what I wanted to say!,Band2,2.6,5,0,584
周年,zhōunián,anniversary,今天是他们结婚五周年纪念日。,Today is their 5th wedding anniversary.,Band2,2.6,5,0,585
本来,běnlái,originally / at first,我本来打算出去，但下雨了。,"I was originally planning to go out, but it rained.",Band3,2.6,5,0,586
本领,běnlǐng,skill / ability ( Tends to emphasize a specific learned skill or acquired ability ),他有很多特别的本领。,He has many special skills.,Band3,2.6,5,0,587
播放,bōfàng,to play (audio/video),老师正在播放一段视频。,The teacher is playing a video.,Band3,2.6,5,0,588
不仅,bùjǐn,not only (slightly more formal),他不仅唱歌好听，还会弹钢琴。,"Not only does he sing well, he also plays the pian",Band3,2.6,5,0,589
大约,dàyuē,adverb: approximately / about,会议大约三点开始。,The meeting starts at about 3 p.m.,Band3,2.6,5,0,590
接待,jiēdài,"verb: to receive (guests, visitors, clients)",接待人员非常热情，让我印象深刻。,The receptionist was very warm and left a great impression on me.,Band3,2.6,5,0,591
接近,jiējìn,"Verb: to approach / to get close to (in space or time)
Adjective: near / close (formal usage)",比赛时间接近了，他的状态也接近最佳。,"The game time is approaching, and he is nearing his best condition.",Band3,2.6,5,0,592
上衣,shàngyī,noun: jacket / upper outer garment,这件上衣的颜色很适合你。,The color of this jacket suits you well.,Band3,2.6,5,0,593
食品,shípǐn,noun: food product,超市里有专门的有机食品区。,There is a dedicated organic food section in the supermarket.,Band3,2.6,5,0,594
收费,shōufèi,"verb: to charge a fee
noun: charging / fees",这个景点开始收费了，而且收费标准也提高了。,"This tourist spot has started charging admission, and the fee standard has increased.",Band3,2.6,5,0,595
提前,tíqián,"verb: to do something ahead of time
adverb: in advance",会议时间提前了，我们也提前做好了准备。,"The meeting was moved forward, and we got ready in advance.",Band3,2.6,5,0,596
相关,xiāngguān,adjective: related / relevant,请提供相关材料以便审批。,Please provide the relevant materials for approval.,Band3,2.6,5,0,597
预报,yùbào,"noun: forecast
verb: to forecast",天气预报预报明天有雨。,The weather forecast predicts rain tomorrow.,Band3,2.6,5,0,598
预防,yùfáng,verb: to prevent,多洗手可以有效预防病毒传播。,Washing hands frequently can effectively prevent the spread of viruses.,Band3,2.6,5,0,599
沉默,chénmò,adjective/verb: silent; silence,听到这个消息后，他突然沉默了。,"After hearing the news, he suddenly fell silent.",Band4,2.6,5,0,600
多种,duōzhǒng,adjective: many kinds of; multiple types,超市里有多种水果可以选择。,There are many kinds of fruits to choose from in the supermarket.,Band4,2.6,5,0,601
发挥,fāhuī,verb: to bring into play; to发挥; to display ability,希望你能发挥自己的实力。,I hope you can fully display your abilities.,Band4,2.6,5,0,602
负担,fùdān,noun/verb: burden; to bear a burden,房租已经成了他的经济负担。,Rent has become his financial burden.,Band4,2.6,5,0,603
减少,jiǎnshǎo,verb: to reduce; to decrease,我们应该减少浪费。,We should reduce waste.,Band4,2.6,5,0,604
考虑,kǎolǜ,verb: to consider; to think about,我会认真考虑你的建议。,I will seriously consider your suggestion.,Band4,2.6,5,0,605
能干,nénggàn,adjective: capable; competent,她是一位非常能干的员工。,She is a very capable employee.,Band4,2.6,5,0,606
善良,shànliáng,adjective: kind-hearted,她是个善良的人，总愿意帮助别人。,"She’s a kind-hearted person, always willing to help others.",Band4,2.6,5,0,607
随手,suíshǒu,adverb: conveniently / in passing / without effort,请随手关门，保持冷气。,Please close the door as you go to keep the air conditioning in.,Band4,2.6,5,0,608
迅速,xùnsù,adjective/adverb: rapid / quickly,他迅速做出反应，成功避免了事故。,He reacted quickly and successfully avoided the accident.,Band4,2.6,5,0,609
种类,zhǒnglèi,noun: kind / type / category,这个超市的商品种类非常丰富。,This supermarket has a wide variety of products.,Band4,2.6,5,0,610
歌曲,gēqǔ,noun: song,这首歌曲非常有名。,This song is very famous.,Band5,2.6,5,0,611
火灾,huǒzāi,noun: fire; blaze,昨晚发生了一场严重的火灾。,A serious fire broke out last night.,Band5,2.6,5,0,612
靠近,kàojìn,verb: to approach; to get close to,不要靠近危险区域。,Do not go near the dangerous area.,Band5,2.6,5,0,613
朗读,lǎngdú,verb: to read aloud,老师让学生朗读课文。,The teacher asked the students to read the text aloud.,Band5,2.6,5,0,614
明亮,míngliàng,adjective: bright; well-lit,这个房间非常明亮。,This room is very bright.,Band5,2.6,5,0,615
命令,mìnglìng,noun/verb: order; command,他命令大家立刻离开。,He ordered everyone to leave immediately.,Band5,2.6,5,0,616
勤奋,qínfèn,adjective: diligent / hardworking,他非常勤奋，每天早起学习。,He’s very diligent and studies early every morning.,Band5,2.6,5,0,617
社区,shèqū,noun: community; neighborhood,这个社区非常安静。,This community is very quiet.,Band5,2.6,5,0,618
熟悉,shúxī,adjective/verb: familiar with; to know well,我对这里的环境很熟悉。,I am very familiar with the environment here.,Band5,2.6,5,0,619
终点,zhōngdiǎn,noun: finish line; destination,他终于跑到了终点。,He finally reached the finish line.,Band5,2.6,5,0,620
转换,zhuǎnhuàn,verb: to convert; to switch; to transform,请把文件转换成PDF格式。,Please convert the file into PDF format.,Band5,2.6,5,0,621
宠物,chǒngwù,noun: pet,她养了一只很可爱的宠物。,She keeps a very cute pet.,Band6,2.6,5,0,622
对抗,duìkàng,verb/noun: to resist; to confront; confrontation,我们必须一起对抗困难。,We must face the difficulties together.,Band6,2.6,5,0,623
王子,wángzǐ,noun: prince,故事里的王子非常勇敢。,The prince in the story is very brave.,Band6,2.6,5,0,624
音量,yīnliàng,noun: volume; sound level,请把音量调小一点。,Please lower the volume a little.,Band6,2.6,5,0,625
医药,yīyào,noun: medicine; medical treatment and drugs,医药费用越来越高。,Medical expenses are getting higher and higher.,Band6,2.6,5,0,626
祝愿,zhùyuàn,verb/noun: to wish; best wishes,我祝愿你未来一切顺利。,I wish you all the best in the future.,Band6,2.6,5,0,627
诚恳,chéngkěn,adjective: sincere; earnest,他用非常诚恳的态度向大家道歉。,He apologized to everyone with a very sincere attitude.,Band7,2.6,5,0,628
妒忌,dùjì,verb/adjective: to envy; jealous,他很妒忌别人的成功。,He is very jealous of other people’s success.,Band7,2.6,5,0,629
浮现,fúxiàn,verb: to appear gradually; to emerge,他的笑容 slowly浮现在脸上。,A smile gradually appeared on his face.,Band7,2.6,5,0,630
感恩,gǎnēn,verb/adjective: to be grateful; thankful,我们应该感恩帮助过自己的人。,We should be grateful to those who helped us.,Band7,2.6,5,0,631
海岸,hǎiàn,noun: coast; seashore,我们沿着海岸散步。,We walked along the coast.,Band7,2.6,5,0,632
害羞,hàixiū,adjective: shy; bashful,他一见到陌生人就会害羞。,He becomes shy whenever he meets strangers.,Band7,2.6,5,0,633
拼命,pīnmìng,adverb/verb: with all one’s might / to risk one's life,他拼命地赶作业，希望能按时交上去。,He rushed like crazy to finish the homework on time.,Band7,2.6,5,0,634
天桥,tiānqiáo,noun: overhead bridge; pedestrian bridge,我们从天桥过马路吧。,Let’s cross the road using the overhead bridge.,Band7,2.6,5,0,635
完好,wánhǎo,adjective: intact; undamaged,这些古董保存得非常完好。,These antiques are preserved in excellent condition.,Band7,2.6,5,0,636
心爱,xīnài,adjective: beloved; cherished,这是我最心爱的礼物。,This is my most cherished gift.,Band7,2.6,5,0,637
一系列,yíxìliè,noun: a series of,我们将进行一系列测试来确保产品质量。,We’ll carry out a series of tests to ensure product quality.,Band7,2.6,5,0,638
诊所,zhěnsuǒ,noun: clinic,他去附近的诊所看病。,He went to a nearby clinic to see a doctor.,Band7,2.6,5,0,639
嘴唇,zuǐchún,noun: lips,她的嘴唇因为太干裂开了。,Her lips cracked because they were too dry.,Band7,2.6,5,0,640
避开,bìkāi,verb: to avoid; to steer clear of,我们最好避开高峰时间。,We’d better avoid rush hour.,Unknown,2.6,5,0,641
到场,dàochǎng,verb: to arrive at the scene; to show up,很多观众已经到场了。,Many audience members have already arrived.,Unknown,2.6,5,0,642
道谢,dàoxiè,verb: to express thanks; to thank,他亲自向老师道谢。,He personally thanked the teacher.,Unknown,2.6,5,0,643
犯错,fàncuò,verb: to make a mistake,每个人都会犯错。,Everyone makes mistakes.,Unknown,2.6,5,0,644
分给,fēngěi,verb: to distribute to; to give out to,老师把糖果分给学生们。,The teacher distributed candies to the students.,Unknown,2.6,5,0,645
将会,jiānghuì,auxiliary verb: will; shall,明天天气将会变冷。,The weather will become colder tomorrow.,Unknown,2.6,5,0,646
级任,jírèn,noun: homeroom teacher (Singapore/Malaysia usage),我的级任老师非常负责。,My homeroom teacher is very responsible.,Unknown,2.6,5,0,647
怒气冲冲,nùqìchōngchōng,adjective: furious; full of anger,他怒气冲冲地走出了办公室。,He stormed out of the office angrily.,Unknown,2.6,5,0,648
轻快,qīngkuài,adjective: light and brisk; lively,她用轻快的脚步走进房间。,She walked into the room with light brisk steps.,Unknown,2.6,5,0,649
受罚,shòufá,verb: to be punished,如果违反规则，就会受罚。,"If you break the rules, you will be punished.",Unknown,2.6,5,0,650
五彩,wǔcǎi,adjective: multicolored; colorful,天空中出现了五彩的灯光。,Colorful lights appeared in the sky.,Unknown,2.6,5,0,651
笑眯眯,xiàomīmī,adjective: smiling happily; beaming,老奶奶笑眯眯地看着孩子们。,The old lady looked at the children with a warm smile.,Unknown,2.6,5,0,652
养家,yǎngjiā,verb: to support a family,他一个人养家，压力非常大。,"He supports the whole family by himself, and the pressure is huge.",Unknown,2.6,5,0,653
摘花,zhāihuā,verb: to pick flowers,公园里禁止摘花。,Picking flowers is prohibited in the park.,Unknown,2.6,5,0,654
装满,zhuāngmǎn,verb: to fill up; to pack full,箱子里装满了书。,The box is filled with books.,Unknown,2.6,5,0,655
重复,chóngfù,repeat,别总是重复同样的错误,Don’t keep repeating the same mistakes.,Band2,2.7,5,0,656
名单,míngdān,name list,你的名字已经在名单上了。,Your name is already on the list.,Band2,2.7,5,0,657
平安,píng'ān,sound and safe,祝你一路平安！,Wish you a safe journey!,Band2,2.7,5,0,658
条件,tiáojiàn,condition / requirement,他符合申请奖学金的条件。,He meets the requirements for applying for the scholarship.,Band2,2.7,5,0,659
证明,zhèngmíng,"verb: to prove / to certify
noun: proof / certificate",医生证明他已经康复，这张证明已经交给公司了。,"The doctor confirmed his recovery, and the certificate has been submitted to the company.",Band3,2.7,5,0,660
童话,tónghuà,noun: fairy tale,小时候我很喜欢读童话。,I loved reading fairy tales when I was young.,Band4,2.7,5,0,661
出版,chūbǎn,verb: to publish,这本小说已经出版了。,This novel has already been published.,Band5,2.7,5,0,662
目光,mùguāng,"noun: gaze / vision (literal or figurative, e.g., foresight)",他的目光坚定，看得出来他已经下定决心了。,His gaze was firm—you could tell he had made up his mind.,Band5,2.7,5,0,663
灾害,zāihài,noun: disaster; calamity,洪水造成了严重的灾害。,The flood caused serious disasters.,Band5,2.7,5,0,664
慌张,huāngzhāng,adjective: nervous; flustered; panicked,遇到问题时不要慌张。,Don’t panic when facing problems.,Band7,2.7,5,0,665
留意,liúyì,verb: to pay attention to; to notice,过马路时要留意来往车辆。,Pay attention to passing vehicles when crossing the road.,Band7,2.7,5,0,666
期盼,qīpàn,verb/noun: to look forward to; expectation,孩子们都在期盼假期的到来。,The children are all looking forward to the holidays.,Band7,2.7,5,0,667
人行道,rénxíngdào,noun: sidewalk; pedestrian walkway,请不要在 人行道 上骑自行车。,Please do not ride bicycles on the sidewalk.,Band7,2.7,5,0,668
退缩,tuìsuō,verb: to shrink back; to back down,面对困难，我们不能退缩。,We cannot back down when facing difficulties.,Band7,2.7,5,0,669
幸好,xìnghǎo,adverb: fortunately; luckily,幸好我们及时赶到了。,"Fortunately, we arrived in time.",Band7,2.7,5,0,670
赞许,zànxǔ,verb/noun: to praise; approval,老师赞许地点了点头。,The teacher nodded in approval.,Band7,2.7,5,0,671
阻拦,zǔlán,verb: to stop; to block; to prevent,没有人能阻拦他离开。,Nobody could stop him from leaving.,Band7,2.7,5,0,672
拉链,lāliàn,noun: zipper,我的外套拉链坏了。,The zipper on my jacket is broken.,Unknown,2.7,5,0,673
吓坏,xiàhuài,verb: to frighten badly; to scare badly,那场意外把大家都吓坏了。,That accident scared everyone badly.,Unknown,2.7,5,0,674
快餐,kuàicān,fast food,我们中午吃快餐吧。,Let’s have fast food for lunch.,Band2,3.1,5,0,675
旅客,lǚkè,noun: traveler; passenger,许多旅客正在机场等候。,Many travelers are waiting at the airport.,Band2,3.1,5,0,676
青少年,qīngshàonián,Teenagers,这本书很适合青少年阅读。,This book is suitable for teenagers.,Band2,3.1,5,0,677
产生,chǎnshēng,"verb: to produce / to generate (usually abstract things like ideas, feelings)",这个决定会产生严重的后果。,This decision will produce serious consequences.,Band3,3.1,5,0,678
产生,chǎnshēng,verb: to produce; to generate; to arise,这个决定产生了很大的影响。,This decision produced a huge impact.,Band3,3.1,5,0,679
对手,duìshǒu,noun: opponent / rival,这场比赛的对手非常强大。,The opponent in this match is very strong.,Band3,3.1,5,0,680
房屋,fángwū,noun: house / building,这片老旧的房屋正在被拆除。,These old houses are being demolished.,Band3,3.1,5,0,681
反正,fǎnzhèng,adverb: anyway / in any case,你不去也没关系，反正我一个人也能完成。,It’s fine if you don’t go — I can finish it alone anyway.,Band3,3.1,5,0,682
飞行,fēixíng,"verb: to fly
noun: flight (as an activity)",飞行员热爱飞行，每次飞行都让他兴奋不已。,The pilot loves flying — every flight excites him.,Band3,3.1,5,0,683
歌手,gēshǒu,noun: singer,她梦想成为一名职业歌手。,She dreams of becoming a professional singer.,Band3,3.1,5,0,684
国内,guónèi,noun/adjective: domestic / within the country,今年很多人选择在国内旅游。,Many people are choosing to travel domestically this year.,Band3,3.1,5,0,685
缺少,quēshǎo,verb: to be short of / to be lacking (a thing or amount),目前仓库缺少原材料。,The warehouse is currently short of raw materials.,Band3,3.1,5,0,686
人群,rénqún,noun: crowd (of people),他在人群中一眼就看到了我。,He spotted me immediately in the crowd.,Band3,3.1,5,0,687
手指,shǒuzhǐ,noun: finger,他用手指指向地图上的位置。,He pointed to a spot on the map with his finger.,Band3,3.1,5,0,688
特色,tèsè,noun: characteristic / distinguishing feature,这家饭馆的菜有地方特色。,这家饭馆的菜有地方特色。,Band3,3.1,5,0,689
听众,tīngzhòng,noun: audience / listeners,主持人向听众表达了感谢。,The host thanked the listeners.,Band3,3.1,5,0,690
体验,tǐyàn,"verb: to experience personally
noun: (personal) experience",通过亲身体验，他有了不一样的体验感受。,"Through personal experience, he gained a very different perspective.",Band3,3.1,5,0,691
团体,tuántǐ,noun: group / organization / collective (usually formal or structured),这个志愿者团体定期举办公益活动。,This volunteer group regularly organizes public welfare events.,Band3,3.1,5,0,692
伟大,wěidà,adjective: great / magnificent,他为国家做出了伟大的贡献。,He made a great contribution to the country.,Band3,3.1,5,0,693
温暖,wēnnuǎn,"noun: warmth
adjective: warm (both physically and emotionally)",这个冬天特别冷，但朋友的关心让我感到温暖，这种温暖非常珍贵。,"This winter is very cold, but my friend’s care made me feel warm — and that warmth is precious.",Band3,3.1,5,0,694
信封,xìnfēng,noun: envelope,请把信放进这个信封里。,Please put the letter into this envelope.,Band3,3.1,5,0,695
幸运,xìngyùn,"noun: luck / fortune
adjective: lucky",他很幸运地中了彩票，这种幸运真让人羡慕。,He was lucky enough to win the lottery — such luck is enviable.,Band3,3.1,5,0,696
主动,zhǔdòng,"adjective: proactive / voluntary
adverb: actively / of one’s own accord",他主动帮助新同事，表现出很强的主动性。,"He actively helped the new colleague, showing strong initiative.",Band3,3.1,5,0,697
承认,chéngrèn,verb: to admit; to acknowledge,他终于承认自己错了。,He finally admitted that he was wrong.,Band4,3.1,5,0,698
打败,dǎbài,verb: to defeat; to beat,我们终于打败了对手。,We finally defeated our opponents.,Band4,3.1,5,0,699
登记,dēngjì,verb/noun: to register; registration,请先到柜台登记。,Please register at the counter first.,Band4,3.1,5,0,700
街道,jiēdào,noun: street; road,夜晚的街道十分安静。,The streets are very quiet at night.,Band4,3.1,5,0,701
节省,jiéshěng,verb: to save; to conserve,我们应该节省用水。,We should conserve water.,Band4,3.1,5,0,702
技巧,jìqiǎo,noun: skill; technique,学习语言需要一些技巧。,Learning languages requires some techniques.,Band4,3.1,5,0,703
聚会,jùhuì,noun/verb: gathering; party; to gather,我们周末准备举行聚会。,We plan to hold a gathering this weekend.,Band4,3.1,5,0,704
模型,móxíng,noun: model; mock-up,他正在制作飞机模型。,He is making an airplane model.,Band4,3.1,5,0,705
排列,páiliè,verb: to arrange / to line up,学生们把椅子整齐地排列在教室里。,The students arranged the chairs neatly in the classroom.,Band4,3.1,5,0,706
排列,páiliè,verb: to arrange; to line up,这些椅子已经排列整齐了。,These chairs have already been neatly arranged.,Band4,3.1,5,0,707
轻易,qīngyì,adverb/adjective: easily; lightly,不要轻易放弃梦想。,Do not easily give up your dreams.,Band4,3.1,5,0,708
市区,shìqū,noun: urban area; downtown,他住在市区附近。,He lives near the city area.,Band4,3.1,5,0,709
事先,shìxiān,adverb: beforehand; in advance,请事先通知我们。,Please inform us beforehand.,Band4,3.1,5,0,710
天真,tiānzhēn,adjective: innocent; naive,小孩子的想法很天真。,Children’s thoughts are very innocent.,Band4,3.1,5,0,711
体重,tǐzhòng,noun: body weight,我的体重最近增加了。,My body weight has increased recently.,Band4,3.1,5,0,712
投诉,tóusù,verb/noun: to complain; complaint,顾客向经理投诉服务不好。,The customer complained to the manager about the poor service.,Band4,3.1,5,0,713
网络,wǎngluò,noun: network; internet,这里的网络速度很快。,The internet speed here is very fast.,Band4,3.1,5,0,714
误会,wùhuì,noun/verb: misunderstanding; to misunderstand,对不起，我误会你了。,"Sorry, I misunderstood you.",Band4,3.1,5,0,715
严重,yánzhòng,adjective: serious; severe,这个问题非常严重。,This problem is very serious.,Band4,3.1,5,0,716
种植,zhòngzhí,verb: to plant; to cultivate,农民正在种植蔬菜。,The farmers are planting vegetables.,Band4,3.1,5,0,717
总共,zǒnggòng,adverb: altogether; in total,我们总共有二十个人。,There are twenty people in total.,Band4,3.1,5,0,718
阻止,zǔzhǐ,verb: to stop; to prevent,没有人能阻止他实现梦想。,Nobody can stop him from achieving his dream.,Band4,3.1,5,0,719
便利,biànlì,"noun: convenience
adjective: convenient",这家便利店带来了很多便利，购物也很便利。,"This convenience store brings a lot of convenience, and shopping is easy too.",Band5,3.1,5,0,720
便条,biàntiáo,noun: note; memo,她在桌上留了一张便条。,She left a note on the table.,Band5,3.1,5,0,721
工艺,gōngyì,noun: craftsmanship; craft technique,这件工艺品制作得很精细。,This handicraft item is very finely made.,Band5,3.1,5,0,722
可怜,kělián,adjective: pitiful; poor thing,那只受伤的小猫很可怜。,That injured kitten is very pitiful.,Band5,3.1,5,0,723
劳动,láodòng,noun/verb: labor; to work physically,劳动最光荣。,Labor is most honorable.,Band5,3.1,5,0,724
联络,liánluò,verb / noun: to contact / connection,有事请随时联络我，我手机一直开着。,Contact me anytime—my phone’s always on.,Band5,3.1,5,0,725
模糊,móhú,adjective/verb: blurry; vague; to blur,这张照片看起来很模糊。,This photo looks very blurry.,Band5,3.1,5,0,726
神情,shénqíng,noun: expression; look on one’s face,他的神情看起来很紧张。,His expression looked very nervous.,Band5,3.1,5,0,727
摔倒,shuāidǎo,verb: to fall down,小孩不小心摔倒了。,The child accidentally fell down.,Band5,3.1,5,0,728
