Chinese Words,pinyin,English Words,Chinese Sentence,_HSK,_Dao,Color,
纪念,jìniàn,"verb: to commemorate
noun: souvenir / remembrance",这枚纪念币是为了纪念祖父而制作的。,3,1.3,5,
紧急,jǐnjí,Adjective: urgent / critical,医院接到了一位紧急病人。,3,3.3,5,
仅仅,jǐnjǐn,Adverb: only / merely (stronger tone than “仅”),他仅仅迟到了一分钟，却错过了全部内容。,3,Unknown,5,
尽量,jǐnliàng,Adverb: to the best of one's ability / as much as possible,你尽量早点睡，别太累。,3,2.3,5,
金牌,jīnpái,Noun: gold medal,他为国家赢得了一枚金牌。,3,5.5,5,
近期,jìnqī,Noun/Adverb: in the near future / recently,近期公司将推出新产品。,3,Unknown,5,
进一步,jìnyíbù,Adverb: further / to go a step further,为了进一步了解客户需求，我们做了调查。,3,2.4,5,
进展,jìnzhǎn,"Noun: progress / development (of an ongoing process)

Verb: to progress (formal)",项目进展顺利，已经完成了一半。,3,Unknown,5,
机器,jīqì,noun: machine,这台机器每天能包装上千个产品。,3,3.7,5,
及时,jíshí,adjective/adverb: timely / in time,医生的及时处理救了他的命。,3,3.5,5,
技术,jìshù,noun: technology / technique,这种新技术能提高生产效率。,3,3.6,5,
计算,jìsuàn,"verb: to calculate / to count
noun: calculation",工程师正在计算数据，这个计算很复杂。,3,7.17,5,
集体,jítǐ,"noun: group / collective
adjective: collective",我们举行了一次集体活动，增强了集体意识。,3,6.3,5,
就业,jiùyè,"Verb: to get a job / to be employed
Noun: employment",大学生的就业问题一直是社会关注的热点。,3,Unknown,5,
记者,jìzhě,noun: reporter / journalist,记者正在现场采访受害者。,3,5.1,5,
集中,jízhōng,"verb: to concentrate / to focus
adjective: concentrated (intensity, effort)",请集中注意力，今天的内容很集中也很重要,3,3.9,5,
集中,jízhōng,verb/adjective: to concentrate; centralized,上课时要集中注意力。,3,3.9,5,
举办,jǔbàn,"Verb: to host / to hold (an event, competition, etc.)",学校将于下个月举办一次科技展览。,3,1.8,5,
决定,juédìng,"verb: to decide
noun: decision",他决定辞职，这个决定让很多人吃惊,3,1.3,5,
绝对,juéduì,"adjective: absolute
adverb: absolutely / definitely",这件事我绝对不会说出去，我是绝对保密的,3,2.2,5,
决赛,juésài,noun: final match / championship,他进入了羽毛球决赛，争夺冠军。,3,Unknown,5,
决心,juéxīn,"noun: determination / resolution
verb: to make up one’s mind",她决心改变生活方式，这份决心非常坚定。,3,3.7,5,
据说,jùshuō,adverb: it is said; reportedly,据说那家餐厅很好吃。,3,4.2,5,
具体,jùtǐ,"adjective: concrete / specific

noun: details",请说明你的具体计划，我想了解更多具体内容。,3,4.3,5,
具有,jùyǒu,"verb: to possess (formal, used for abstract qualities)",这款手机具有很强的拍照功能，非常适合喜欢摄影的人,3,3.5,5,
开发,kāifā,"verb: to develop (resources, land, software, etc.)
noun: development (esp. software, real estate)",这家公司专注于软件开发，他们刚完成了一个新开发项目。,3,3.9,5,
开放,kāifàng,"verb: to open up (access, markets, doors, etc.)
adjective: open-minded / liberal",这个国家正在逐步开放市场，社会也变得更开放了。,3,1.5,5,
开业,kāiyè,verb: to open for business (usually for stores or services),这家咖啡馆刚刚开业，第一天就吸引了很多顾客。,3,Unknown,5,
开展,kāizhǎn,"verb: to carry out / to launch (activities, projects, campaigns)",学校正在开展环保教育活动。,3,5.2,5,
考验,kǎoyàn,"verb: to test / to challenge
noun: test / trial",这次突发事件是对我们团队合作能力的一次考验。,3,Unknown,5,
课程,kèchéng,noun: course / curriculum,下学期我选修了三门新课程。,3,1.7,5,
克服,kèfú,"verb: to overcome / to conquer (obstacles, difficulties, etc.).",她终于克服了恐高症。,3,2.3,5,
客观,kèguān,adjective: objective / unbiased,我们必须以客观的态度分析问题。,3,Unknown,5,
科技,kējì,noun: science and technology,现代科技改变了我们的生活方式。,3,4.8,5,
可靠,kěkào,adjective: reliable / dependable,他是一个非常可靠的朋友。,3,Unknown,5,
恐怕,kǒngpà,adverb: probably / I'm afraid that... (used to express worry or polite disagreement),外面下雨了，恐怕我们得改计划了。,3,7.17,5,
空调,kōngtiáo,noun: air conditioner,这间教室的空调坏了，里面特别热。,3,Unknown,5,
快速,kuàisù,"adjective: fast / rapid
adverb: quickly",他快速地完成了作业，显示了他的快速反应能力。,3,3.8,5,
困,kùn,"adjective: sleepy / drowsy
verb: to trap / to be stranded (literary or formal use)",我因为暴雨被困在家里一整天，现在又困得睁不开眼。,3,Unknown,5,
困难,kùnnán,"noun: difficulty / hardship
adjective: difficult",虽然过程很困难，但我们还是克服了所有困难。,3,1.3,5,
裤子,kùzi,noun: pants / trousers,这条裤子太长了，我要去改短一点。,3,3.8,5,
老百姓,lǎobǎixìng,noun: ordinary people / common folk,政策要真正考虑到老百姓的需求。,3,Unknown,5,
乐观,lèguān,adjective: optimistic,即使遇到困难，他也始终保持乐观态度。,3,3.5,5,
类似,lèisì,"adjective: similar / alike
Used there are things that have something in common but also have differences.",他们的做法和我们的类似，但细节上略有不同。,3,7.17,5,
凉水,liángshuǐ,noun: cold water / cool water,夏天喝点儿凉水特别舒服。,3,Unknown,5,
联合,liánhé,"verb: to unite / to combine
noun: alliance / cooperation",几家公司联合推出了一项新产品，这种联合提升了市场竞争力。,3,5.3,5,
联合国,liánhéguó,noun: United Nations,联合国致力于促进全球和平与发展。,3,Unknown,5,
连忙,liánmáng,adverb: hurriedly / promptly,听到有人喊他，他连忙跑过去。,3,1.2,5,
联系,liánxì,"verb: to contact / to connect
noun: contact / connection",如果你有问题，请随时联系我，我的联系方式没变。,3,3.8,5,
连续,liánxù,"adjective: consecutive / continuous
adverb: continuously",他连续三天加班，身体已经吃不消了。,3,3.7,5,
连续剧,liánxùjù,noun: TV series / drama,这部连续剧剧情紧凑，非常吸引人。,3,Unknown,5,
理发,lǐfà,"verb: to get a haircut / to cut hair (more formal way to say haircut or in general get the whole hair done professionally)
noun: haircut",我昨天去理发了，这次的理发效果还不错。,3,Unknown,5,
离婚,líhūn,"verb: to divorce
noun: divorce",他们和平离婚了，这次离婚对孩子影响不大。,3,Unknown,5,
理解,lǐjiě,"verb: to understand (ideas, reasoning, emotions)
noun: understanding",我能理解你的决定，也感谢你的理解。,3,1.9,5,
立刻,lìkè,adverb: immediately / at once,我立刻给他回了电话。,3,1.3,5,
力量,lìliàng,noun: strength / power (physical or abstract),团结是我们最强的力量。,3,4.2,5,
理论,lǐlùn,noun: theory,他掌握了扎实的物理理论，能够清楚解释实验现象。,3,6.3,5,
领,lǐng,verb: to receive / to lead / to fetch,他带大家去领奖，然后亲自领回奖品。,3,Unknown,5,
领导,lǐngdǎo,"noun: leader / leadership
verb: to lead / to guide",这位领导领导能力很强，深受大家尊敬。,3,Unknown,5,
另外,lìngwài,"adverb: in addition / besides
conjunction: moreover",这本书没货了，另外几本还可以预订。,3,6.3,5,
领先,lǐngxiān,"verb: to lead / to be ahead
adjective: leading / in front",他在比赛中一直领先，是全场领先者。,3,7.17,5,
另一方面,lìngyìfāngmiàn,noun phrase: on the other hand,一方面要省钱，另一方面也不能太委屈自己。,3,Unknown,5,
留学,liúxué,verb: to study abroad,他打算明年去法国留学。,3,Unknown,5,
利用,lìyòng,verb: to use / make use of,我们可以利用这段时间复习功课。,3,1.7,5,
理由,lǐyóu,noun: reason / justification,你迟到的理由是什么？,3,1.8,5,
录,lù,verb: to record / to enroll / to admit,这场讲座已经录下来，同时他也被大学正式录取了。,3,Unknown,5,
旅馆,lǚguǎn,noun: hotel / inn,这家旅馆虽然小，但环境很干净。,3,Unknown,5,
落后,luòhòu,"verb: to fall behind
adjective: backward / underdeveloped",他在比赛中落后了，主要是设备比较落后。,3,6.3,5,
路线,lùxiàn,noun: route / itinerary,导游给我们规划了一条合理的旅游路线。,3,2.4,5,
旅行社,lǚxíngshè,noun: travel agency,我通过旅行社订了日本的全程行程。,3,4.8,5,
录音,lùyīn,"verb: to record audio
noun: audio recording",请听这段录音，这个录音记录了会议的重点。,3,7.7,5,
满足,mǎnzú,"verb: to satisfy
adjective: satisfied",公司满足了我的要求，我也感到很满足。,3,3.8,5,
毛病,máobìng,"noun: problem / fault / defect (can be used for machines, habits, or health)",电脑又出了毛病，你的坏习惯也该改改这个毛病了。,3,3.2,5,
美好,měihǎo,"adjective: beautiful / wonderful (used for abstract things like memories, future)",我们一起度过了美好的时光。,3,1.5,5,
美食,měishí,noun: delicious food / gourmet food,台湾是著名的美食天堂。,3,1.3,5,
美术,měishù,"noun: fine arts (painting, sculpture, etc.)",她在大学学的是美术专业。,3,1.5,5,
媒体,méitǐ,noun: media / news outlet,这条新闻引起了各大媒体的关注。,3,8.2,5,
美元,měiyuán,noun: U.S. dollar,这件商品价格是100美元。,3,Unknown,5,
迷,mí,"noun: fan / enthusiast
verb: to be fascinated / confused / lost (figurative or literal)",他是音乐迷，听得太入迷，结果迷路了。,3,Unknown,5,
面对,miànduì,verb: to face / to confront,我们要勇敢面对现实。,3,1.5,5,
面积,miànjī,noun: area / surface area,这套房子的面积是120平方米。,3,Unknown,5,
明确,míngquè,"verb: to make clear / to clarify
adjective: clear / definite",他明确表达了自己的意见，态度也非常明确,3,Unknown,5,
明确,míngquè,"adjective: clear / explicit
verb: to clarify",会议明确了目标，也进一步明确了分工。,3,Unknown,5,
明显,míngxiǎn,adjective: obvious / evident,这次成绩进步非常明显。,3,2.5,5,
命运,mìngyùn,noun: fate / destiny,他相信命运掌握在自己手中。,3,Unknown,5,
民间,mínjiān,"adjective: among the people / folk (used with culture, art, etc.)",这种节日来源于民间传统。,3,7.17,5,
民族,mínzú,noun: ethnicity / nation,中国是一个多民族国家。,3,7.17,5,
某,mǒu,pronoun: some / a certain (person or thing),某人昨天偷偷进入了办公室,3,Unknown,5,
目标,mùbiāo,noun: goal / target,我的目标是两年内通过所有考试。,3,3.2,5,
目前,mùqián,noun/adverb: at present / currently,目前我们还没有足够的信息做决定。,3,3.9,5,
难度,nándù,noun: degree of difficulty,这次考试的难度比上次高很多。,3,Unknown,5,
内容,nèiróng,"noun: content (of speech, writing, work, etc.)",这本书的内容非常有深度。,3,1.5,5,
内心,nèixīn,noun: inner heart / innermost feelings,她虽然笑着，但内心其实很难过。,3,3.2,5,
能力,nénglì,noun: ability / capacity / competence,他有能力独立完成这个项目。,3,2.3,5,
年初,niánchū,noun: beginning of the year,年初我们制定了全年目标。,3,7.18,5,
年代,niándài,noun: decade / era,这首老歌是上世纪八十年代的作品。,3,5.4,5,
年底,niándǐ,noun: end of the year,年底公司会进行一次业绩评估。,3,2.4,5,
年纪,niánjì,noun: age (of a person),她虽然年纪大了，但身体还很好。,3,1.6,5,
农村,nóngcūn,noun: countryside / rural area,他们从农村搬到了城市,3,Unknown,5,
农民,nóngmín,noun: farmer / peasant,农民们正在田里忙着种地。,3,Unknown,5,
农业,nóngyè,noun: agriculture,这个地区以发展农业为主。,3,Unknown,5,
暖和,nuǎnhuo,adjective: warm (weather or environment),今天阳光明媚，天气非常暖和。,3,7.2,5,
派,pài,"verb: to assign / to send
noun: faction / school of thought",公司派我去参加会议，我代表的是市场派的观点,3,Unknown,5,
排名,páimíng,"noun: ranking
verb: to rank (usually followed by 第...)",他在考试中排名第一，这个排名让他很开心,3,Unknown,5,
牌子,páizi,noun: brand / sign / label,这家店的牌子很有名，门口的牌子也很显眼。,3,3.4,5,
判断,pànduàn,"verb: to judge / to determine
noun: judgment / decision",他判断问题很准确，这个判断帮助我们避免了损失。,3,Unknown,5,
配合,pèihé,"verb: to cooperate / to coordinate
noun: coordination (often with liang hao、mique)",大家积极配合，项目的整体配合也非常顺利。,3,2.2,5,
皮,pí,noun: skin / leather / peel,这个水果的皮很厚，不容易剥。,3,Unknown,5,
票价,piàojià,noun: ticket price,电影票价最近涨了不少。,3,4.5,5,
皮包,píbāo,noun: leather bag / purse,她背着一个黑色的皮包，看起来很有质感。,3,6.1,5,
啤酒,píjiǔ,noun: beer,夏天最适合和朋友一起喝冰镇啤酒。,3,Unknown,5,
评价,píngjià,"verb: to evaluate / to assess
noun: evaluation / review",客户对服务的评价很好，我们也会认真评价员工表现。,3,Unknown,5,
批评,pīpíng,"verb: to criticize
noun: criticism",他批评了我的工作态度，这番批评让我反思了很多。,3,1.4,5,
批准,pīzhǔn,verb: to approve / to authorize,这项计划已经正式获得批准。,3,6.4,5,
破坏,pòhuài,"verb: to destroy / to sabotage
noun: destruction / damage",这场暴风雨破坏了很多建筑，破坏程度非常严重。,3,1.9,5,
普遍,pǔbiàn,adjective: common / widespread,这种观点在社会上非常普遍。,3,Unknown,5,
普及,pǔjí,"verb: to popularize / to spread
adjective: widespread (formal, esp. for education, tech)",智能手机已经在农村普及，互联网知识也越来越普及,3,Unknown,5,
强,qiáng,"adjective: strong / powerful
verb (colloquial): to force (as in 强迫)",他的身体很强，性格也很强，不喜欢被强制安排,3,Unknown,5,
强大,qiángdà,adjective: powerful / mighty,这个国家的科技力量非常强大。,3,Unknown,5,
强调,qiángdiào,verb: to emphasize / to stress,老师特别强调了时间管理的重要性。,3,4.3,5,
强烈,qiángliè,"adjective: intense / strong (emotion, contrast, effect)",他表达了强烈的反对意见。,3,5.2,5,
前进,qiánjìn,verb: to advance / to move forward,不管遇到什么困难，我们都要勇敢前进。,3,4.4,5,
千万,qiānwàn,adverb: must / by all means (used for strong advice or warning),你千万别迟到，这是一次很重要的会议。,3,1.9,5,
前往,qiánwǎng,verb: to go to (formal),请于明天下午三点前往会议室集合。,3,3.11,5,
巧,qiǎo,adjective: coincidental / skillful,你也来这里啊，真巧！这位师傅手也真巧。,3,Unknown,5,
其次,qícì,adverb: secondly / next,首先要解决资金问题，其次是技术问题。,3,Unknown,5,
气候,qìhòu,noun: climate,这个城市的气候温和，四季分明。,3,6.4,5,
情感,qínggǎn,noun: emotion / feeling / affection,她对家人有很深的情感。,3,4.3,5,
请教,qǐngjiào,verb: to consult / to seek advice (polite),我想请教您一个关于项目管理的问题。,3,2.2,5,
情况,qíngkuàng,noun: situation / condition / circumstances,我们必须先了解实际情况，再做决定。,3,1.6,5,
庆祝,qìngzhù,verb: to celebrate,我们打算举行聚会来庆祝他的生日。,3,1.6,5,
亲切,qīnqiè,adjective: warm / kind / cordial,她说话总是那么亲切，让人很舒服。,3,3.8,5,
亲人,qīnrén,noun: close family member,节日时，大家都想和亲人团聚。,3,7.18,5,
亲自,qīnzì,adverb: personally / in person,这份礼物是我亲自为你挑选的。,3,3.9,5,
其实,qíshí,adverb: actually / in fact,他看起来很冷静，其实心里很紧张。,3,1.4,5,
球迷,qiúmí,noun: sports fan,作为铁杆球迷，他从不缺一场比赛。,3,7.3,5,
区,qū,noun: area / district / zone,这个区的交通特别方便。,3,Unknown,5,
全场,quánchǎng,noun: the entire venue / the whole audience / the whole game,他的表演赢得了全场掌声。,3,4.7,5,
全球,quánqiú,noun/adjective: global / worldwide,这家公司正在推动全球市场扩展。,3,Unknown,5,
区别,qūbié,"verb: to distinguish / to differentiate
noun: difference / distinction",你能区别这两种材料吗？它们之间的区别很小。,3,7.18,5,
缺,quē,verb: to lack / to be short of,目前我们最缺的是经验而不是人手。,3,Unknown,5,
确保,quèbǎo,verb: to ensure / to guarantee,请确保所有数据都已备份。,3,2.3,5,
缺点,quēdiǎn,noun: shortcoming / flaw,每个人都有优点，也有缺点。,3,6.4,5,
确定,quèdìng,"verb: to confirm / to determine
adjective: definite / certain",他已经确定出发时间，而且计划也很确定。,3,2.3,5,
缺少,quēshǎo,verb: to be short of / to be lacking (a thing or amount),目前仓库缺少原材料。,3,3.1,5,
确实,quèshí,"adverb: indeed / truly
adjective: real / reliable",这个方法确实有效，资料也确实可信。,3,7.18,5,
确实,quèshí,adverb: truly / indeed,这个问题确实很难，但我们可以一起解决。,3,7.18,5,
群,qún,"noun: group / crowd / herd
measure word: for groups of people, animals",一群羊正在山坡上吃草，那群游客正拍照,3,Unknown,5,
裙子,qúnzi,noun: skirt / dress,她今天穿了一条红色的裙子。,3,4.2,5,
去世,qùshì,verb: to pass away (polite/formal),他的祖父去年去世了。,3,3.2,5,
取消,qǔxiāo,verb: to cancel / to call off,由于天气原因，活动被取消了。,3,Unknown,5,
热爱,rè'ài,verb: to deeply love / to passionately devote oneself to,他热爱音乐，把一生都投入到了创作中。,3,3.2,5,
热烈,rèliè,"adjective: warm / enthusiastic / lively (used for atmosphere, response, applause)",观众们给予了他热烈的掌声。,3,2.3,5,
人才,réncái,noun: talent / skilled person,公司正在寻找具有国际视野的人才,3,5.2,5,
认出,rènchū,verb: to recognize (someone/something from memory or visual cues),他一下就认出了小时候的朋友。,3,Unknown,5,
认得,rèndé,verb: to recognize / to know (a person or thing by appearance or familiarity),我不太认得这个人，但他好像在哪儿见过。,3,7.3,5,
人工,réngōng,"adjective: artificial / man-made

noun: manual labor",这座人工湖由上百人通过人工方式建成。,3,6.4,5,
仍然,réngrán,adverb: still / as before,虽然已经过去几年，他仍然记得那一天的情景。,3,3.7,5,
任何,rènhé,pronoun: any / whatever / whichever,在这里，不允许任何形式的暴力。,3,2.1,5,
认可,rènkě,"verb: to approve / to accept
noun: approval / recognition",他终于得到了领导的认可，这份认可对他意义重大。,3,Unknown,5,
人类,rénlèi,noun: humankind / humanity,环境问题是全人类共同面临的挑战。,3,4.2,5,
人民,rénmín,"noun: the people / citizens (formal, collective)",政府的职责是服务人民。,3,3.4,5,
人群,rénqún,noun: crowd (of people),他在人群中一眼就看到了我。,3,3.1,5,
人生,rénshēng,"noun: life (human life, in a philosophical sense)",每个人都在寻找自己的人生方向。,3,6.1,5,
任务,rènwu,noun: task / mission / assignment,这个任务必须在今晚完成。,3,2.2,5,
人员,rényuán,noun: personnel / staff / crew,现场已有救援人员到达。,3,2.1,5,
日常,rìcháng,"adjective: daily / routine
noun: daily life / daily routine",她把锻炼当作日常的一部分，这种日常习惯让她更健康。,3,3.5,5,
日常,rìcháng,noun/adjective: daily / everyday,这只是我们社团的日常活动，不需要特别紧张。,3,3.5,5,
如何,rúhé,adverb: how / in what way,你打算如何解决这个问题？,3,2.3,5,
商品,shāngpǐn,noun: goods / merchandise,超市里的所有商品都在打折。,3,5.4,5,
上升,shàngshēng,verb: to rise / to go up (physically or abstractly),气温正在逐渐上升。,3,Unknown,5,
伤心,shāngxīn,adjective: sad / heartbroken,听到这个消息，她非常伤心。,3,1.6,5,
商业,shāngyè,noun: commerce / business / trade,这片区域是城市的商业中心。,3,Unknown,5,
上衣,shàngyī,noun: jacket / upper outer garment,这件上衣的颜色很适合你。,3,2.6,5,
设备,shèbèi,noun: equipment / device,实验室配备了最新的科研设备,3,3.9,5,
社会,shèhuì,noun: society,教育对社会发展起着决定性作用。,3,6.1,5,
设计,shèjì,"verb: to design
noun: design / plan",她设计的这款家具在外观设计上非常新颖。,3,1.6,5,
设立,shèlì,verb: to establish / to set up,公司计划在上海设立一个分部。,3,3.9,5,
身份证,shēnfènzhèng,noun: ID card / identification,办理手续时请出示身份证。,3,Unknown,5,
生产,shēngchǎn,"verb: to produce / to manufacture
noun: production",工厂正在大量生产口罩，每天的生产效率很高。,3,Unknown,5,
生存,shēngcún,verb: to survive / to exist,在极端环境中生存需要特别的技能。,3,5.1,5,
生动,shēngdòng,adjective: vivid / lively,老师讲故事的方式非常生动。,3,1.9,5,
胜利,shènglì,"noun: victory / success
verb: to win (formal/literary)",他们最终获得了比赛的胜利，这是团队合作的胜利。,3,5.4,5,
声明,shēngmíng,"verb: to state / to declare
noun: statement / declaration",公司声明不会裁员，这份声明让员工安心了许多。,3,Unknown,5,
生命,shēngmìng,noun: life (biological concept),我们应该珍惜每一条生命。,3,1.7,5,
生意,shēngyi,noun: business / trade,他的生意越做越大了。,3,6.4,5,
生长,shēngzhǎng,"verb: to grow (biology, people, plants)",这棵树生长得非常健康。,3,2.1,5,
深刻,shēnkè,adjective: profound / deep,这本书对我产生了深刻的影响。,3,3.4,5,
深入,shēnrù,"verb: to go deep into / to penetrate
adjective: in-depth",这篇报告对问题的分析非常深入，他也深入现场了解情况。,3,Unknown,5,
市场,shìchǎng,noun: market (literal and figurative),他们的产品在国际市场上很受欢迎。,3,2.3,5,
时代,shídài,noun: era / age / times,我们正处在一个信息化的时代。,3,7.18,5,
事故,shìgù,"noun: accident (usually negative: car, industrial, etc.)",昨天高速上发生了一起严重的交通事故。,3,Unknown,5,
适合,shìhé,verb: to suit / to be suitable for,这份工作很适合你的性格。,3,1.6,5,
世纪,shìjì,noun: century,人们都在期待下一个世纪的科技进步。,3,5.2,5,
事件,shìjiàn,noun: incident / event (especially major social or political ones),这次事件引起了社会的广泛关注。,3,7.18,5,
实际上,shíjìshàng,adverb: actually / in fact,他看起来很严肃，实际上是个很幽默的人。,3,3.2,5,
时刻,shíkè,"noun: moment / time
adverb: always / constantly",在紧急时刻，他时刻保持冷静。,3,2.5,5,
实力,shílì,noun: strength / capability (esp. of a group or country),这支球队的实力非常强，几乎无人能敌。,3,Unknown,5,
食品,shípǐn,noun: food product,超市里有专门的有机食品区。,3,2.6,5,
失去,shīqù,"verb: to lose (abstract things: trust, hope, opportunity)",失去信任比失去金钱更可怕。,3,1.8,5,
事实,shìshí,noun: fact,无论你怎么解释，事实是不会改变的。,3,5.5,5,
试题,shìtí,noun: exam question / test item,这套试题难度不小，需要认真准备,3,Unknown,5,
实行,shíxíng,verb: to implement / to carry out,政府开始实行新的税收政策。,3,Unknown,5,
实验,shíyàn,"noun: experiment
verb: to experiment / to test

Used for Scientific experiment or Laboratory, academic research in a generally Formal, academic, scientific context",科学家正在实验新药，这次实验非常关键。,3,7.18,5,
试验,shìyàn,"verb: to test / to try out
noun: trial / experiment

used during Trial, test in practice for Real-world application, field on Practical, engineering, product",新机器正在试验中，这次试验将决定是否投产。,3,Unknown,5,
实验室,shíyànshì,noun: laboratory,他们在实验室里工作到很晚。,3,Unknown,5,
事业,shìyè,noun: career / enterprise / cause (more noble or idealistic than gong zuo),他把教育当作一生的事业来奋斗,3,Unknown,5,
适应,shìyìng,verb: to adapt / to get used to,她很快适应了国外的生活。,3,3.9,5,
适用,shìyòng,verb: to be applicable / to suit a situation,这种规定不适用于所有行业。,3,5.4,5,
石油,shíyóu,noun: petroleum / oil,这个国家依靠出口石油维持经济发展。,3,Unknown,5,
始终,shǐzhōng,adverb: always / from beginning to end (formal/literary tone),他始终保持着对工作的热情。,3,3.2,5,
首都,shǒudū,noun: capital city,北京是中国的首都。,3,7.14,5,
收费,shōufèi,"verb: to charge a fee
noun: charging / fees",这个景点开始收费了，而且收费标准也提高了。,3,2.6,5,
收看,shōukàn,verb: to watch (TV broadcast),很多人都在收看世界杯决赛。,3,Unknown,5,
受伤,shòushāng,verb: to get injured / to be hurt,他在比赛中不小心受伤了。,3,1.8,5,
收听,shōutīng,verb: to listen to (a broadcast or program),我每天早上都会收听新闻广播。,3,Unknown,5,
首先,shǒuxiān,adverb: first of all / firstly,首先，请出示您的身份证。,3,5.1,5,
手续,shǒuxù,noun: procedures / formalities,办理签证需要很多手续。,3,Unknown,5,
收音机,shōuyīnjī,noun: radio (device),他喜欢用老式收音机听音乐。,3,Unknown,5,
手指,shǒuzhǐ,noun: finger,他用手指指向地图上的位置。,3,3.1,5,
双方,shuāngfāng,noun: both sides / two parties,合同已经由双方代表签署。,3,Unknown,5,
书架,shūjià,noun: bookshelf,书架上摆满了各种各样的书。,3,1.3,5,
数量,shùliàng,noun: quantity / amount,请核对一下产品的数量是否正确。,3,3.5,5,
熟人,shúrén,noun: acquaintance / familiar person,他在那家公司有几个熟人。,3,Unknown,5,
输入,shūrù,"verb: to input / to enter (data, code, etc.)",请输入您的密码。,3,5.5,5,
属于,shǔyú,verb: to belong to / to be classified as,这本书属于图书馆的财产。,3,8.1,5,
思想,sīxiǎng,noun: thought / ideology / way of thinking,他的思想比较开放，容易接受新观点。,3,Unknown,5,
速度,sùdù,noun: speed / pace / rate,请控制行车速度，注意安全。,3,2.1,5,
随,suí,"verb: to follow
preposition/adverb: along with / as",他随老师进了教室，成绩也随之提高了。,3,Unknown,5,
所长,suǒzhǎng,noun: director of an institute or office,他是我们研究所的所长，管理着整个团队。,3,Unknown,5,
台,tái,"measure word: for machines, performances
noun: platform / stage / desk",一台电视放在台上，正在播放节目。,3,Unknown,5,
谈话,tánhuà,"verb: to have a conversation
noun: conversation / talk
",他们在办公室里谈话，这次谈话很重要。,3,5.5,5,
谈判,tánpàn,"verb: to negotiate
noun: negotiation",双方代表正在谈判，这场谈判将决定合作的成败。,3,Unknown,5,
特色,tèsè,noun: characteristic / distinguishing feature,这家饭馆的菜有地方特色。,3,3.1,5,
调,tiáo,"verb: to adjust / to transfer
noun: tone / key (music)",他被调去另一个部门，也调了音调来适应新环境。,3,Unknown,5,
跳高,tiàogāo,noun/verb: high jump / to do the high jump,他是学校跳高比赛的冠军。,3,Unknown,5,
跳远,tiàoyuǎn,noun/verb: long jump / to do the long jump,她在跳远中发挥得很好，打破了校纪录。,3,7.14,5,
调整,tiáozhěng,"verb: to adjust / to revise
noun: adjustment",我们需要对计划做出调整，这次调整比较大。,3,7.19,5,
铁,tiě,"noun: iron
adjective (figurative): strong / determined",他有铁一般的意志，也是一名铁人三项选手。,3,Unknown,5,
铁路,tiělù,noun: railway,这条铁路连接了两个大城市。,3,Unknown,5,
体会,tǐhuì,"verb: to learn through experience
noun: realization / insight",他体会到了父母的辛苦，也分享了自己的体会,3,4.3,5,
题目,tímù,"The students began asking questions, and the teacher answered each question carefully.",这篇作文的题目很有意思，试卷的题目也不难。,3,4.3,5,
听力,tīnglì,noun: hearing / listening ability (often in language exams),我的英语听力还需要多练习。,3,4.8,5,
停止,tíngzhǐ,verb: to stop / to cease,暴雨使比赛被迫停止。,3,6.1,5,
听众,tīngzhòng,noun: audience / listeners,主持人向听众表达了感谢。,3,3.1,5,
提前,tíqián,"verb: to do something ahead of time
adverb: in advance",会议时间提前了，我们也提前做好了准备。,3,2.6,5,
提问,tíwèn,"verb: to ask a question
noun: question (esp. in exams or formal settings)",学生开始提问，老师根据每个提问认真作答。,3,2.5,5,
体现,tǐxiàn,verb: to embody / to reflect,这个设计充分体现了以人为本的理念。,3,3.4,5,
体验,tǐyàn,"verb: to experience personally
noun: (personal) experience",通过亲身体验，他有了不一样的体验感受。,3,3.1,5,
通常,tōngcháng,adverb: usually / generally,他通常六点起床锻炼身体。,3,3.7,5,
痛苦,tòngkǔ,"noun: pain / suffering
adjective: painful",失去亲人是一种巨大的痛苦，他看起来也很痛苦。,3,3.2,5,
通信,tōngxìn,"verb: to correspond by letter or communication
noun: communication / correspondence",我们保持着通信联系，这种通信让我觉得很温暖。,3,Unknown,5,
同意,tóngyì,verb: to agree / to approve,大家一致同意这个方案。,3,1.2,5,
团,tuán,"noun: group / organization
measure word: for round things (e.g. a ball, a lump)",我们剧团带来了一团新布景，这个团也表演得很棒。,3,Unknown,5,
团结,tuánjié,"verb: to unite
noun: unity",他们之间的团结让整个团队更有力量，大家非常团结。,3,5.4,5,
团体,tuántǐ,noun: group / organization / collective (usually formal or structured),这个志愿者团体定期举办公益活动。,3,3.1,5,
突出,tūchū,"verb: to highlight / to break through
adjective: outstanding / prominent",他在演讲中突出重点，表现也非常突出。,3,4.3,5,
退出,tuìchū,verb: to withdraw / to quit / to exit,他因个人原因退出了比赛。,3,Unknown,5,
推动,tuīdòng,"verb: to promote / to drive (development, reform, etc.)",科技发展推动了整个社会的进步。,3,Unknown,5,
推广,tuīguǎng,"verb: to popularize / to promote (a product, method, etc.)",公司正在大力推广新产品。,3,Unknown,5,
推进,tuījìn,"verb: to advance / to push forward (projects, policies)",改革政策正在有序推进。,3,Unknown,5,
推开,tuīkāi,verb: to push open / to push away,他轻轻推开门走了进去。,3,Unknown,5,
退休,tuìxiū,verb: to retire (from work),他六十岁正式退休了。,3,7.15,5,
