Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_HSK,_Dao,Color
丰富,fēngfù,"adjective: rich / abundant
verb: to enrich",阅读可以丰富你的知识，也让你的生活更加丰富。,Reading can enrich your knowledge and make your life more abundant.,Band3,1.3,5
风险,fēngxiǎn,noun: risk / danger,投资总是有风险的。,There’s always risk in investing.,Band3,Unknown,5
分配,fēnpèi,verb: to distribute / to allocate,老师分配了作业，每人分配到了不同的任务,"The teacher assigned homework, and everyone was given different tasks.",Band3,2.5,5
分组,fēnzǔ,"verb: to divide into groups
noun: grouping",我们将全班分组，每组四人，分组结果将公布在公告板上。,"We’ll divide the class into groups of four, and the groupings will be posted on the board.",Band3,3.6,5
否定,fǒudìng,"verb: to deny / to negate
adjective: negative (response or judgment)",他否定了这个建议，他的否定态度让大家很意外。,"He denied the suggestion, and his negative attitude surprised everyone.",Band3,Unknown,5
否认,fǒurèn,verb: to deny / to repudiate (usually a fact or accusation),他否认自己与案件有关,He denied having anything to do with the case.,Band3,Unknown,5
福,fú,noun: blessing / good fortune,春节的时候，人们常贴“福”字。,"During Spring Festival, people often put up the character ""福"" (blessing).",Band3,Unknown,5
付,fù,verb: to pay,请先付一半的费用。,Please pay half the fee first.,Band3,Unknown,5
富,fù,"adjective: rich / wealthy
verb: to become rich (literary or formal use)",他虽然不富，但他觉得心灵很富,"He may not be rich, but he feels spiritually wealthy.",Band3,Unknown,5
复印,fùyìn,verb: to photocopy,请帮我复印这份合同。,Please photocopy this contract for me.,Band3,Unknown,5
复杂,fùzá,adjective: complex / complicated,这个问题比我想的要复杂得多。,This problem is much more complicated than I thought.,Band3,7.14,5
负责,fùzé,"verb: to be responsible for
adjective: responsible",他负责整个项目，是个非常负责的人。,He’s in charge of the whole project and is a very responsible person.,Band3,1.8,5
服装,fúzhuāng,noun: clothing / outfit,她的服装设计很有特色。,Her clothing designs are very unique.,Band3,5.1,5
改进,gǎijìn,verb: to improve / to make better,我们需要改进产品质量。,We need to improve product quality.,Band3,6.3,5
概念,gàiniàn,noun: concept / idea,“自由”这个概念对每个人的意义都不同。,The concept of “freedom” means something different to everyone.,Band3,Unknown,5
改造,gǎizào,verb: to transform / to renovate / to reform,这座老房子被改造成了一家咖啡馆。,This old house was transformed into a café.,Band3,5.3,5
赶到,gǎndào,verb: to rush to (a place),我刚赶到车站，火车就开走了。,I rushed to the station just as the train left.,Band3,2.4,5
赶紧,gǎnjǐn,adverb: quickly / immediately,你赶紧把门关上，外面太冷了！,"Quick, close the door — it’s freezing outside!",Band3,3.8,5
感冒,gǎnmào,"verb: to catch a cold
noun: cold (illness)",他感冒了，这次感冒让他整整躺了三天。,"He caught a cold, and it kept him in bed for three full days.",Band3,2.1,5
感情,gǎnqíng,noun: emotion / affection / feelings (between people),他们之间的感情很深。,Their feelings for each other are very strong.,Band3,2.3,5
感受,gǎnshòu,"noun: feeling / experience
verb: to feel / to experience",他能感受别人的情绪，他的感受也很细腻。,"He can sense others’ emotions, and his own feelings are very delicate.",Band3,1.8,5
告别,gàobié,verb: to say goodbye / to part from,她在机场和父母告别，眼里满是泪水。,"She said goodbye to her parents at the airport, her eyes full of tears.",Band3,5.3,5
高速,gāosù,"noun: highway (short for 高速公路)
adjective: high-speed",我们走高速去机场，这辆车也能高速行驶。,We’re taking the highway to the airport — this car can drive at high speeds.,Band3,7.14,5
高速公路,gāosùgōnglù,noun: expressway / highway,我们开车上了高速公路，很快就到了目的地。,We got on the expressway and quickly reached our destination.,Band3,Unknown,5
各,gè,pronoun/determiner: each / every,会议上，各部门汇报了工作情况。,"At the meeting, each department reported its work progress.",Band3,Unknown,5
各地,gèdì,noun: various places / all regions,这个节日在中国各地都有庆祝活动。,This festival is celebrated across all parts of China.,Band3,4.3,5
歌迷,gēmí,noun: fan of a singer,这位歌手的歌迷遍布全国。,This singer has fans all over the country.,Band3,Unknown,5
根本,gēnběn,"adverb: at all / completely (used with negatives)
noun: root / essence",他根本不理解问题的根本原因。,"He doesn't understand the issue at all, nor the root cause behind it.",Band3,2.3,5
更加,gèngjiā,adverb: even more,这次经历让他更加成熟。,This experience made him even more mature.,Band3,1.8,5
个人,gèrén,noun: individual / personal,这是我的个人观点，不代表公司立场。,This is my personal opinion and does not represent the company.,Band3,2.3,5
歌声,gēshēng,noun: singing voice,从远处传来了孩子们快乐的歌声。,Joyful singing voices of children came from afar.,Band3,5.2,5
歌手,gēshǒu,noun: singer,她梦想成为一名职业歌手。,She dreams of becoming a professional singer.,Band3,3.1,5
各位,gèwèi,pronoun: everyone (formal/polite),各位来宾，欢迎大家参加今天的活动。,"Ladies and gentlemen, welcome to today’s event.",Band3,2.4,5
个性,gèxìng,noun: personality / individuality,他的个性开朗，容易交朋友。,His personality is cheerful and he makes friends easily.,Band3,Unknown,5
各种,gèzhǒng,noun/phrase: various kinds / all sorts of,商店里有各种各样的商品。,There are all sorts of goods in the store.,Band3,1.5,5
各自,gèzì,pronoun/adverb: each / respectively,他们各自负责不同的任务。,They each have their own responsibilities.,Band3,5.1,5
公布,gōngbù,verb: to announce / to make public,政府将于明天公布考试结果。,The government will announce the exam results tomorrow.,Band3,3.11,5
工厂,gōngchǎng," noun: is the more common and specific term for a ""factory"" or ""plant""",这家工厂每天生产上千件商品。,This factory produces thousands of items daily.,Band3,4.2,5
工程师,gōngchéngshī,noun: engineer,他是一名软件工程师，专门开发系统。,He’s a software engineer who specializes in systems development.,Band3,Unknown,5
工夫,gōngfu,noun: time / effort / skill,只要你肯下工夫，就一定会进步。,"As long as you’re willing to put in the effort, you’ll definitely improve.",Band3,Unknown,5
功夫,gōngfu,"noun: skill / effort / time
noun: kung fu (martial arts)",他学了多年功夫，用了很多功夫才掌握好动作。,He studied kung fu for years and spent a lot of effort mastering the moves.,Band3,4.2,5
公共,gōnggòng,adjective: public / communal,请在公共场所戴口罩。,Please wear a mask in public areas.,Band3,3.2,5
工具,gōngjù,noun: tool / instrument,修车需要各种工具。,Fixing a car requires all kinds of tools.,Band3,1.3,5
公开,gōngkāi,verb: to disclose / to make public,公司公开了财务报表，这种公开做法很透明。,"The company disclosed its financial reports, and this open approach is very transparent.",Band3,6.1,5
公民,gōngmín,"verb: to disclose / to make public
adjective: public / open (not secret)",每个公民都有投票的权利。,Every citizen has the right to vote.,Band3,5.3,5
功能,gōngnéng,noun: function / feature,这款手机的拍照功能特别强大。,This phone’s camera function is especially powerful.,Band3,4.7,5
共同,gòngtóng,adjective: shared / mutual / common,他们有一个共同的目标，就是提高生活质量。,They share a common goal: to improve their quality of life.,Band3,2.4,5
公务员,gōngwùyuán,noun: civil servant / government employee,他是一名国家公务员，在税务局工作。,He’s a civil servant working in the tax department.,Band3,Unknown,5
工业,gōngyè,noun: industry / industrial sector,这个城市以重工业为主。,This city is mainly focused on heavy industry.,Band3,Unknown,5
共有,gòngyǒu,verb: to jointly own / to share,这套房子是我们兄妹共有的财产。,This house is property jointly owned by my siblings and me.,Band3,3.3,5
工资,gōngzī,noun: salary / wage,他每月的工资刚好够生活。,His monthly salary is just enough to cover living expenses.,Band3,Unknown,5
古,gǔ,adjective: ancient / old,这是一座保存完好的古建筑。,This is a well-preserved ancient building.,Band3,Unknown,5
挂,guà,verb: to hang / to suspend / to hang up (e.g. phone),她刚挂了电话，然后把画挂在了墙上。,She just hung up the phone and then hung the painting on the wall.,Band3,Unknown,5
观察,guānchá,verb: to observe,科学家正在仔细观察实验结果。,The scientists are carefully observing the experiment results.,Band3,1.3,5
广播,guǎngbō,"noun: broadcast
verb: to broadcast",广播刚刚播出了新闻，我们正听着广播。,The news was just broadcast — we’re listening to it right now.,Band3,3.6,5
广大,guǎngdà,adjective: vast / numerous (often used for people or regions),这个活动吸引了广大观众的参与。,The event attracted a vast number of participants.,Band3,7.16,5
光明,guāngmíng,"noun: light
adjective: bright / promising (figurative)",太阳升起，照亮了前方光明的道路。,The sun rose and lit up the bright road ahead.,Band3,5.3,5
观看,guānkàn,"verb: to watch (a performance, film, match, etc.)",我们一起观看了那部纪录片。,We watched that documentary together.,Band3,1.5,5
管理,guǎnlǐ,"verb: to manage / to administer
noun: management",他负责公司的人事管理，他的管理方式非常有效。,"He’s in charge of HR management, and his management style is very effective.",Band3,1.9,5
观念,guānniàn,noun: concept / idea / mindset,他的教育观念和父母不太一样。,His ideas about education are quite different from his parents'.,Band3,Unknown,5
关系,guānxì,"noun: relationship / connection
verb (colloquial): to affect / to have to do with",他们的关系很好，这件事和他没有任何关系。,"They have a good relationship, and this matter has nothing to do with him.",Band3,1.5,5
观众,guānzhòng,noun: audience / spectators,观众们为表演者热烈鼓掌。,The audience gave the performers enthusiastic applause.,Band3,1.5,5
关注,guānzhù,verb: to follow closely / to pay attention to,越来越多的人开始关注环境问题。,More and more people are starting to pay attention to environmental issues.,Band3,6.1,5
古代,gǔdài,noun: ancient times,古代人是怎么建造长城的？,How did ancient people build the Great Wall?,Band3,5.2,5
规定,guīdìng,"verb: to stipulate / to set (rules)
noun: regulation / rule",公司规定每周必须提交报告，这个规定很严格。,The company requires weekly reports — this rule is strict.,Band3,2.3,5
规范,guīfàn,"noun: standard / norm
adjective: standard / well-regulated
verb: to standardize",老师要求我们用规范格式写论文，以便进一步规范写作习惯。,The teacher asked us to use standard formatting to help further standardize writing habits.,Band3,Unknown,5
姑娘,gūniang,noun: young woman / girl,那位穿红衣服的姑娘特别漂亮。,The girl in red is especially beautiful.,Band3,3.8,5
过程,guòchéng,noun: process,学习是一个长期的过程。,Learning is a long-term process.,Band3,1.9,5
国内,guónèi,noun/adjective: domestic / within the country,今年很多人选择在国内旅游。,Many people are choosing to travel domestically this year.,Band3,3.1,5
国庆,guóqìng,noun: National Day,国庆期间，广场上举行了庆祝活动。,Celebration events were held in the square during National Day.,Band3,1.8,5
果然,guǒrán,adverb: as expected / sure enough,他说今天会下雨，果然下午就下了。,"He said it would rain today, and sure enough, it rained in the afternoon.",Band3,1.3,5
果汁,guǒzhī,noun: fruit juice,早餐我喝了一杯新鲜果汁,I had a glass of fresh fruit juice for breakfast.,Band3,4.4,5
故乡,gùxiāng,noun: hometown / native place,无论我走多远，心中总有故乡的位置。,"No matter how far I go, my hometown always has a place in my heart.",Band3,7.16,5
海关,hǎiguān,noun: customs (border inspection),在机场排队通过海关需要一些时间。,It takes time to pass through customs at the airport.,Band3,Unknown,5
好奇,hàoqí,adjective: curious,孩子对一切新鲜事物都充满好奇。,Children are full of curiosity about new things.,Band3,1.3,5
合法,héfǎ,adjective: legal / lawful,我们必须在合法范围内行事。,We must act within legal boundaries.,Band3,Unknown,5
合格,hégé,adjective: qualified / up to standard,他通过了考试，是一名合格的工程师。,He passed the exam and is now a qualified engineer.,Band3,Unknown,5
合理,hélǐ,adjective: reasonable / rational,你的解释很合理，我接受了。,Your explanation is very reasonable — I accept it.,Band3,2.5,5
和平,hépíng,noun: peace,我们都希望世界永远保持和平。,We all hope the world remains peaceful forever.,Band3,5.3,5
合作,hézuò,"verb: to cooperate / to collaborate
noun: cooperation",两个团队正在合作开发新产品，这次合作对双方都很重要。,The two teams are working together to develop a new product — this cooperation is important for both sides.,Band3,1.2,5
后果,hòuguǒ,noun: consequence / result (often negative),如果你继续这么做，后果可能很严重。,"If you continue doing this, the consequences could be serious.",Band3,3.9,5
划船,huáchuán,verb: to row a boat,周末我们去湖边划船放松一下。,We went rowing by the lake this weekend to relax.,Band3,Unknown,5
话剧,huàjù,noun: stage play / drama,他正在排练一部经典的话剧。,He is rehearsing for a classic stage play.,Band3,Unknown,5
环,huán,"noun: ring / loop / link
measure word: for rounds/laps",她戴着一个银环，刚跑完三环。,She wore a silver ring and had just finished running three laps.,Band3,Unknown,5
环保,huánbǎo,noun/adjective: environmental protection / eco-friendly,我们应该使用更多环保产品。,We should use more eco-friendly products.,Band3,2.1,5
环境,huánjìng,noun: environment / surroundings,学习环境对效率有很大影响。,The learning environment greatly affects efficiency.,Band3,1.4,5
欢乐,huānlè,"noun: joy / happiness
adjective: joyful",节日的气氛让整个城市充满欢乐。,The festive atmosphere filled the whole city with joy.,Band3,3.7,5
话题,huàtí,noun: topic of conversation,我们聊了很多话题，从电影到人生。,We talked about many topics — from movies to life.,Band3,3.5,5
会议,huìyì,noun: meeting / conference,今天下午三点有一个重要会议,There’s an important meeting at 3 this afternoon.,Band3,7.21,5
会员,huìyuán,"noun: member (of a club, service, etc.)",成为会员后可以享受更多优惠。,You can enjoy more benefits after becoming a member.,Band3,7.17,5
互联网,hùliánwǎng,noun: the internet,互联网改变了人们的生活方式。,The internet has changed the way people live.,Band3,7.2,5
活,huó,"verb: to live
adjective: alive
noun: work / task (colloquial)",他活得很自在，每天做自己喜欢的活。,He lives freely and does the work he enjoys every day.,Band3,Unknown,5
互相,hùxiāng,adverb: each other / mutually,朋友之间应该互相尊重。,Friends should respect each other.,Band3,1.3,5
架,jià,"noun: shelf / frame
measure word: for machines, planes",我在架子上放了一架旧相机。,I placed an old camera on the shelf.,Band3,Unknown,5
价格,jiàgé,"noun: price (standard, listed)",这家店的价格比其他地方贵一些。,The prices at this store are a bit higher than elsewhere.,Band3,Unknown,5
加工,jiāgōng,verb: to process / to refine,这些材料必须先加工才能使用。,These materials must be processed before they can be used.,Band3,Unknown,5
家具,jiājù,noun: furniture,这家店卖的家具很有设计感。,The furniture sold at this store is very stylish.,Band3,3.3,5
加快,jiākuài,verb: to speed up / to accelerate,我们需要加快建设进度。,We need to speed up the construction progress.,Band3,5.1,5
建,jiàn,verb: to build / to construct,他们正在建一座图书馆。,They are building a library.,Band3,Unknown,5
建成,jiànchéng,verb: to complete construction,新医院已经建成并投入使用。,The new hospital has been completed and is now in use.,Band3,Unknown,5
坚持,jiānchí,verb: to persist / to insist,只要你坚持下去，终会看到成果,"As long as you persist, you will eventually see results.",Band3,1.4,5
将近,jiāngjìn,adverb: nearly / close to (used before numbers),这次考试将近九十人参加。,Nearly 90 people took part in the exam.,Band3,Unknown,5
将来,jiānglái,noun: the future,将来你打算做什么工作？,What kind of job do you plan to do in the future?,Band3,2.2,5
坚决,jiānjué,adjective: firm / determined (in attitude or decision),她坚决拒绝了邀请，态度非常坚决。,She firmly refused the invitation — her attitude was very determined.,Band3,Unknown,5
建立,jiànlì,"verb: to establish (e.g. relationships, systems, institutions)",我们需要建立一个更加高效的沟通机制。,We need to establish a more efficient communication system.,Band3,2.3,5
坚强,jiānqiáng,adjective: strong (in will or character),经历了那么多，她仍然坚强地面对生活。,"After everything she went through, she still faces life with strength.",Band3,3.2,5
建设,jiànshè,"verb: to construct / to develop
noun: construction",城市建设需要长远的规划。,Urban development requires long-term planning.,Band3,3.2,5
建议,jiànyì,"verb: to suggest / to recommend
noun: suggestion",我建议你早点休息，这也是医生的建议。,I suggest you get some rest — it’s also what the doctor recommends.,Band3,1.3,5
简直,jiǎnzhí,adverb: simply / virtually / just (used for emphasis),这道题太难了，简直像天书一样！,This question is so hard — it’s practically like reading an alien language!,Band3,3.4,5
教材,jiàocái,noun: teaching material / textbook,新学期的教材已经发下来了，请大家认真阅读。,The new term’s textbooks have been handed out—please read them carefully.,Band3,Unknown,5
交费,jiāofèi,verb: to pay a fee,请在窗口交费后领取发票。,Please pay the fee at the counter and collect your receipt.,Band3,Unknown,5
交警,jiāojǐng,noun: traffic police,交警正在指挥早高峰交通。,The traffic police are directing traffic during the morning rush.,Band3,7.13,5
教练,jiàoliàn,"noun: coach / trainer
verb (rare/colloquial): to train (as a coach)",教练每天都安排我们进行严格训练。,The coach makes us follow strict training every day.,Band3,3.4,5
交流,jiāoliú,"verb: to exchange (ideas, cultures) / to communicate
noun: communication / exchange",中外学生之间的文化交流非常有趣。,Cultural exchange between local and foreign students is very interesting.,Band3,1.8,5
交往,jiāowǎng,"verb: to associate / to interact socially
noun: contact / social interaction",他们已经交往两年了，也和彼此的家人有了交往。,They’ve been dating for two years and have also interacted with each other’s families.,Band3,6.3,5
交易,jiāoyì,"verb: to trade / to make a deal
noun: trade / transaction",两家公司完成了一项大规模交易,The two companies completed a large-scale trade.,Band3,Unknown,5
价钱,jiàqián,"noun: price (casual, everyday use)",这个手机的价钱多少？,How much is this phone?,Band3,2.4,5
加强,jiāqiáng,verb: to strengthen / to enhance,请加强系统安全性。,Please strengthen the system’s security.,Band3,3.11,5
家属,jiāshǔ,"noun: family members (esp. of staff, soldiers, patients)",病人的家属正在外面等消息。,The patient’s family members are waiting outside for news.,Band3,Unknown,5
家乡,jiāxiāng,noun: hometown,我很想回家乡看看老朋友们,I really want to return to my hometown and see my old friends.,Band3,4.4,5
价值,jiàzhí,noun: value / worth,这本书的知识价值远超它的价格。,The knowledge value of this book far exceeds its price.,Band3,3.8,5
基本,jīběn,adjective: basic / fundamental,他掌握了编程的基本知识。,He has grasped the basic knowledge of programming.,Band3,3.2,5
基本上,jīběnshàng,adverb: basically / generally speaking,这项工作基本上完成了。,This task is basically completed.,Band3,Unknown,5
基础,jīchǔ,noun: foundation / basis,数学是学习科学的基础。,Math is the foundation for learning science.,Band3,8.1,5
接待,jiēdài,"verb: to receive (guests, visitors, clients)",接待人员非常热情，让我印象深刻。,The receptionist was very warm and left a great impression on me.,Band3,2.6,5
结合,jiéhé,Verb: to combine / to integrate / to unite,请把理论和实践结合起来。,Please combine theory with practice.,Band3,3.8,5
接近,jiējìn,"Verb: to approach / to get close to (in space or time)
Adjective: near / close (formal usage)",比赛时间接近了，他的状态也接近最佳。,"The game time is approaching, and he is nearing his best condition.",Band3,2.6,5
解决,jiějué,Verb: to solve / to settle,这个问题已经顺利解决。,This problem has been successfully solved.,Band3,1.8,5
解开,jiěkāi,"Verb: to untie / to unfasten / to solve (figurative, e.g., a riddle or knot)",他终于解开了这个谜语，也解开了心结。,He finally solved the riddle and also resolved the knot in his heart.,Band3,Unknown,5
结实,jiēshi,"adjective: strong / sturdy / durable
",这张桌子非常结实，一点也不晃。,This table is very sturdy and doesn’t wobble at all.,Band3,7.17,5
结束,jiéshù,"Verb: to end / to finish
Noun: end / conclusion (contextual, not used as a standalone noun in casual speech)",会议已经结束，大家可以离开了。,"The meeting has ended, and everyone may leave now.",Band3,1.3,5
节约,jiéyuē,Verb: to save / to economize,我们应该节约用水，用电也要节约。,We should save water and also conserve electricity.,Band3,4.4,5
积极,jījí,adjective: active / positive / proactive,她在学习上非常积极，总是主动提问。,She’s very proactive in her studies and always asks questions.,Band3,2.2,5
极了,jíle,adverb (degree): extremely / very (used after adjectives),这个蛋糕好吃极了！,This cake is extremely delicious!,Band3,3.7,5
记录,jìlù,"verb: to record
noun: record / notes",请记录下会议内容，这份记录会上传给大家。,Please take notes during the meeting — the record will be shared with everyone.,Band3,1.7,5
纪录,jìlù,"noun: (official) record / documentation (esp. for sports, history)
verb: to document",他打破了世界纪录，这个成绩已经被纪录在官网上。,"He broke the world record, and this achievement has been documented on the official website.",Band3,Unknown,5
仅,jǐn,Adverb: only / just (More formal than 只),这部电影仅在中国上映。,This movie was released only in China.,Band3,Unknown,5
紧,jǐn,Adjective: tight / urgent,鞋子太紧了，穿久了很不舒服。,The shoes are too tight — they’re uncomfortable after a while.,Band3,Unknown,5
进步,jìnbù,"Noun: progress / improvement
Verb: to improve / to make progress",他的中文有了明显的进步。,His Chinese has clearly improved.,Band3,1.5,5
静,jìng,"Adjective: quiet / still
Verb (literary): to calm / to become still",教室里非常静，大家都在专心考试。,The classroom is very quiet — everyone is focused on the exam.,Band3,Unknown,5
精彩,jīngcǎi,Adjective: brilliant / wonderful / splendid,这场表演真是太精彩了，观众全场鼓掌。,The performance was absolutely brilliant — the audience applauded nonstop.,Band3,1.3,5
经济,jīngjì,"Noun: economy / economics
Adjective (contextual): economical",中国经济近年来迅速发展。,China’s economy has grown rapidly in recent years.,Band3,Unknown,5
经济,jīngjì,"noun: economy
adjective: economical / affordable",她学的是经济专业，买东西也很经济，从不乱花钱。,She studies economics and is also very thrifty—never spending money carelessly.,Band3,Unknown,5
京剧,jīngjù,Noun: Peking opera,他对京剧非常感兴趣，常常去剧院看表演。,He’s very interested in Peking opera and often goes to see performances.,Band3,Unknown,5
经历,jīnglì,"Verb: to experience / to go through
Noun: experience (life events)",他经历了很多困难，这段经历让他更成熟。,He went through many hardships — that experience made him more mature.,Band3,5.5,5
景色,jǐngsè,Noun: scenery / view,山上的景色非常迷人，特别适合拍照。,The mountain view is stunning — perfect for photography.,Band3,1.8,5
精神,jīngshén,"Noun: spirit / energy / vitality
Adjective: lively / energetic",他今天精神很好，工作时也表现出了很强的团队精神。,He’s full of energy today and showed great team spirit at work.,Band3,1.3,5
经验,jīngyàn,Noun: experience (knowledge or skill gained over time),他有十年教学经验。,He has ten years of teaching experience.,Band3,2.4,5
经营,jīngyíng,"Verb: to manage / to operate (a business, activity, or plan)",他们夫妻俩一起经营着一家小餐馆。,The couple runs a small restaurant together.,Band3,Unknown,5
纪念,jìniàn,"verb: to commemorate
noun: souvenir / remembrance",这枚纪念币是为了纪念祖父而制作的。,This commemorative coin was made to honor my grandfather.,Band3,1.3,5
紧急,jǐnjí,Adjective: urgent / critical,医院接到了一位紧急病人。,The hospital received a critical patient.,Band3,3.3,5
仅仅,jǐnjǐn,Adverb: only / merely (stronger tone than “仅”),他仅仅迟到了一分钟，却错过了全部内容。,He was only one minute late but missed everything.,Band3,Unknown,5
尽量,jǐnliàng,Adverb: to the best of one's ability / as much as possible,你尽量早点睡，别太累。,Try to sleep early and don’t overwork yourself.,Band3,2.3,5
金牌,jīnpái,Noun: gold medal,他为国家赢得了一枚金牌。,He won a gold medal for the country.,Band3,5.5,5
近期,jìnqī,Noun/Adverb: in the near future / recently,近期公司将推出新产品。,The company will release a new product soon.,Band3,Unknown,5
进一步,jìnyíbù,Adverb: further / to go a step further,为了进一步了解客户需求，我们做了调查。,"To better understand customer needs, we conducted a survey.",Band3,2.4,5
进展,jìnzhǎn,"Noun: progress / development (of an ongoing process)

Verb: to progress (formal)",项目进展顺利，已经完成了一半。,The project is progressing smoothly and is halfway done.,Band3,Unknown,5
机器,jīqì,noun: machine,这台机器每天能包装上千个产品。,This machine can package over a thousand products a day.,Band3,3.7,5
及时,jíshí,adjective/adverb: timely / in time,医生的及时处理救了他的命。,The doctor’s timely treatment saved his life.,Band3,3.5,5
技术,jìshù,noun: technology / technique,这种新技术能提高生产效率。,This new technology can improve production efficiency.,Band3,3.6,5
计算,jìsuàn,"verb: to calculate / to count
noun: calculation",工程师正在计算数据，这个计算很复杂。,The engineer is calculating data — the calculation is quite complex.,Band3,7.17,5
集体,jítǐ,"noun: group / collective
adjective: collective",我们举行了一次集体活动，增强了集体意识。,We held a group activity that strengthened our sense of collective identity.,Band3,6.3,5
就业,jiùyè,"Verb: to get a job / to be employed
Noun: employment",大学生的就业问题一直是社会关注的热点。,Graduate employment has always been a hot topic in society.,Band3,Unknown,5
记者,jìzhě,noun: reporter / journalist,记者正在现场采访受害者。,The reporter is interviewing the victims on site.,Band3,5.1,5
集中,jízhōng,"verb: to concentrate / to focus
adjective: concentrated (intensity, effort)",请集中注意力，今天的内容很集中也很重要,Please focus — today’s content is concentrated and very important.,Band3,3.9,5
集中,jízhōng,verb/adjective: to concentrate; centralized,上课时要集中注意力。,You should concentrate during class.,Band3,3.9,5
举办,jǔbàn,"Verb: to host / to hold (an event, competition, etc.)",学校将于下个月举办一次科技展览。,The school will host a science exhibition next month.,Band3,1.8,5
决定,juédìng,"verb: to decide
noun: decision",他决定辞职，这个决定让很多人吃惊,"He decided to resign, and that decision surprised many people.",Band3,1.3,5
绝对,juéduì,"adjective: absolute
adverb: absolutely / definitely",这件事我绝对不会说出去，我是绝对保密的,I absolutely won’t tell anyone about this — it’s completely confidential.,Band3,2.2,5
决赛,juésài,noun: final match / championship,他进入了羽毛球决赛，争夺冠军。,He made it to the badminton finals and will compete for the championship.,Band3,Unknown,5
决心,juéxīn,"noun: determination / resolution
verb: to make up one’s mind",她决心改变生活方式，这份决心非常坚定。,"She made up her mind to change her lifestyle, and her determination is firm.",Band3,3.7,5
据说,jùshuō,adverb: it is said; reportedly,据说那家餐厅很好吃。,It is said that restaurant is very good.,Band3,4.2,5
具体,jùtǐ,"adjective: concrete / specific

noun: details",请说明你的具体计划，我想了解更多具体内容。,Please explain your specific plan — I want to know more details.,Band3,4.3,5
具有,jùyǒu,"verb: to possess (formal, used for abstract qualities)",这款手机具有很强的拍照功能，非常适合喜欢摄影的人,This phone has strong camera capabilities—perfect for people who love photography.,Band3,3.5,5
开发,kāifā,"verb: to develop (resources, land, software, etc.)
noun: development (esp. software, real estate)",这家公司专注于软件开发，他们刚完成了一个新开发项目。,This company specializes in software development and just completed a new development project.,Band3,3.9,5
开放,kāifàng,"verb: to open up (access, markets, doors, etc.)
adjective: open-minded / liberal",这个国家正在逐步开放市场，社会也变得更开放了。,"This country is gradually opening its markets, and society is becoming more open-minded.",Band3,1.5,5
开业,kāiyè,verb: to open for business (usually for stores or services),这家咖啡馆刚刚开业，第一天就吸引了很多顾客。,This café just opened for business and attracted many customers on its first day.,Band3,Unknown,5
开展,kāizhǎn,"verb: to carry out / to launch (activities, projects, campaigns)",学校正在开展环保教育活动。,The school is launching an environmental awareness campaign.,Band3,5.2,5
考验,kǎoyàn,"verb: to test / to challenge
noun: test / trial",这次突发事件是对我们团队合作能力的一次考验。,This unexpected incident was a test of our team’s ability to work together.,Band3,Unknown,5
课程,kèchéng,noun: course / curriculum,下学期我选修了三门新课程。,I’ve chosen three new courses for next semester.,Band3,1.7,5
克服,kèfú,"verb: to overcome / to conquer (obstacles, difficulties, etc.).",她终于克服了恐高症。,She finally overcame her fear of heights.,Band3,2.3,5
客观,kèguān,adjective: objective / unbiased,我们必须以客观的态度分析问题。,We must analyze the problem with an objective attitude.,Band3,Unknown,5
科技,kējì,noun: science and technology,现代科技改变了我们的生活方式。,Modern technology has changed the way we live.,Band3,4.8,5
可靠,kěkào,adjective: reliable / dependable,他是一个非常可靠的朋友。,He’s a very reliable friend.,Band3,Unknown,5
恐怕,kǒngpà,adverb: probably / I'm afraid that... (used to express worry or polite disagreement),外面下雨了，恐怕我们得改计划了。,It’s raining outside — I’m afraid we’ll have to change our plans.,Band3,7.17,5
空调,kōngtiáo,noun: air conditioner,这间教室的空调坏了，里面特别热。,The air conditioner in this classroom is broken — it’s really hot inside.,Band3,Unknown,5
快速,kuàisù,"adjective: fast / rapid
adverb: quickly",他快速地完成了作业，显示了他的快速反应能力。,"He finished the homework quickly, showing his fast reaction skills.",Band3,3.8,5
困,kùn,"adjective: sleepy / drowsy
verb: to trap / to be stranded (literary or formal use)",我因为暴雨被困在家里一整天，现在又困得睁不开眼。,"I was trapped at home all day because of the storm, and now I’m so sleepy I can barely keep my eyes open.",Band3,Unknown,5
困难,kùnnán,"noun: difficulty / hardship
adjective: difficult",虽然过程很困难，但我们还是克服了所有困难。,"Although the process was difficult, we overcame all the difficulties.",Band3,1.3,5
裤子,kùzi,noun: pants / trousers,这条裤子太长了，我要去改短一点。,These pants are too long — I need to get them shortened.,Band3,3.8,5
老百姓,lǎobǎixìng,noun: ordinary people / common folk,政策要真正考虑到老百姓的需求。,Policies must truly take the needs of ordinary people into account.,Band3,Unknown,5
乐观,lèguān,adjective: optimistic,即使遇到困难，他也始终保持乐观态度。,"Even in tough times, he always maintains an optimistic attitude.",Band3,3.5,5
类似,lèisì,"adjective: similar / alike
Used there are things that have something in common but also have differences.",他们的做法和我们的类似，但细节上略有不同。,"Their approach is similar to ours, though there are slight differences in the details.",Band3,7.17,5
凉水,liángshuǐ,noun: cold water / cool water,夏天喝点儿凉水特别舒服。,Drinking cold water in summer feels especially refreshing.,Band3,Unknown,5
